	voice Midi Diff								present		 Best		Sec

printNotes: i= 141-<2287 2059 228>,  	 D2 --    1/8th( 62) <      > 	V 64 - M 62	= +2  %+3  	q= +2  %+3  	 0.366(83)


silence
printNotes: i= 142-<   0   40 -40>,  	Slc --     half(249) <      > 	V243 - M249	= -6  %-2  	q= -6  %-2  	 1.405(83)
printNotes: i= 143-<1617 2189 -572>,  	Ek2 -- 1/16th..( 54) <      > 	V 56 - M 31	=+25  %+45  	q= +2  %+4  	 0.319(83)<-----%45   %4

printNotes: i= 144-<2340 2350 -10>,  	 F2 -- 1/16th..( 54) <      > 	V 54 - M 47	= +7  %+13  	q=  +  %+0  	 0.308(83)<-----%13   %0

printNotes: i= 145-<2536 2545  -9>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 146-<2323 2350 -27>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 147-<2522 2545 -23>,  	 G2 --  1/16th.( 47) <      > 	V 50 - M 47	= +3  %+6  	q= +3  %+6  	 0.284(83)
printNotes: i= 148-<2726 2742 -16>,  	 A2 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(83)<-----%41   %5

printNotes: i= 149-<2558 2545  13>,  	 G2 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(83)
printNotes: i= 150-<2818 2742  76>,  	 A2 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(83)<-----%158   %0 <<



silence
printNotes: i= 151-< 926   40 886>,  	Slc --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(83)<-----%433   %33 <<

printNotes: i= 152-<2567 2545  22>,  	 G2 --    1/8th( 62) <      > 	V 72 - M 41	=+31  %+43  	q=+10  %+14  	 0.412(83)<-----%43   %14

printNotes: i= 153-<2340 2350 -10>,  	 F2 --    1/8th( 62) <      > 	V 76 - M114	=-38  %-50  	q=+14  %+18  	 0.435(83)<-----%50   %18

printNotes: i= 154-<2534 2545 -11>,  	 G2 --  1/32nd.( 23) <      > 	V 21 - M 31	=-10  %-48  	q= -2  %-10  	 0.116(83)<-----%48   %10

printNotes: i= 155-<1780 2350 -570>,  	 F2 --    1/8th( 62) <      > 	V 58 - M 41	=+17  %+29  	q= -4  %-7  	 0.331(83)<-----%29   %7

printNotes: i= 156-<2190 2189   1>,  	Ek2 --  1/16th.( 47) <      > 	V 41 - M114	=-73  %-178  	q= -6  %-15  	 0.232(83)<-----%178   %15

printNotes: i= 157-<2366 2350  16>,  	 F2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 158-<2191 2189   2>,  	Ek2 --    1/4th(125) <1*sela> 	V152 - M125	=+27  %+18  	q=+27  %+18  	 0.877(83)
printNotes: i= 159-<2065 2059   6>,  	 D2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 160-<2344 2350  -6>,  	 F2 --    1/4th(125) <1*sela> 	V149 - M156	= -7  %-5  	q=+24  %+16  	 0.859(83)
printNotes: i= 161-<2529 2545 -16>,  	 G2 --  1/16th.( 47) <      > 	V 45 - M 31	=+14  %+31  	q= -2  %-4  	 0.255(83)<-----%31   %4

printNotes: i= 162-<2817 2742  75>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 163-<2558 2545  13>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 164-<2329 2350 -21>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 165-<2084 2545 -461>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(83)<-----%60   %20 <<

