	voice Midi Diff								present		 Best		Sec

printNotes: i= 111-<2212 2196  16>,  	Ek2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(82)
printNotes: i= 112-<2322 2355 -33>,  	 F2 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(82)<-----%100   %0 <<

printNotes: i= 113-<2183 2196 -13>,  	Ek2 --  1/32nd.( 24) <      > 	V 21 - M 31	=-10  %-48  	q= -3  %-14  	 0.116(82)<-----%48   %14

printNotes: i= 114-<2071 2070   1>,  	 D2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(82)<-----%107   %7 <<

printNotes: i= 115-<2100 2196 -96>,  	Ek2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(82)
printNotes: i= 116-<2337 2355 -18>,  	 F2 --  1/8th..(110) <      > 	V117 - M125	= -8  %-7  	q= +7  %+6  	 0.673(82)
printNotes: i= 117-<2562 2558   4>,  	 G2 --    1/8th( 63) <      > 	V 61 - M 47	=+14  %+23  	q= -2  %-3  	 0.348(82)<-----%23   %3



silence
printNotes: i= 118-< 599   40 559>,  	Slc --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(82)<-----%100   %0 <<

printNotes: i= 119-<2281 2355 -74>,  	 F2 --  1/16th.( 47) <      > 	V 39 - M 31	= +8  %+21  	q= -8  %-21  	 0.221(82)
printNotes: i= 120-<2532 2558 -26>,  	 G2 --    1/8th( 63) <      > 	V 61 - M 31	=+30  %+49  	q= -2  %-3  	 0.348(82)<-----%49   %3

printNotes: i= 121-<2762 2747  15>,  	 A2 --  1/16th.( 47) <      > 	V 47 - M 63	=-16  %-34  	q=  +  %+0  	 0.267(82)<-----%34   %0

printNotes: i= 122-<2552 2558  -6>,  	 G2 --   1/8th.( 94) <      > 	V 82 - M 63	=+19  %+23  	q=-12  %-15  	 0.470(82)<-----%23   %15

printNotes: i= 123-<2347 2355  -8>,  	 F2 --    1/4th(125) <      > 	V140 - M125	=+15  %+11  	q=+15  %+11  	 0.807(82)
printNotes: i= 124-<2158 2196 -38>,  	Ek2 -- 1/16th..( 55) <      > 	V 51 - M 63	=-12  %-24  	q= -4  %-8  	 0.290(82)<-----%24   %8

printNotes: i= 125-<2262 2196  66>,  	Ek2 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(82)<-- same note<-----%138   %8 <<

printNotes: i= 126-<2534 2558 -24>,  	 G2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(82)
printNotes: i= 127-<2367 2355  12>,  	 F2 --  1/32nd.( 24) <      > 	V 21 - M 16	= +5  %+24  	q= -3  %-14  	 0.116(82)<-----%24   %14

printNotes: i= 128-<2568 2558  10>,  	 G2 --  1/16th.( 47) <      > 	V 39 - M 31	= +8  %+21  	q= -8  %-21  	 0.221(82)
printNotes: i= 129-<2371 2355  16>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(82)
printNotes: i= 130-<2356 2558 -202>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(82)<-----%23   %8 <<

printNotes: i= 131-<2361 2355   6>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(82)
printNotes: i= 132-<2239 2558 -319>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(82)<-----%78   %33 <<

printNotes: i= 133-<2262 2355 -93>,  	 F2 --  1/32nd.( 24) <      > 	V 24 - M 31	= -7  %-29  	q=  +  %+0  	 0.134(82)<-----%29   %0

printNotes: i= 134-<2184 2196 -12>,  	Ek2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(82)
printNotes: i= 135-<2297 2355 -58>,  	 F2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(82)<-----%129   %0 <<

printNotes: i= 136-<2193 2196  -3>,  	Ek2 --  1/32nd.( 24) <      > 	V 23 - M 31	= -8  %-35  	q= -1  %-4  	 0.128(82)<-----%35   %4

printNotes: i= 137-<2052 2070 -18>,  	 D2 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(82)<-----%138   %8 <<

printNotes: i= 138-<2201 2196   5>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(82)<-----%19   %4

printNotes: i= 139-<2370 2355  15>,  	 F2 --   1/8th.( 94) <      > 	V 99 - M125	=-26  %-26  	q= +5  %+5  	 0.569(82)<-----%26   %5

printNotes: i= 140-<2194 2196  -2>,  	Ek2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(82)
printNotes: i= 141-<2193 2196  -3>,  	Ek2 --   1/8th.( 94) <      > 	V 94 - M 94	=  +  %+0  	q=  +  %+0  	 0.540(82)<-- same note
printNotes: i= 142-<2343 2355 -12>,  	 F2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(82)
printNotes: i= 143-<2545 2558 -13>,  	 G2 --  1/32nd.( 24) <      > 	V 25 - M 16	= +9  %+36  	q= +1  %+4  	 0.139(82)<-----%36   %4

printNotes: i= 144-<2709 2747 -38>,  	 A2 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(82)<-----%100   %0 <<

printNotes: i= 145-<2533 2558 -25>,  	 G2 --  1/32nd.( 24) <      > 	V 25 - M 31	= -6  %-24  	q= +1  %+4  	 0.139(82)<-----%24   %4

printNotes: i= 146-<2360 2355   5>,  	 F2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(82)
printNotes: i= 147-<2235 2196  39>,  	Ek2 --  1/32nd.( 24) <      > 	V 22 - M 31	= -9  %-41  	q= -2  %-9  	 0.122(82)<-----%41   %9

printNotes: i= 148-<2062 2070  -8>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(82)<-----%94   %0 <<

printNotes: i= 149-<2196 2196    >,  	Ek2 --   1/8th.( 94) <      > 	V 83 - M 63	=+20  %+24  	q=-11  %-13  	 0.476(82)<-----%24   %13

printNotes: i= 150-<2370 2355  15>,  	 F2 --   1/4th.(188) <-1*sela> 	V167 - M188	=-21  %-13  	q=-21  %-13  	 0.964(82)
printNotes: i= 151-<2042 2070 -28>,  	 D2 --   1/32nd( 16) <      > 	V 19 - M 31	=-12  %-63  	q= +3  %+16  	 0.104(82)<-----%63   %16

printNotes: i= 152-<2354 2196 158>,  	Ek2 --    1/8th( 63) <      > 	V 76 - M 31	=+45  %+59  	q=+13  %+17  	 0.435(82)<-----%59   %17



silence
printNotes: i= 153-<   0   40 -40>,  	Slc --    half.(376) <-1*sela> 	V355 - M314	=+41  %+12  	q=-21  %-6  	 2.055(82)<-----%12   %6

printNotes: i= 154-<1995 1870 125>,  	 C2 --  1/16th.( 47) <      > 	V 42 - M 31	=+11  %+26  	q= -5  %-12  	 0.238(82)<-----%26   %12

printNotes: i= 155-<2731 2747 -16>,  	 A2 --   1/8th.( 94) <      > 	V 91 - M125	=-34  %-37  	q= -3  %-3  	 0.522(82)<-----%37   %3

printNotes: i= 156-<2528 2558 -30>,  	 G2 --    1/8th( 63) <      > 	V 70 - M 63	= +7  %+10  	q= +7  %+10  	 0.401(82)
printNotes: i= 157-<2306 2355 -49>,  	 F2 --   1/8th.( 94) <      > 	V 80 - M 94	=-14  %-18  	q=-14  %-18  	 0.459(82)
printNotes: i= 158-<2502 2558 -56>,  	 G2 --  1/16th.( 47) <      > 	V 40 - M 31	= +9  %+22  	q= -7  %-18  	 0.226(82)<-----%22   %18

printNotes: i= 159-<2725 2747 -22>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(82)<-----%45   %9 <<

printNotes: i= 160-<2549 2558  -9>,  	 G2 --  1/32nd.( 24) <      > 	V 23 - M 31	= -8  %-35  	q= -1  %-4  	 0.128(82)<-----%35   %4

printNotes: i= 161-<2344 2355 -11>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(82)<-----%82   %6

