	voice Midi Diff								present		 Best		Sec

printNotes: i= 156-<2194 2168  26>,  	Ek2 --   1/16th( 29) <      > 	V 28 - M 59	=-31  %-111  	q= -1  %-4  	 0.157(88)<-----%111   %4

printNotes: i= 157-<2296 2314 -18>,  	 F2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 158-<2493 2514 -21>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 29	=-17  %-142  	q= +1  %+8  	 0.064(88)<-----%142   %8 <<

printNotes: i= 159-<2304 2314 -10>,  	 F2 --   1/8th.( 88) <      > 	V 76 - M 88	=-12  %-16  	q=-12  %-16  	 0.435(88)
printNotes: i= 160-<2502 2514 -12>,  	 G2 --  1/32nd.( 22) <      > 	V 19 - M 29	=-10  %-53  	q= -3  %-16  	 0.104(88)<-----%53   %16

printNotes: i= 161-<2324 2314  10>,  	 F2 --   1/16th( 29) <      > 	V 31 - M 15	=+16  %+52  	q= +2  %+6  	 0.174(88)<-----%52   %6

printNotes: i= 162-<2167 2168  -1>,  	Ek2 --  1/16th.( 44) <      > 	V 37 - M 44	= -7  %-19  	q= -7  %-19  	 0.209(88)
printNotes: i= 163-<2439 2314 125>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<



silence
printNotes: i= 164-<  82   40  42>,  	Slc --   1/16th( 29) <      > 	V 29 - M 15	=+14  %+48  	q=  +  %+0  	 0.163(88)<-----%48   %0

