	voice Midi Diff								present		 Best		Sec

printNotes: i= 103-<2175 2158  17>,  	Ek2 -- 1/32nd..( 30) <      > 	V 29 - M 17	=+12  %+41  	q= -1  %-3  	 0.163(74)<-----%41   %3

printNotes: i= 104-<2398 2317  81>,  	 F2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(74)
printNotes: i= 105-<2161 2158   3>,  	Ek2 --  1/16th.( 52) <      > 	V 53 - M 35	=+18  %+34  	q= +1  %+2  	 0.302(74)<-----%34   %2

printNotes: i= 106-<2356 2317  39>,  	 F2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(74)
printNotes: i= 107-<2147 2158 -11>,  	Ek2 -- 1/16th..( 61) <      > 	V 63 - M 69	= -6  %-10  	q= +2  %+3  	 0.360(74)<-----%10   %3

printNotes: i= 108-<2037 2033   4>,  	 D2 --   1/16th( 35) <      > 	V 36 - M 35	= +1  %+3  	q= +1  %+3  	 0.203(74)
printNotes: i= 109-<2295 2317 -22>,  	 F2 --  1/8th..(121) <      > 	V127 - M139	=-12  %-9  	q= +6  %+5  	 0.731(74)<-----%9   %5

printNotes: i= 110-<2411 2525 -114>,  	 G2 --   1/16th( 35) <      > 	V 41 - M 35	= +6  %+15  	q= +6  %+15  	 0.232(74)
printNotes: i= 111-<2334 2317  17>,  	 F2 --   1/32nd( 17) <      > 	V 20 - M  9	=+11  %+55  	q= +3  %+15  	 0.110(74)<-----%55   %15

printNotes: i= 112-<2491 2525 -34>,  	 G2 --   1/64th(  9) <      > 	V 11 - M  9	= +2  %+18  	q= +2  %+18  	 0.058(74)
printNotes: i= 113-<2359 2317  42>,  	 F2 --   1/16th( 35) <      > 	V 38 - M 35	= +3  %+8  	q= +3  %+8  	 0.215(74)
printNotes: i= 114-<2147 2158 -11>,  	Ek2 -- 1/32nd..( 30) <      > 	V 28 - M 17	=+11  %+39  	q= -2  %-7  	 0.157(74)<-----%39   %7

printNotes: i= 115-<2369 2317  52>,  	 F2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(74)
printNotes: i= 116-<2215 2158  57>,  	Ek2 -- 1/16th..( 61) <      > 	V 58 - M 35	=+23  %+40  	q= -3  %-5  	 0.331(74)<-----%40   %5

printNotes: i= 117-<2012 2033 -21>,  	 D2 --   1/16th( 35) <      > 	V 37 - M 17	=+20  %+54  	q= +2  %+5  	 0.209(74)<-----%54   %5

printNotes: i= 118-<2220 2158  62>,  	Ek2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(74)
printNotes: i= 119-<2058 2033  25>,  	 D2 --    1/8th( 69) <      > 	V 67 - M 35	=+32  %+48  	q= -2  %-3  	 0.383(74)<-----%48   %3

printNotes: i= 120-<1794 1814 -20>,  	 C2 --   1/16th( 35) <      > 	V 38 - M 17	=+21  %+55  	q= +3  %+8  	 0.215(74)<-----%55   %8

printNotes: i= 121-<2075 2033  42>,  	 D2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(74)
printNotes: i= 122-<1818 1814   4>,  	 C2 --    1/4th(139) <      > 	V131 - M 35	=+96  %+73  	q= -8  %-6  	 0.755(74)<-----%73   %6

printNotes: i= 123-<2027 2033  -6>,  	 D2 --  1/8th..(121) <      > 	V118 - M104	=+14  %+12  	q= -3  %-3  	 0.679(74)<-----%12   %3

printNotes: i= 124-<1843 1814  29>,  	 C2 --  1/64th.( 13) <      > 	V 13 - M 35	=-22  %-169  	q=  +  %+0  	 0.070(74)<-----%169   %0 <<

printNotes: i= 125-<2043 2033  10>,  	 D2 --     half(278) <3*sela> 	V333 - M417	=-84  %-25  	q=+55  %+17  	 1.927(74)<-----%25   %17



 metronome= 74.46  saveiyend(end)/(160*scaleFactor))= 47.89  X(saveiyend(end))=38.59  second per dot=0.00580
siaah == 139  scaleFactor=0.87   fs=44100 


  9whole,    9996
  2whole,    1111
 whole..,    972
  whole.,    833
   whole,    555
  half..,    486
   half.,    416
    half,    278
 1/4th..,    243
  1/4th.,    208
   1/4th,    139
 1/8th..,    121
  1/8th.,    104
   1/8th,    69
1/16th..,    61
 1/16th.,    52
  1/16th,    35
1/32nd..,    30
 1/32nd.,    26
  1/32nd,    17
1/64th..,    15
 1/64th.,    13
  1/64th,    9
 128th..,    8
  128th.,    7
   128th,    4
 256th..,    4
  256th.,    3
   256th,    2
 512nd..,    2
  512nd.,    2
   512nd,    1
1024th..,    1
 1024th.,    1
  1024th,    1
____zero,    0
