	voice Midi Diff								present		 Best		Sec

printNotes: i= 140-<   0   40 -40>,  	Slc --   1/8th.( 93) <      > 	V 87 - M 93	= -6  %-7  	q= -6  %-7  	 0.499(83)
printNotes: i= 141-<2037 2173 -136>,  	Ek2 --  1/16th.( 47) <      > 	V 43 - M 16	=+27  %+63  	q= -4  %-9  	 0.244(83)<-----%63   %9

printNotes: i= 142-<2326 2325   1>,  	 F2 --   1/16th( 31) <      > 	V 34 - M 47	=-13  %-38  	q= +3  %+9  	 0.192(83)<-----%38   %9

printNotes: i= 143-<2192 2173  19>,  	Ek2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 144-<2365 2325  40>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(83)<-----%23   %8 <<

printNotes: i= 145-<2165 2173  -8>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

printNotes: i= 146-<2064 2040  24>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 147-<2190 2173  17>,  	Ek2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(83)<-----%60   %20 <<

printNotes: i= 148-<2002 2040 -38>,  	 D2 --    1/8th( 62) <      > 	V 65 - M 31	=+34  %+52  	q= +3  %+5  	 0.372(83)<-----%52   %5

printNotes: i= 149-<2022 2040 -18>,  	 D2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(83)<-- same note
printNotes: i= 150-<2176 2173   3>,  	Ek2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 151-<2032 2040  -8>,  	 D2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(83)
printNotes: i= 152-<2244 2173  71>,  	Ek2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 153-<2046 2040   6>,  	 D2 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(83)<-----%11   %4

printNotes: i= 154-<2204 2173  31>,  	Ek2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 155-<1820 1817   3>,  	 C2 --  1/16th.( 47) <      > 	V 45 - M 31	=+14  %+31  	q= -2  %-4  	 0.255(83)<-----%31   %4

printNotes: i= 156-<1802 1817 -15>,  	 C2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 157-<2032 2040  -8>,  	 D2 --     half(249) <      > 	V259 - M374	=-115  %-44  	q=+10  %+4  	 1.498(83)<-----%44   %4



silence
printNotes: i= 158-<   0   40 -40>,  	Slc --   whole.(748) <      > 	V740 - M561	=+179  %+24  	q= -8  %-1  	 4.290(83)<-----%24   %1

printNotes: i= 159-<1265 2325 -1060>,  	 F2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(83)
printNotes: i= 160-<1750 2325 -575>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-- same note<-----%15   %0

printNotes: i= 161-<2532 2537  -5>,  	 G2 --   1/8th.( 93) <      > 	V 94 - M125	=-31  %-33  	q= +1  %+1  	 0.540(83)<-----%33   %1

printNotes: i= 162-<2663 2675 -12>,  	Ak2 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(83)<-----%11   %4

