	voice Midi Diff								present		 Best		Sec

printNotes: i= 126-<1972 1962  10>,  	 C3 --   1/64th(  9) <      > 	V 11 - M 34	=-23  %-209  	q= +2  %+18  	 0.058(76)<-----%209   %18 <<

printNotes: i= 127-<2008 1962  46>,  	 C3 --     half(273) <      > 	V271 - M273	= -2  %-1  	q= -2  %-1  	 1.567(76)<-- same note


silence
printNotes: i= 128-<  38   40  -2>,  	Slc --     half(273) <      > 	V284 - M273	=+11  %+4  	q=+11  %+4  	 1.643(76)
printNotes: i= 129-<1771 1743  28>,  	Bb2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(76)
printNotes: i= 130-<1591 1608 -17>,  	Ak2 --   1/32nd( 17) <      > 	V 20 - M 34	=-14  %-70  	q= +3  %+15  	 0.110(76)<-----%70   %15

printNotes: i= 131-<1323 1743 -420>,  	Bb2 --   1/16th( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(76)
printNotes: i= 132-<1580 1608 -28>,  	Ak2 --    1/4th(136) <      > 	V131 - M205	=-74  %-56  	q= -5  %-4  	 0.755(76)<-----%56   %4



silence
printNotes: i= 133-<   0   40 -40>,  	Slc --  1/16th.( 51) <      > 	V 45 - M  9	=+36  %+80  	q= -6  %-13  	 0.255(76)<-----%80   %13

printNotes: i= 134-<1102 1608 -506>,  	Ak2 --   1/8th.(102) <      > 	V 88 - M 68	=+20  %+23  	q=-14  %-16  	 0.505(76)<-----%23   %16

printNotes: i= 135-<1601 1608  -7>,  	Ak2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(76)<-- same note
printNotes: i= 136-<1496 1481  15>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 34	=-21  %-162  	q=  +  %+0  	 0.070(76)<-----%162   %0 <<

printNotes: i= 137-<1622 1608  14>,  	Ak2 --  1/32nd.( 26) <      > 	V 27 - M 17	=+10  %+37  	q= +1  %+4  	 0.151(76)<-----%37   %4

printNotes: i= 138-<1766 1743  23>,  	Bb2 --  1/64th.( 13) <      > 	V 14 - M 17	= -3  %-21  	q= +1  %+7  	 0.075(76)<-----%21   %7 <<

printNotes: i= 139-<1617 1608   9>,  	Ak2 --   1/16th( 34) <      > 	V 37 - M 51	=-14  %-38  	q= +3  %+8  	 0.209(76)<-----%38   %8

printNotes: i= 140-<1751 1743   8>,  	Bb2 --    1/8th( 68) <      > 	V 77 - M 68	= +9  %+12  	q= +9  %+12  	 0.441(76)
printNotes: i= 141-<1625 1608  17>,  	Ak2 --  1/32nd.( 26) <      > 	V 26 - M 34	= -8  %-31  	q=  +  %+0  	 0.145(76)<-----%31   %0

printNotes: i= 142-<1502 1481  21>,  	 G2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(76)
printNotes: i= 143-<1562 1608 -46>,  	Ak2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(76)
printNotes: i= 144-<1327 1282  45>,  	 F2 --   1/16th( 34) <      > 	V 38 - M 34	= +4  %+11  	q= +4  %+11  	 0.215(76)


silence
printNotes: i= 145-<   0   40 -40>,  	Slc --    1/4th(136) <1*sela> 	V155 - M136	=+19  %+12  	q=+19  %+12  	 0.894(76)
printNotes: i= 146-<1299 1282  17>,  	 F2 --    1/8th( 68) <      > 	V 75 - M102	=-27  %-36  	q= +7  %+9  	 0.430(76)<-----%36   %9

printNotes: i= 147-<1507 1743 -236>,  	Bb2 --   1/16th( 34) <      > 	V 41 - M 34	= +7  %+17  	q= +7  %+17  	 0.232(76)
printNotes: i= 148-<1614 1608   6>,  	Ak2 -- 1/16th..( 60) <      > 	V 58 - M 34	=+24  %+41  	q= -2  %-3  	 0.331(76)<-----%41   %3

