	voice Midi Diff								present		 Best		Sec

printNotes: i= 138-<1597 1604  -7>,  	Ak2 --   1/16th( 34) <      > 	V 39 - M 17	=+22  %+56  	q= +5  %+13  	 0.221(75)<-----%56   %13

printNotes: i= 139-<1713 1743 -30>,  	Bb2 --   1/64th(  9) <      > 	V  9 - M 17	= -8  %-89  	q=  +  %+0  	 0.046(75)<-----%89   %0 <<

printNotes: i= 140-<1613 1604   9>,  	Ak2 -- 1/32nd..( 30) <      > 	V 31 - M 34	= -3  %-10  	q= +1  %+3  	 0.174(75)<-----%10   %3

printNotes: i= 141-<1495 1472  23>,  	 G2 --   1/32nd( 17) <      > 	V 19 - M 27	= -8  %-42  	q= +2  %+11  	 0.104(75)<-----%42   %11

printNotes: i= 142-<1603 1604  -1>,  	Ak2 -- 1/32nd..( 30) <      > 	V 28 - M 14	=+14  %+50  	q= -2  %-7  	 0.157(75)<-----%50   %7

printNotes: i= 143-<1640 1743 -103>,  	Bb2 --    128th(  4) <      > 	V  4 - M 14	=-10  %-250  	q=  +  %+0  	 0.017(75)<-----%250   %0 <<

printNotes: i= 144-<1627 1604  23>,  	Ak2 --   1/32nd( 17) <      > 	V 19 - M 27	= -8  %-42  	q= +2  %+11  	 0.104(75)<-----%42   %11

printNotes: i= 145-<1744 1743   1>,  	Bb2 --  1/32nd.( 26) <      > 	V 27 - M 14	=+13  %+48  	q= +1  %+4  	 0.151(75)<-----%48   %4

printNotes: i= 146-<1819 1957 -138>,  	 C3 --    128th(  4) <      > 	V  5 - M 14	= -9  %-180  	q= +1  %+20  	 0.023(75)<-----%180   %20 <<

printNotes: i= 147-<1751 1743   8>,  	Bb2 -- 1/32nd..( 30) <      > 	V 28 - M 27	= +1  %+4  	q= -2  %-7  	 0.157(75)
printNotes: i= 148-<1618 1604  14>,  	Ak2 --  1/32nd.( 26) <      > 	V 24 - M 34	=-10  %-42  	q= -2  %-8  	 0.134(75)<-----%42   %8

printNotes: i= 149-<1750 1743   7>,  	Bb2 --  1/16th.( 51) <      > 	V 51 - M 34	=+17  %+33  	q=  +  %+0  	 0.290(75)<-----%33   %0

printNotes: i= 150-<1629 1604  25>,  	Ak2 --  1/32nd.( 26) <      > 	V 22 - M 17	= +5  %+23  	q= -4  %-18  	 0.122(75)<-----%23   %18

printNotes: i= 151-<1758 1743  15>,  	Bb2 --  1/32nd.( 26) <      > 	V 23 - M 17	= +6  %+26  	q= -3  %-13  	 0.128(75)<-----%26   %13

printNotes: i= 152-<1617 1604  13>,  	Ak2 --  1/32nd.( 26) <      > 	V 26 - M 34	= -8  %-31  	q=  +  %+0  	 0.145(75)<-----%31   %0

printNotes: i= 153-<1466 1472  -6>,  	 G2 -- 1/64th..( 15) <      > 	V 16 - M 34	=-18  %-112  	q= +1  %+6  	 0.087(75)<-----%112   %6 <<

printNotes: i= 154-<1738 1743  -5>,  	Bb2 --  1/8th..(120) <      > 	V115 - M137	=-22  %-19  	q= -5  %-4  	 0.662(75)<-----%19   %4

printNotes: i= 155-<1962 1957   5>,  	 C3 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(75)
printNotes: i= 156-<1407 1743 -336>,  	Bb2 --  1/16th.( 51) <      > 	V 48 - M 34	=+14  %+29  	q= -3  %-6  	 0.273(75)<-----%29   %6

printNotes: i= 157-<1642 1604  38>,  	Ak2 --  1/16th.( 51) <      > 	V 43 - M 51	= -8  %-19  	q= -8  %-19  	 0.244(75)
printNotes: i= 158-<1493 1472  21>,  	 G2 --  1/16th.( 51) <      > 	V 54 - M 51	= +3  %+6  	q= +3  %+6  	 0.308(75)
printNotes: i= 159-<1279 1264  15>,  	 F2 --   1/8th.(103) <      > 	V 87 - M 34	=+53  %+61  	q=-16  %-18  	 0.499(75)<-----%61   %18



silence
printNotes: i= 160-<   0   40 -40>,  	Slc --   1/8th.(103) <      > 	V106 - M103	= +3  %+3  	q= +3  %+3  	 0.610(75)
printNotes: i= 161-<1285 1264  21>,  	 F2 --   1/16th( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(75)
printNotes: i= 162-<1470 1472  -2>,  	 G2 --  1/32nd.( 26) <      > 	V 27 - M 34	= -7  %-26  	q= +1  %+4  	 0.151(75)<-----%26   %4

