	voice Midi Diff								present		 Best		Sec

printNotes: i= 115-<1974 1972   2>,  	 C3 --   1/16th( 32) <      > 	V 38 - M 64	=-26  %-68  	q= +6  %+16  	 0.215(81)<-----%68   %16

printNotes: i= 116-<2138 2185 -47>,  	 D3 -- 1/32nd..( 28) <      > 	V 26 - M 16	=+10  %+38  	q= -2  %-8  	 0.145(81)<-----%38   %8

printNotes: i= 117-<2349 2355  -6>,  	 E3 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(81)<-----%78   %33 <<

printNotes: i= 118-<2173 2185 -12>,  	 D3 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(81)<-----%88   %6

printNotes: i= 119-<2311 2355 -44>,  	 E3 -- 1/32nd..( 28) <      > 	V 27 - M 16	=+11  %+41  	q= -1  %-4  	 0.151(81)<-----%41   %4

printNotes: i= 120-<2439 2462 -23>,  	 F3 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(81)<-----%167   %0 <<

printNotes: i= 121-<2321 2355 -34>,  	 E3 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(81)<-----%52   %14

printNotes: i= 122-<2485 2462  23>,  	 F3 --   1/16th( 32) <      > 	V 30 - M 16	=+14  %+47  	q= -2  %-7  	 0.168(81)<-----%47   %7

printNotes: i= 123-<2695 2681  14>,  	 G3 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 124-<2338 2355 -17>,  	 E3 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(81)<-----%78   %11

printNotes: i= 125-<2451 2462 -11>,  	 F3 -- 1/16th..( 56) <      > 	V 58 - M 64	= -6  %-10  	q= +2  %+3  	 0.331(81)<-----%10   %3

printNotes: i= 126-<2386 2355  31>,  	 E3 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(81)<-----%28   %4

