	voice Midi Diff								present		 Best		Sec

printNotes: i= 83-<1740 1743  -3>,  	Bb2 --  1/16th.( 49) <      > 	V 43 - M 11	=+32  %+74  	q= -6  %-14  	 0.244(79)<-----%74   %14

printNotes: i= 84-<1953 1958  -5>,  	 C3 -- 1/64th..( 14) <      > 	V 15 - M 11	= +4  %+27  	q= +1  %+7  	 0.081(79)<-----%27   %7 <<

printNotes: i= 85-<1742 1743  -1>,  	Bb2 --   1/4th.(196) <      > 	V183 - M142	=+41  %+22  	q=-13  %-7  	 1.057(79)<-----%22   %7

printNotes: i= 86-<1678 1602  76>,  	Ak2 --  1/32nd.( 25) <      > 	V 21 - M 33	=-12  %-57  	q= -4  %-19  	 0.116(79)<-----%57   %19

printNotes: i= 87-<2012 1958  54>,  	 C3 --    1/4th(131) <      > 	V132 - M 65	=+67  %+51  	q= +1  %+1  	 0.760(79)<-----%51   %1



silence
printNotes: i= 88-<   0   40 -40>,  	Slc --    1/8th( 65) <      > 	V 68 - M131	=-63  %-93  	q= +3  %+4  	 0.389(79)<-----%93   %4

printNotes: i= 89-<1597 1743 -146>,  	Bb2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(79)
printNotes: i= 90-<1592 1602 -10>,  	Ak2 -- 1/32nd..( 29) <      > 	V 27 - M 33	= -6  %-22  	q= -2  %-7  	 0.151(79)<-----%22   %7

printNotes: i= 91-<1774 1743  31>,  	Bb2 -- 1/16th..( 57) <      > 	V 57 - M 33	=+24  %+42  	q=  +  %+0  	 0.325(79)<-----%42   %0

printNotes: i= 92-<1632 1602  30>,  	Ak2 --   1/16th( 33) <      > 	V 40 - M 65	=-25  %-62  	q= +7  %+18  	 0.226(79)<-----%62   %18

printNotes: i= 93-<1469 1473  -4>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 33	=-15  %-83  	q= +2  %+11  	 0.099(79)<-----%83   %11

printNotes: i= 94-<1739 1743  -4>,  	Bb2 --   1/4th.(196) <      > 	V181 - M261	=-80  %-44  	q=-15  %-8  	 1.045(79)<-----%44   %8

printNotes: i= 95-<1834 1958 -124>,  	 C3 --  1/64th.( 12) <      > 	V 13 - M 33	=-20  %-154  	q= +1  %+8  	 0.070(79)<-----%154   %8 <<

printNotes: i= 96-<1757 1743  14>,  	Bb2 --  1/16th.( 49) <      > 	V 52 - M 33	=+19  %+37  	q= +3  %+6  	 0.296(79)<-----%37   %6

