	voice Midi Diff								present		 Best		Sec

printNotes: i= 118-<2111 2181 -70>,  	 D3 --  128th..(  8) <      > 	V  8 - M 18	=-10  %-125  	q=  +  %+0  	 0.041(72)<-----%125   %0 <<

printNotes: i= 119-<1948 1964 -16>,  	 C3 --  1/32nd.( 27) <      > 	V 24 - M 36	=-12  %-50  	q= -3  %-12  	 0.134(72)<-----%50   %12

printNotes: i= 120-<1768 1741  27>,  	Bb2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(72)
printNotes: i= 121-<1925 1964 -39>,  	 C3 --  128th..(  8) <      > 	V  8 - M 18	=-10  %-125  	q=  +  %+0  	 0.041(72)<-----%125   %0 <<

printNotes: i= 122-<1755 1741  14>,  	Bb2 --  1/32nd.( 27) <      > 	V 27 - M 36	= -9  %-33  	q=  +  %+0  	 0.151(72)<-----%33   %0

printNotes: i= 123-<1611 1611    >,  	Ak2 -- 1/64th..( 16) <      > 	V 14 - M 18	= -4  %-29  	q= -2  %-14  	 0.075(72)<-----%29   %14 <<

printNotes: i= 124-<1684 1741 -57>,  	Bb2 -- 1/64th..( 16) <      > 	V 15 - M 18	= -3  %-20  	q= -1  %-7  	 0.081(72)<-----%20   %7 <<

printNotes: i= 125-<1600 1611 -11>,  	Ak2 --   1/32nd( 18) <      > 	V 21 - M 36	=-15  %-71  	q= +3  %+14  	 0.116(72)<-----%71   %14

printNotes: i= 126-<1530 1477  53>,  	 G2 --   1/32nd( 18) <      > 	V 22 - M 36	=-14  %-64  	q= +4  %+18  	 0.122(72)<-----%64   %18

printNotes: i= 127-<1610 1611  -1>,  	Ak2 --   1/4th.(216) <-1*sela> 	V193 - M216	=-23  %-12  	q=-23  %-12  	 1.115(72)
printNotes: i= 128-< 840 1477 -637>,  	 G2 --   1/16th( 36) <      > 	V 42 - M 36	= +6  %+14  	q= +6  %+14  	 0.238(72)
printNotes: i= 129-<1127 1268 -141>,  	 F2 --  1/64th.( 13) <      > 	V 13 - M 36	=-23  %-177  	q=  +  %+0  	 0.070(72)<-----%177   %0 <<



silence
