	voice Midi Diff								present		 Best		Sec

printNotes: i= 114-<2688 2653  35>,  	Bb2 --    128th(  4) <      > 	V  4 - M 17	=-13  %-325  	q=  +  %+0  	 0.017(77)<-----%325   %0 <<

printNotes: i= 115-<2851 2887 -36>,  	 C3 --  1/64th.( 13) <      > 	V 10 - M 17	= -7  %-70  	q= -3  %-30  	 0.052(77)<-----%70   %30 <<

printNotes: i= 116-<2646 2653  -7>,  	Bb2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(77)
printNotes: i= 117-<2985 2887  98>,  	 C3 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(77)<-----%31   %0 <<

printNotes: i= 118-<2134 2653 -519>,  	Bb2 --  1/16th.( 50) <      > 	V 45 - M 17	=+28  %+62  	q= -5  %-11  	 0.255(77)<-----%62   %11

printNotes: i= 119-<2583 2587  -4>,  	 A2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(77)
printNotes: i= 120-<2690 2653  37>,  	Bb2 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(77)<-----%31   %0 <<

printNotes: i= 121-<2575 2587 -12>,  	 A2 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(77)
printNotes: i= 122-<2162 2392 -230>,  	 G2 --    1/8th( 67) <      > 	V 71 - M 67	= +4  %+6  	q= +4  %+6  	 0.406(77)
printNotes: i= 123-<2567 2587 -20>,  	 A2 --  1/16th.( 50) <      > 	V 42 - M 67	=-25  %-60  	q= -8  %-19  	 0.238(77)<-----%60   %19

printNotes: i= 124-<2391 2392  -1>,  	 G2 -- 1/16th..( 59) <      > 	V 56 - M 50	= +6  %+11  	q= -3  %-5  	 0.319(77)<-----%11   %5



silence
printNotes: i= 125-<   0   40 -40>,  	Slc --    1/4th(134) <      > 	V134 - M134	=  +  %+0  	q=  +  %+0  	 0.772(77)
printNotes: i= 126-<1750 1687  63>,  	 C2 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(77)
printNotes: i= 127-<2505 2587 -82>,  	 A2 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(77)
printNotes: i= 128-<1540 2392 -852>,  	 G2 --    1/8th( 67) <      > 	V 68 - M 67	= +1  %+1  	q= +1  %+1  	 0.389(77)
printNotes: i= 129-<2230 2392 -162>,  	 G2 --  1/16th.( 50) <      > 	V 45 - M 45	=  +  %+0  	q= -5  %-11  	 0.255(77)<-- same note
printNotes: i= 130-<2578 2587  -9>,  	 A2 --   1/16th( 33) <      > 	V 32 - M 45	=-13  %-41  	q= -1  %-3  	 0.180(77)<-----%41   %3

printNotes: i= 131-<2402 2392  10>,  	 G2 --  1/16th.( 50) <      > 	V 43 - M 45	= -2  %-5  	q= -7  %-16  	 0.244(77)
printNotes: i= 132-<2554 2587 -33>,  	 A2 --    128th(  4) <      > 	V  2 - M 33	=-31  %-1550  	q= -2  %-100  	 0.006(77)<-----%1550   %100 <<

printNotes: i= 133-<2693 2653  40>,  	Bb2 --  1/64th.( 13) <      > 	V 11 - M 33	=-22  %-200  	q= -2  %-18  	 0.058(77)<-----%200   %18 <<

printNotes: i= 134-<2553 2587 -34>,  	 A2 -- 1/64th..( 15) <      > 	V 16 - M 33	=-17  %-106  	q= +1  %+6  	 0.087(77)<-----%106   %6 <<

printNotes: i= 135-<1765 2653 -888>,  	Bb2 --  1/32nd.( 25) <      > 	V 22 - M 33	=-11  %-50  	q= -3  %-14  	 0.122(77)<-----%50   %14

printNotes: i= 136-<2183 2587 -404>,  	 A2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(77)
printNotes: i= 137-<2384 2392  -8>,  	 G2 --    1/8th( 67) <      > 	V 64 - M 67	= -3  %-5  	q= -3  %-5  	 0.366(77)
printNotes: i= 138-<2605 2587  18>,  	 A2 --  1/64th.( 13) <      > 	V 14 - M 17	= -3  %-21  	q= +1  %+7  	 0.075(77)<-----%21   %7 <<

printNotes: i= 139-<1887 2392 -505>,  	 G2 -- 1/32nd..( 29) <      > 	V 27 - M 33	= -6  %-22  	q= -2  %-7  	 0.151(77)<-----%22   %7

printNotes: i= 140-<1480 2182 -702>,  	 F2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
