	voice Midi Diff								present		 Best		Sec

i= 112--<2525 2519   6>,   	 G2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(94)
i= 113--<2624 2653 -29>,   	Ak2 --  1/64th.( 10) <      > 	V 10 - M 11	= -1  %-10  	q=  +  %+0  	 0.052(94)
i= 114--<2341 2318  23>,   	 F2 --  1/32nd.( 20) <      > 	V 17 - M 14	= +3  %+18  	q= -3  %-18  	 0.093(94)
i= 115--<2518 2519  -1>,   	 G2 -- 1/32nd..( 24) <      > 	V 25 - M 25	=  +  %+0  	q= +1  %+4  	 0.139(94)
i= 116--<2805 2797   8>,   	Bb2 --  1/64th.( 10) <      > 	V  7 - M  7	=  +  %+0  	q= -3  %-43  	 0.035(94)
i= 117--<2683 2653  30>,   	Ak2 --   1/32nd( 13) <      > 	V 16 - M 14	= +2  %+12  	q= +3  %+19  	 0.087(94)
i= 118--<2675 2797 -122>,   	Bb2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(94)
i= 119--<2524 2653 -129>,   	Ak2 --  1/32nd.( 20) <      > 	V 18 - M 14	= +4  %+22  	q= -2  %-11  	 0.099(94)<-----%22   %11

i= 120--<2658 3019 -361>,   	 C3 --  1/64th.( 10) <      > 	V 10 - M 11	= -1  %-10  	q=  +  %+0  	 0.052(94)
i= 121--<2308 2519 -211>,   	 G2 --  1/16th.( 41) <      > 	V 34 - M 28	= +6  %+18  	q= -7  %-21  	 0.192(94)
i= 122--<2476 3019 -543>,   	 C3 -- 1/64th..( 12) <      > 	V 12 - M 11	= +1  %+8  	q=  +  %+0  	 0.064(94)
i= 123--<2441 2519 -78>,   	 G2 --  1/8th..( 96) <      > 	V 94 - M 83	=+11  %+12  	q= -2  %-2  	 0.540(94)<-----%12   %2

i= 124--<2354 3019 -665>,   	 C3 --  1/64th.( 10) <      > 	V 10 - M 11	= -1  %-10  	q=  +  %+0  	 0.052(94)
i= 125--<2669 2653  16>,   	Ak2 --    1/8th( 55) <      > 	V 67 - M 56	=+11  %+16  	q=+12  %+18  	 0.383(94)
i= 126--<2498 2519 -21>,   	 G2 --    1/8th( 55) <      > 	V 58 - M 56	= +2  %+3  	q= +3  %+5  	 0.331(94)


silence
i= 127--<   0   40 -40>,   	Slc --   half..(385) <1*sela> 	V402 - M391	=+11  %+3  	q=+17  %+4  	 2.328(94)
i= 128--<2295 2318 -23>,   	 F2 --  1/64th.( 10) <      > 	V  7 - M 14	= -7  %-100  	q= -3  %-43  	 0.035(94)<-----%100   %43 <<

i= 129--<1933 2318 -385>,   	 F2 --  1/64th.( 10) <      > 	V 11 - M 28	=-17  %-155  	q= +1  %+9  	 0.058(94)<-- same note<-----%155   %9 <<

i= 130--<2243 2519 -276>,   	 G2 --   1/8th.( 82) <      > 	V 86 - M 83	= +3  %+3  	q= +4  %+5  	 0.493(94)
i= 131--<1338 2653 -1315>,   	Ak2 --  1/16th.( 41) <      > 	V 42 - M 42	=  +  %+0  	q= +1  %+2  	 0.238(94)
i= 132--<2276 2519 -243>,   	 G2 --   1/8th.( 82) <      > 	V 73 - M 56	=+17  %+23  	q= -9  %-12  	 0.418(94)<-----%23   %12

i= 133--<1352 2653 -1301>,   	Ak2 --  1/32nd.( 20) <      > 	V 18 - M 14	= +4  %+22  	q= -2  %-11  	 0.099(94)<-----%22   %11

i= 134--<1341 2318 -977>,   	 F2 --    1/8th( 55) <      > 	V 52 - M 49	= +3  %+6  	q= -3  %-6  	 0.296(94)
i= 135--<2599 2653 -54>,   	Ak2 -- 1/64th..( 12) <      > 	V 12 - M 11	= +1  %+8  	q=  +  %+0  	 0.064(94)
i= 136--<2520 2519   1>,   	 G2 --    1/8th( 55) <      > 	V 59 - M 56	= +3  %+5  	q= +4  %+7  	 0.337(94)


silence
i= 137--<   0   40 -40>,   	Slc --  1/4th..(192) <      > 	V201 - M193	= +8  %+4  	q= +9  %+4  	 1.161(94)
i= 138--<1301 1477 -176>,   	Ak1 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(94)
