	voice Midi Diff								present		 Best		Sec

printNotes: i= 145-<2202 2352 -150>,  	 G2 --   1/4th.(190) <      > 	V186 - M222	=-36  %-19  	q= -4  %-2  	 1.074(82)<-----%19   %2

printNotes: i= 146-<2524 2555 -31>,  	 A2 --  1/16th.( 48) <      > 	V 45 - M 48	= -3  %-7  	q= -3  %-7  	 0.255(82)
printNotes: i= 147-<2380 2352  28>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(82)
printNotes: i= 148-<2113 2555 -442>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(82)<-----%45   %9 <<

printNotes: i= 149-<2335 2352 -17>,  	 G2 --  1/32nd.( 24) <      > 	V 22 - M 16	= +6  %+27  	q= -2  %-9  	 0.122(82)<-----%27   %9

printNotes: i= 150-<2408 2555 -147>,  	 A2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(82)<-----%167   %0 <<

printNotes: i= 151-<2337 2352 -15>,  	 G2 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(82)<-----%23   %8

printNotes: i= 152-<2134 2141  -7>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(82)
printNotes: i= 153-<1838 2352 -514>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(82)<-----%78   %33 <<

printNotes: i= 154-<2130 2141 -11>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(82)<-----%88   %6

printNotes: i= 155-<2389 2352  37>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(82)<-----%129   %0 <<

printNotes: i= 156-<2122 2141 -19>,  	 F2 --   1/8th.( 95) <      > 	V101 - M 63	=+38  %+38  	q= +6  %+6  	 0.580(82)<-----%38   %6

printNotes: i= 157-<2356 2352   4>,  	 G2 --    1/8th( 63) <      > 	V 67 - M 63	= +4  %+6  	q= +4  %+6  	 0.383(82)
printNotes: i= 158-<2177 2141  36>,  	 F2 -- 1/16th..( 55) <      > 	V 57 - M 63	= -6  %-11  	q= +2  %+4  	 0.325(82)<-----%11   %4



silence
printNotes: i= 159-<   0   40 -40>,  	Slc --  1/4th..(222) <      > 	V218 - M190	=+28  %+13  	q= -4  %-2  	 1.260(82)<-----%13   %2

printNotes: i= 160-<1652 1652    >,  	 C2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(82)<-----%14   %0

printNotes: i= 161-<2128 2141 -13>,  	 F2 --   1/8th.( 95) <-1*sela> 	V 79 - M 32	=+47  %+59  	q=-16  %-20  	 0.453(82)<-----%59   %20

printNotes: i= 162-<2155 2141  14>,  	 F2 --    1/8th( 63) <      > 	V 63 - M 63	=  +  %+0  	q=  +  %+0  	 0.360(82)<-- same note
printNotes: i= 163-<1289 2352 -1063>,  	 G2 -- 1/16th..( 55) <      > 	V 58 - M 32	=+26  %+45  	q= +3  %+5  	 0.331(82)<-----%45   %5

