	voice Midi Diff								present		 Best		Sec

printNotes: i= 77-<1868 1867   1>,  	 D2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 78-<2007 2008  -1>,  	Ek2 --    half.(381) <-3*sela> 	V320 - M381	=-61  %-19  	q=-61  %-19  	 1.852(81)
printNotes: i= 79-<1886 1867  19>,  	 D2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 80-<1984 2008 -24>,  	Ek2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(81)<-----%14   %0

printNotes: i= 81-<2123 2159 -36>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(81)<-----%14   %0

printNotes: i= 82-<2052 2378 -326>,  	 G2 --     half(254) <      > 	V260 - M254	= +6  %+2  	q= +6  %+2  	 1.503(81)


silence
printNotes: i= 83-<   0   40 -40>,  	Slc --    1/8th( 63) <      > 	V 61 - M 63	= -2  %-3  	q= -2  %-3  	 0.348(81)
printNotes: i= 84-<1576 1659 -83>,  	 C2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 85-<2088 2159 -71>,  	 F2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 86-<2016 2008   8>,  	Ek2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 87-<2118 2159 -41>,  	 F2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 88-<2361 2378 -17>,  	 G2 --  1/32nd.( 24) <      > 	V 23 - M 48	=-25  %-109  	q= -1  %-4  	 0.128(81)<-----%109   %4

printNotes: i= 89-<2655 2574  81>,  	 A2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 90-<2388 2378  10>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 91-<1929 2574 -645>,  	 A2 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(81)<-----%100   %0 <<

printNotes: i= 92-<2148 2159 -11>,  	 F2 --  1/16th.( 48) <      > 	V 41 - M 32	= +9  %+22  	q= -7  %-17  	 0.232(81)<-----%22   %17

printNotes: i= 93-<2380 2378   2>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(81)<-----%191   %9 <<

printNotes: i= 94-<2025 2008  17>,  	Ek2 --  1/16th.( 48) <      > 	V 45 - M 32	=+13  %+29  	q= -3  %-7  	 0.255(81)<-----%29   %7

printNotes: i= 95-<2188 2159  29>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 96-<1866 1867  -1>,  	 D2 --   1/4th.(190) <      > 	V204 - M254	=-50  %-25  	q=+14  %+7  	 1.178(81)<-----%25   %7

printNotes: i= 97-<1976 2008 -32>,  	Ek2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 98-<2141 2159 -18>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(81)<-----%33   %0 <<

printNotes: i= 99-<1886 1867  19>,  	 D2 --  1/8th..(111) <      > 	V103 - M 95	= +8  %+8  	q= -8  %-8  	 0.592(81)
printNotes: i= 100-<1981 2008 -27>,  	Ek2 --   1/16th( 32) <      > 	V 32 - M 16	=+16  %+50  	q=  +  %+0  	 0.180(81)<-----%50   %0

printNotes: i= 101-<2200 2159  41>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 102-<1889 1867  22>,  	 D2 --    1/8th( 63) <      > 	V 61 - M 63	= -2  %-3  	q= -2  %-3  	 0.348(81)
printNotes: i= 103-<1967 2008 -41>,  	Ek2 --   1/16th( 32) <      > 	V 37 - M 48	=-11  %-30  	q= +5  %+14  	 0.209(81)<-----%30   %14

printNotes: i= 104-<1891 1867  24>,  	 D2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 105-<2140 2159 -19>,  	 F2 --     half(254) <      > 	V244 - M254	=-10  %-4  	q=-10  %-4  	 1.411(81)
printNotes: i= 106-<2025 2008  17>,  	Ek2 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(81)<-----%23   %8

printNotes: i= 107-<1866 1867  -1>,  	 D2 --  1/32nd.( 24) <      > 	V 20 - M 32	=-12  %-60  	q= -4  %-20  	 0.110(81)<-----%60   %20

printNotes: i= 108-<2013 2008   5>,  	Ek2 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(81)<-----%23   %8

printNotes: i= 109-<2152 2159  -7>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 16	=+12  %+43  	q=  +  %+0  	 0.157(81)<-----%43   %0

printNotes: i= 110-<2259 2378 -119>,  	 G2 --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(81)<-----%433   %33 <<

printNotes: i= 111-<2155 2159  -4>,  	 F2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 112-<2009 2008   1>,  	Ek2 --   1/16th( 32) <      > 	V 31 - M 21	=+10  %+32  	q= -1  %-3  	 0.174(81)<-----%32   %3

printNotes: i= 113-<2120 2159 -39>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 21	=-10  %-91  	q= -1  %-9  	 0.058(81)<-----%91   %9 <<

printNotes: i= 114-<1883 1867  16>,  	 D2 --   1/16th( 32) <      > 	V 30 - M 21	= +9  %+30  	q= -2  %-7  	 0.168(81)<-----%30   %7

printNotes: i= 115-<1996 2008 -12>,  	Ek2 -- 1/64th..( 14) <      > 	V 14 - M 21	= -7  %-50  	q=  +  %+0  	 0.075(81)<-----%50   %0 <<

printNotes: i= 116-<1672 1659  13>,  	 C2 -- 1/32nd..( 28) <      > 	V 26 - M 42	=-16  %-62  	q= -2  %-8  	 0.145(81)<-----%62   %8



silence
printNotes: i= 117-<   0   40 -40>,  	Slc --    1/4th(127) <1*sela> 	V143 - M127	=+16  %+11  	q=+16  %+11  	 0.824(81)
printNotes: i= 118-<1672 1659  13>,  	 C2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(81)
printNotes: i= 119-<2132 2159 -27>,  	 F2 --   1/4th.(190) <-1*sela> 	V170 - M190	=-20  %-12  	q=-20  %-12  	 0.981(81)
printNotes: i= 120-<2006 2008  -2>,  	Ek2 --   1/4th.(190) <-1*sela> 	V169 - M190	=-21  %-12  	q=-21  %-12  	 0.975(81)
printNotes: i= 121-<1897 1867  30>,  	 D2 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(81)<-----%191   %9 <<

printNotes: i= 122-<2011 2008   3>,  	Ek2 --     half(254) <1*sela> 	V284 - M254	=+30  %+11  	q=+30  %+11  	 1.643(81)


silence
printNotes: i= 123-<   0   40 -40>,  	Slc --   whole.(762) <1*sela> 	V792 - M762	=+30  %+4  	q=+30  %+4  	 4.592(81)
printNotes: i= 124-<1184 2159 -975>,  	 F2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 125-<2056 2159 -103>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(81)<-- same note<-----%88   %6

printNotes: i= 126-<1943 2008 -65>,  	Ek2 --     half(254) <1*sela> 	V281 - M190	=+91  %+32  	q=+27  %+10  	 1.625(81)<-----%32   %10

printNotes: i= 127-<1925 2008 -83>,  	Ek2 --    1/8th( 63) <      > 	V 63 - M 63	=  +  %+0  	q=  +  %+0  	 0.360(81)<-- same note


silence
printNotes: i= 128-<   0   40 -40>,  	Slc --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(81)<-----%33   %0 <<

printNotes: i= 129-<2159 2159    >,  	 F2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(81)
printNotes: i= 130-< 411 2159 -1748>,  	 F2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 131-<1966 2008 -42>,  	Ek2 --   1/8th.( 95) <      > 	V 91 - M 63	=+28  %+31  	q= -4  %-4  	 0.522(81)<-----%31   %4

printNotes: i= 132-<2093 2008  85>,  	Ek2 --    1/8th( 63) <      > 	V 63 - M 63	=  +  %+0  	q=  +  %+0  	 0.360(81)<-- same note


silence
printNotes: i= 133-<   0   40 -40>,  	Slc --     half(254) <2*sela> 	V287 - M254	=+33  %+11  	q=+33  %+11  	 1.660(81)
printNotes: i= 134-<1714 1659  55>,  	 C2 --   1/64th(  8) <      > 	V 10 - M 32	=-22  %-220  	q= +2  %+20  	 0.052(81)<-----%220   %20 <<

printNotes: i= 135-<2061 2159 -98>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 48	=-34  %-243  	q=  +  %+0  	 0.075(81)<-----%243   %0 <<



silence
printNotes: i= 136-<  78   40  38>,  	Slc -- 1/32nd..( 28) <      > 	V 27 - M 16	=+11  %+41  	q= -1  %-4  	 0.151(81)<-----%41   %4

printNotes: i= 137-<1976 2008 -32>,  	Ek2 -- 1/16th..( 56) <      > 	V 55 - M 63	= -8  %-15  	q= -1  %-2  	 0.313(81)<-----%15   %2

printNotes: i= 138-<1892 1867  25>,  	 D2 --    1/8th( 63) <      > 	V 61 - M 32	=+29  %+48  	q= -2  %-3  	 0.348(81)<-----%48   %3

printNotes: i= 139-<2344 2378 -34>,  	 G2 --    1/8th( 63) <      > 	V 64 - M 63	= +1  %+2  	q= +1  %+2  	 0.366(81)
