	voice Midi Diff								present		 Best		Sec

printNotes: i= 128-<2152 2152    >,  	 F2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(84)<-----%15   %0 <<

printNotes: i= 129-<2353 2362  -9>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 15	= -3  %-25  	q=  +  %+0  	 0.064(84)<-----%25   %0 <<

printNotes: i= 130-<2161 2152   9>,  	 F2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 131-<2281 2362 -81>,  	 G2 --   1/64th(  8) <      > 	V  8 - M 15	= -7  %-88  	q=  +  %+0  	 0.041(84)<-----%88   %0 <<

printNotes: i= 132-<2158 2152   6>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(84)<-----%15   %0

printNotes: i= 133-<1998 1992   6>,  	Ek2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 134-<2049 2152 -103>,  	 F2 --  128th..(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(84)<-----%114   %0 <<

printNotes: i= 135-<1986 1992  -6>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(84)<-----%19   %4

printNotes: i= 136-<1851 1882 -31>,  	 D2 --   1/32nd( 15) <      > 	V 18 - M 31	=-13  %-72  	q= +3  %+17  	 0.099(84)<-----%72   %17

printNotes: i= 137-<1988 1992  -4>,  	Ek2 --  1/32nd.( 23) <      > 	V 19 - M 31	=-12  %-63  	q= -4  %-21  	 0.104(84)<-----%63   %21



silence
printNotes: i= 138-<   0   40 -40>,  	Slc --  1/16th.( 46) <      > 	V 44 - M 15	=+29  %+66  	q= -2  %-5  	 0.250(84)<-----%66   %5

printNotes: i= 139-<1622 1992 -370>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 15	= +9  %+38  	q= +1  %+4  	 0.134(84)<-----%38   %4

printNotes: i= 140-<2176 2152  24>,  	 F2 --   1/4th.(184) <-1*sela> 	V164 - M215	=-51  %-31  	q=-20  %-12  	 0.946(84)<-----%31   %12

printNotes: i= 141-<1820 1992 -172>,  	Ek2 --  1/16th.( 46) <      > 	V 48 - M 31	=+17  %+35  	q= +2  %+4  	 0.273(84)<-----%35   %4

printNotes: i= 142-<1847 1992 -145>,  	Ek2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 143-<2251 2362 -111>,  	 G2 --   1/4th.(184) <-1*sela> 	V156 - M123	=+33  %+21  	q=-28  %-18  	 0.900(84)<-----%21   %18



silence
printNotes: i= 144-<   0   40 -40>,  	Slc --  1/8th..(108) <      > 	V115 - M123	= -8  %-7  	q= +7  %+6  	 0.662(84)
