	voice Midi Diff								present		 Best		Sec

printNotes: i= 150-<4106 3029 1077>,  	 G3 --    1/4th(123) <1*sela> 	V142 - M123	=+19  %+13  	q=+19  %+13  	 0.819(84)
printNotes: i= 151-<2995 2813 182>,  	 F3 --    1/4th(123) <1*sela> 	V150 - M215	=-65  %-43  	q=+27  %+18  	 0.865(84)<-----%43   %18

printNotes: i= 152-<2739 2700  39>,  	 E3 --  1/64th.( 12) <      > 	V  9 - M 31	=-22  %-244  	q= -3  %-33  	 0.046(84)<-----%244   %33 <<

printNotes: i= 153-<2310 2813 -503>,  	 F3 --    1/4th(123) <1*sela> 	V148 - M 31	=+117  %+79  	q=+25  %+17  	 0.853(84)<-----%79   %17



silence
printNotes: i= 154-<   0   40 -40>,  	Slc -- 1/16th..( 54) <      > 	V 56 - M 92	=-36  %-64  	q= +2  %+4  	 0.319(84)<-----%64   %4

printNotes: i= 155-<2101 2333 -232>,  	 C3 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)
printNotes: i= 156-<2779 2813 -34>,  	 F3 --  1/16th.( 46) <      > 	V 45 - M 61	=-16  %-36  	q= -1  %-2  	 0.255(84)<-----%36   %2

printNotes: i= 157-<2701 2700   1>,  	 E3 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(84)
printNotes: i= 158-<2809 2813  -4>,  	 F3 --    1/8th( 61) <      > 	V 58 - M 61	= -3  %-5  	q= -3  %-5  	 0.331(84)
printNotes: i= 159-<2690 2700 -10>,  	 E3 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 160-<2828 2813  15>,  	 F3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 161-<1334 2534 -1200>,  	 D3 --   1/16th( 31) <      > 	V 38 - M 61	=-23  %-61  	q= +7  %+18  	 0.215(84)<-----%61   %18

