	voice Midi Diff								present		 Best		Sec

printNotes: i= 134-<1963 1947  16>,  	Ak2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(85)
printNotes: i= 135-<1831 1810  21>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(85)<-----%173   %0 <<

printNotes: i= 136-<1951 1947   4>,  	Ak2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(85)
printNotes: i= 137-<2101 2101    >,  	Bb2 --   1/8th.( 91) <      > 	V 97 - M122	=-25  %-26  	q= +6  %+6  	 0.557(85)<-----%26   %6

printNotes: i= 138-<1951 1947   4>,  	Ak2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(85)
printNotes: i= 139-<1844 1810  34>,  	 G2 -- 1/16th..( 53) <      > 	V 55 - M 46	= +9  %+16  	q= +2  %+4  	 0.313(85)<-----%16   %4

printNotes: i= 140-<1655 1599  56>,  	 F2 -- 1/16th..( 53) <      > 	V 56 - M 61	= -5  %-9  	q= +3  %+5  	 0.319(85)<-----%9   %5



silence
printNotes: i= 141-<   0   40 -40>,  	Slc --   1/4th.(183) <-1*sela> 	V159 - M122	=+37  %+23  	q=-24  %-15  	 0.917(85)<-----%23   %15

printNotes: i= 142-<1568 1599 -31>,  	 F2 --  1/16th.( 46) <      > 	V 43 - M 46	= -3  %-7  	q= -3  %-7  	 0.244(85)
printNotes: i= 143-<1977 2101 -124>,  	Bb2 --  1/16th.( 46) <      > 	V 38 - M 30	= +8  %+21  	q= -8  %-21  	 0.215(85)
printNotes: i= 144-<1971 1947  24>,  	Ak2 --  1/16th.( 46) <      > 	V 43 - M 30	=+13  %+30  	q= -3  %-7  	 0.244(85)<-----%30   %7

printNotes: i= 145-<1944 1947  -3>,  	Ak2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)<-- same note
printNotes: i= 146-<2164 2101  63>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 30	=-18  %-150  	q= +1  %+8  	 0.064(85)<-----%150   %8 <<

printNotes: i= 147-<1950 1947   3>,  	Ak2 --    1/8th( 61) <      > 	V 68 - M 30	=+38  %+56  	q= +7  %+10  	 0.389(85)<-----%56   %10

printNotes: i= 148-<2148 2101  47>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(85)<-----%100   %0 <<

printNotes: i= 149-<1955 1947   8>,  	Ak2 --    1/8th( 61) <      > 	V 59 - M 30	=+29  %+49  	q= -2  %-3  	 0.337(85)<-----%49   %3

printNotes: i= 150-<2132 2101  31>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(85)<-----%114   %7 <<

printNotes: i= 151-<1930 1947 -17>,  	Ak2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(85)
printNotes: i= 152-<1811 1810   1>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(85)
printNotes: i= 153-<1908 2101 -193>,  	Bb2 --   1/8th.( 91) <      > 	V 80 - M 30	=+50  %+62  	q=-11  %-14  	 0.459(85)<-----%62   %14

printNotes: i= 154-<2234 2322 -88>,  	 C3 --    128th(  4) <      > 	V  5 - M 30	=-25  %-500  	q= +1  %+20  	 0.023(85)<-----%500   %20 <<

printNotes: i= 155-<2103 2101   2>,  	Bb2 --    128th(  4) <      > 	V  5 - M 30	=-25  %-500  	q= +1  %+20  	 0.023(85)<-----%500   %20 <<

printNotes: i= 156-<1765 1947 -182>,  	Ak2 --   1/8th.( 91) <      > 	V 93 - M 46	=+47  %+51  	q= +2  %+2  	 0.534(85)<-----%51   %2



silence
