	voice Midi Diff								present		 Best		Sec

printNotes: i= 110-< 540 1497 -957>,  	 E2 -- 1/16th..( 52) <      > 	V 52 - M 30	=+22  %+42  	q=  +  %+0  	 0.296(88)<-----%42   %0

printNotes: i= 111-<1636 1597  39>,  	 F2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(88)
printNotes: i= 112-<1794 1819 -25>,  	 G2 --  1/16th.( 44) <      > 	V 42 - M 59	=-17  %-40  	q= -2  %-5  	 0.238(88)<-----%40   %5

printNotes: i= 113-<1891 1895  -4>,  	Ab2 -- 1/32nd..( 26) <      > 	V 26 - M 39	=-13  %-50  	q=  +  %+0  	 0.145(88)<-----%50   %0

printNotes: i= 114-<1830 1819  11>,  	 G2 --   1/16th( 30) <      > 	V 31 - M 39	= -8  %-26  	q= +1  %+3  	 0.174(88)<-----%26   %3

printNotes: i= 115-<1875 1895 -20>,  	Ab2 --  1/32nd.( 22) <      > 	V 22 - M 39	=-17  %-77  	q=  +  %+0  	 0.122(88)<-----%77   %0

printNotes: i= 116-<1818 1819  -1>,  	 G2 --   1/4th.(177) <      > 	V181 - M236	=-55  %-30  	q= +4  %+2  	 1.045(88)<-----%30   %2

printNotes: i= 117-<1169 1597 -428>,  	 F2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(88)
printNotes: i= 118-< 979 1819 -840>,  	 G2 --   1/8th.( 89) <      > 	V 92 - M 59	=+33  %+36  	q= +3  %+3  	 0.528(88)<-----%36   %3

printNotes: i= 119-<2166 2096  70>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(88)<-----%88   %6 <<

printNotes: i= 120-<1197 1895 -698>,  	Ab2 --   1/8th.( 89) <      > 	V 75 - M 59	=+16  %+21  	q=-14  %-19  	 0.430(88)
printNotes: i= 121-<1828 1819   9>,  	 G2 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(88)<-----%67   %22 <<

printNotes: i= 122-<1901 1895   6>,  	Ab2 --   1/16th( 30) <      > 	V 36 - M 15	=+21  %+58  	q= +6  %+17  	 0.203(88)<-----%58   %17

printNotes: i= 123-<1816 1819  -3>,  	 G2 --  1/64th.( 11) <      > 	V 10 - M 30	=-20  %-200  	q= -1  %-10  	 0.052(88)<-----%200   %10 <<

printNotes: i= 124-<1638 1597  41>,  	 F2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 125-< 808 1819 -1011>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(88)<-----%36   %0 <<

printNotes: i= 126-< 751 1597 -846>,  	 F2 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(88)<-----%173   %0 <<

printNotes: i= 127-<1811 1819  -8>,  	 G2 --    1/8th( 59) <      > 	V 70 - M 59	=+11  %+16  	q=+11  %+16  	 0.401(88)
printNotes: i= 128-<1834 1819  15>,  	 G2 --     half(236) <      > 	V236 - M236	=  +  %+0  	q=  +  %+0  	 1.364(88)<-- same note


silence
printNotes: i= 129-<   0   40 -40>,  	Slc --   1/4th.(177) <-1*sela> 	V161 - M118	=+43  %+27  	q=-16  %-10  	 0.929(88)<-----%27   %10

printNotes: i= 130-<1466 1597 -131>,  	 F2 --    1/8th( 59) <      > 	V 56 - M 59	= -3  %-5  	q= -3  %-5  	 0.319(88)
printNotes: i= 131-<1795 1819 -24>,  	 G2 --   1/16th( 30) <      > 	V 29 - M 59	=-30  %-103  	q= -1  %-3  	 0.163(88)<-----%103   %3

printNotes: i= 132-<1894 1895  -1>,  	Ab2 -- 1/32nd..( 26) <      > 	V 24 - M 20	= +4  %+17  	q= -2  %-8  	 0.134(88)<-----%17   %8

printNotes: i= 133-< 546 2096 -1550>,  	Bb2 --   1/32nd( 15) <      > 	V 18 - M 20	= -2  %-11  	q= +3  %+17  	 0.099(88)
printNotes: i= 134-<1895 1895    >,  	Ab2 --     half(236) <      > 	V242 - M256	=-14  %-6  	q= +6  %+2  	 1.399(88)
printNotes: i= 135-<1829 1819  10>,  	 G2 --  1/16th.( 44) <      > 	V 40 - M 59	=-19  %-48  	q= -4  %-10  	 0.226(88)<-----%48   %10

printNotes: i= 136-<1859 1895 -36>,  	Ab2 --  1/16th.( 44) <      > 	V 37 - M 59	=-22  %-59  	q= -7  %-19  	 0.209(88)<-----%59   %19

printNotes: i= 137-<1958 2096 -138>,  	Bb2 --  1/16th.( 44) <      > 	V 38 - M 20	=+18  %+47  	q= -6  %-16  	 0.215(88)<-----%47   %16

printNotes: i= 138-<2325 2324   1>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 20	= -5  %-33  	q=  +  %+0  	 0.081(88)<-----%33   %0 <<

printNotes: i= 139-<2107 2096  11>,  	Bb2 --    1/4th(118) <      > 	V131 - M197	=-66  %-50  	q=+13  %+10  	 0.755(88)<-----%50   %10

printNotes: i= 140-<1793 2324 -531>,  	 C3 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(88)<-----%76   %12

printNotes: i= 141-<2022 2096 -74>,  	Bb2 -- 1/16th..( 52) <      > 	V 52 - M 30	=+22  %+42  	q=  +  %+0  	 0.296(88)<-----%42   %0

printNotes: i= 142-<1899 1895   4>,  	Ab2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(88)<-----%21   %16

printNotes: i= 143-<2039 2096 -57>,  	Bb2 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(88)<-----%150   %0 <<

printNotes: i= 144-<1907 1895  12>,  	Ab2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(88)<-----%15   %0

printNotes: i= 145-<1817 1819  -2>,  	 G2 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(88)<-----%25   %10

printNotes: i= 146-<1902 1895   7>,  	Ab2 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(88)<-----%67   %22 <<

printNotes: i= 147-<1812 1819  -7>,  	 G2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(88)<-----%20   %4

printNotes: i= 148-< 880 1597 -717>,  	 F2 --  1/16th.( 44) <      > 	V 44 - M 15	=+29  %+66  	q=  +  %+0  	 0.250(88)<-----%66   %0

printNotes: i= 149-<1696 1819 -123>,  	 G2 --    128th(  4) <      > 	V  5 - M 15	=-10  %-200  	q= +1  %+20  	 0.023(88)<-----%200   %20 <<

printNotes: i= 150-<1603 1597   6>,  	 F2 --    128th(  4) <      > 	V  4 - M 30	=-26  %-650  	q=  +  %+0  	 0.017(88)<-----%650   %0 <<

printNotes: i= 151-<1543 1497  46>,  	 E2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(88)<-----%25   %8 <<

printNotes: i= 152-<1616 1597  19>,  	 F2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(88)<-----%15   %0 <<

printNotes: i= 153-<1251 1497 -246>,  	 E2 -- 1/32nd..( 26) <      > 	V 24 - M 30	= -6  %-25  	q= -2  %-8  	 0.134(88)<-----%25   %8

printNotes: i= 154-<   0 1260 -1260>,  	Dk2 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(88)<-----%400   %33 <<

printNotes: i= 155-<   0 1497 -1497>,  	 E2 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(88)<-----%400   %33 <<

printNotes: i= 156-< 626 1260 -634>,  	Dk2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(88)<-----%88   %6 <<

printNotes: i= 157-<   0 1110 -1110>,  	 C2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 158-<1295 1260  35>,  	Dk2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(88)<-----%21   %16

printNotes: i= 159-< 364 1110 -746>,  	 C2 --  1/16th.( 44) <      > 	V 42 - M 30	=+12  %+29  	q= -2  %-5  	 0.238(88)<-----%29   %5

