	voice Midi Diff								present		 Best		Sec

printNotes: i= 126-<2903 2865  38>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(80)<-----%45   %9 <<

printNotes: i= 127-<2780 2787  -7>,  	 A2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(80)<-----%33   %0

printNotes: i= 128-<2597 2579  18>,  	 G2 --  1/32nd.( 24) <      > 	V 21 - M 16	= +5  %+24  	q= -3  %-14  	 0.116(80)<-----%24   %14

printNotes: i= 129-<2683 2787 -104>,  	 A2 --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(80)<-----%300   %0 <<

printNotes: i= 130-<2586 2579   7>,  	 G2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(80)<-----%14   %0

printNotes: i= 131-<2469 2469    >,  	F#2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 132-<2587 2579   8>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(80)<-----%45   %9 <<

printNotes: i= 133-<2473 2469   4>,  	F#2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(80)<-----%10   %3

printNotes: i= 134-<2212 2221  -9>,  	Ek2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(80)<-----%33   %0

printNotes: i= 135-<2296 2469 -173>,  	F#2 --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(80)<-----%300   %0 <<

printNotes: i= 136-<2187 2221 -34>,  	Ek2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(80)<-----%14   %0

printNotes: i= 137-<2083 2096 -13>,  	 D2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(80)
printNotes: i= 138-<2153 2221 -68>,  	Ek2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(80)<-----%167   %0 <<

printNotes: i= 139-<2095 2096  -1>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 140-<2225 2221   4>,  	Ek2 --     half(258) <2*sela> 	V295 - M258	=+37  %+13  	q=+37  %+13  	 1.707(80)


silence
printNotes: i= 141-<   0   40 -40>,  	Slc --     half(258) <      > 	V246 - M258	=-12  %-5  	q=-12  %-5  	 1.422(80)
printNotes: i= 142-<2322 2787 -465>,  	 A2 -- 1/32nd..( 28) <      > 	V 27 - M 43	=-16  %-59  	q= -1  %-4  	 0.151(80)<-----%59   %4



silence
printNotes: i= 143-<   0   40 -40>,  	Slc --  1/64th.( 12) <      > 	V 13 - M  6	= +7  %+54  	q= +1  %+8  	 0.070(80)<-----%54   %8 <<

printNotes: i= 144-<2551 2579 -28>,  	 G2 --   1/4th.(194) <-1*sela> 	V169 - M210	=-41  %-24  	q=-25  %-15  	 0.975(80)<-----%24   %15

printNotes: i= 145-<2148 2469 -321>,  	F#2 --    1/4th(129) <      > 	V124 - M 65	=+59  %+48  	q= -5  %-4  	 0.714(80)<-----%48   %4

printNotes: i= 146-<2627 2579  48>,  	 G2 --   128th.(  6) <      > 	V  6 - M 48	=-42  %-700  	q=  +  %+0  	 0.029(80)<-----%700   %0 <<

printNotes: i= 147-<2823 2865 -42>,  	Bb2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(80)<-----%78   %33 <<

printNotes: i= 148-<2774 2787 -13>,  	 A2 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(80)<-----%45   %3

printNotes: i= 149-<2876 2865  11>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(80)<-----%167   %0 <<

printNotes: i= 150-<2785 2787  -2>,  	 A2 --   1/16th( 32) <      > 	V 37 - M 16	=+21  %+57  	q= +5  %+14  	 0.209(80)<-----%57   %14

printNotes: i= 151-<2575 2579  -4>,  	 G2 --  1/8th..(113) <      > 	V107 - M161	=-54  %-50  	q= -6  %-6  	 0.615(80)<-----%50   %6

printNotes: i= 152-<2484 2469  15>,  	F#2 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(80)<-----%39   %4

printNotes: i= 153-<2566 2579 -13>,  	 G2 -- 1/32nd..( 28) <      > 	V 29 - M 48	=-19  %-66  	q= +1  %+3  	 0.163(80)<-----%66   %3

printNotes: i= 154-<2461 2469  -8>,  	F#2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 155-<2627 2579  48>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(80)<-----%78   %33 <<

printNotes: i= 156-<2465 2469  -4>,  	F#2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(80)
printNotes: i= 157-<2457 2579 -122>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 158-<2260 2469 -209>,  	F#2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(80)<-----%14   %0

printNotes: i= 159-<2235 2221  14>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 160-<1957 2469 -512>,  	F#2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(80)<-----%78   %33 <<

printNotes: i= 161-<2221 2221    >,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(80)
printNotes: i= 162-<2056 2469 -413>,  	F#2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(80)<-----%167   %0 <<

printNotes: i= 163-<2219 2221  -2>,  	Ek2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(80)<-----%33   %0

