	voice Midi Diff								present		 Best		Sec

printNotes: i= 113-<2799 2799    >,  	 A2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(84)<-- same note
printNotes: i= 114-<1001 3155 -2154>,  	Db3 --  1/64th.( 12) <      > 	V  9 - M 15	= -6  %-67  	q= -3  %-33  	 0.046(84)<-----%67   %33 <<

printNotes: i= 115-<2762 2799 -37>,  	 A2 --    1/8th( 62) <      > 	V 72 - M 62	=+10  %+14  	q=+10  %+14  	 0.412(84)
printNotes: i= 116-<1441 3155 -1714>,  	Db3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 117-<2591 2799 -208>,  	 A2 --   1/8th.( 93) <      > 	V 95 - M 31	=+64  %+67  	q= +2  %+2  	 0.546(84)<-----%67   %2



silence
printNotes: i= 118-<   0   40 -40>,  	Slc -- 1/16th..( 54) <      > 	V 52 - M124	=-72  %-138  	q= -2  %-4  	 0.296(84)<-----%138   %4

printNotes: i= 119-<2003 2799 -796>,  	 A2 --   1/16th( 31) <      > 	V 34 - M 62	=-28  %-82  	q= +3  %+9  	 0.192(84)<-----%82   %9

printNotes: i= 120-<2806 2860 -54>,  	Bb2 --    128th(  4) <      > 	V  3 - M 31	=-28  %-933  	q= -1  %-33  	 0.012(84)<-----%933   %33 <<

printNotes: i= 121-<1001 2799 -1798>,  	 A2 -- 1/16th..( 54) <      > 	V 52 - M 62	=-10  %-19  	q= -2  %-4  	 0.296(84)<-----%19   %4

printNotes: i= 122-<2859 2860  -1>,  	Bb2 --  1/32nd.( 23) <      > 	V 21 - M 46	=-25  %-119  	q= -2  %-10  	 0.116(84)<-----%119   %10

printNotes: i= 123-<2792 2799  -7>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 31	=-17  %-121  	q=  +  %+0  	 0.075(84)<-----%121   %0 <<

printNotes: i= 124-<2781 2799 -18>,  	 A2 --  1/32nd.( 23) <      > 	V 22 - M 93	=-71  %-323  	q= -1  %-5  	 0.122(84)<-- same note<-----%323   %5



silence
