	voice Midi Diff								present		 Best		Sec

printNotes: i= 105-<2798 2795   3>,  	 A2 -- 1/32nd..( 28) <      > 	V 27 - M 16	=+11  %+41  	q= -1  %-4  	 0.151(80)<-----%41   %4

printNotes: i= 106-<2853 2855  -2>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(80)<-----%23   %8 <<

printNotes: i= 107-<2590 2586   4>,  	 G2 --   1/8th.( 97) <      > 	V 82 - M 65	=+17  %+21  	q=-15  %-18  	 0.470(80)
printNotes: i= 108-<2488 2475  13>,  	F#2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(80)<-----%88   %6

printNotes: i= 109-<2652 2795 -143>,  	 A2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(80)
printNotes: i= 110-<2739 2855 -116>,  	Bb2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(80)
printNotes: i= 111-<2579 2586  -7>,  	 G2 --   1/8th.( 97) <      > 	V 88 - M 97	= -9  %-10  	q= -9  %-10  	 0.505(80)
printNotes: i= 112-<2655 2795 -140>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)


silence
printNotes: i= 113-<2617   40 2577>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(80)
printNotes: i= 114-<2585 2586  -1>,  	 G2 --  1/16th.( 48) <      > 	V 45 - M 32	=+13  %+29  	q= -3  %-7  	 0.255(80)<-----%29   %7

printNotes: i= 115-<2317 2475 -158>,  	F#2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(80)<-----%10   %3

printNotes: i= 116-<2231 2225   6>,  	Ek2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 117-<2113 2100  13>,  	 D2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(80)<-----%146   %8 <<

printNotes: i= 118-<2237 2225  12>,  	Ek2 --   1/8th.( 97) <      > 	V 89 - M 97	= -8  %-9  	q= -8  %-9  	 0.511(80)
printNotes: i= 119-<2269 2100 169>,  	 D2 -- 1/16th..( 57) <      > 	V 55 - M 32	=+23  %+42  	q= -2  %-4  	 0.313(80)<-----%42   %4



silence
printNotes: i= 120-<   0   40 -40>,  	Slc --  1/8th..(113) <      > 	V118 - M 65	=+53  %+45  	q= +5  %+4  	 0.679(80)<-----%45   %4

printNotes: i= 121-<1915 2100 -185>,  	 D2 --  1/16th.( 48) <      > 	V 42 - M 32	=+10  %+24  	q= -6  %-14  	 0.238(80)<-----%24   %14

printNotes: i= 122-<2486 2475  11>,  	F#2 --    1/4th(129) <      > 	V131 - M129	= +2  %+2  	q= +2  %+2  	 0.755(80)
printNotes: i= 123-<2243 2225  18>,  	Ek2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(80)<-----%23   %8 <<

printNotes: i= 124-<2395 2475 -80>,  	F#2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(80)<-----%45   %9 <<

printNotes: i= 125-<2236 2225  11>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 126-<2398 2475 -77>,  	F#2 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(80)<-----%220   %20 <<

printNotes: i= 127-<2233 2225   8>,  	Ek2 --  1/32nd.( 24) <      > 	V 22 - M 32	=-10  %-45  	q= -2  %-9  	 0.122(80)<-----%45   %9

printNotes: i= 128-<2434 2475 -41>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 129-<2236 2225  11>,  	Ek2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(80)<-----%14   %0

printNotes: i= 130-<2447 2475 -28>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(80)<-----%113   %7 <<

printNotes: i= 131-<2230 2225   5>,  	Ek2 --  1/16th.( 48) <      > 	V 42 - M 32	=+10  %+24  	q= -6  %-14  	 0.238(80)<-----%24   %14

printNotes: i= 132-<2512 2475  37>,  	F#2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 133-<2223 2225  -2>,  	Ek2 --  1/16th.( 48) <      > 	V 49 - M 32	=+17  %+35  	q= +1  %+2  	 0.279(80)<-----%35   %2

printNotes: i= 134-<2474 2475  -1>,  	F#2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 135-<2225 2225    >,  	Ek2 --  1/16th.( 48) <      > 	V 48 - M 65	=-17  %-35  	q=  +  %+0  	 0.273(80)<-----%35   %0

printNotes: i= 136-<2003 2100 -97>,  	 D2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 137-<2565 2586 -21>,  	 G2 --    1/8th( 65) <      > 	V 67 - M 32	=+35  %+52  	q= +2  %+3  	 0.383(80)<-----%52   %3

printNotes: i= 138-<2801 2795   6>,  	 A2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(80)<-----%88   %6

printNotes: i= 139-<2491 2475  16>,  	F#2 --     half(258) <      > 	V259 - M258	= +1  %+0  	q= +1  %+0  	 1.498(80)
printNotes: i= 140-<2258 2225  33>,  	Ek2 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(80)<-----%26   %12

printNotes: i= 141-<2094 2100  -6>,  	 D2 --  1/4th..(226) <      > 	V240 - M258	=-18  %-8  	q=+14  %+6  	 1.387(80)
printNotes: i= 142-<2309 2475 -166>,  	F#2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(80)<-----%10   %3

printNotes: i= 143-<2242 2225  17>,  	Ek2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 144-<2391 2475 -84>,  	F#2 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(80)<-----%100   %0 <<

printNotes: i= 145-<2226 2225   1>,  	Ek2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 146-<2094 2100  -6>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 147-<1858 2225 -367>,  	Ek2 --    1/8th( 65) <      > 	V 78 - M 65	=+13  %+17  	q=+13  %+17  	 0.447(80)


silence
printNotes: i= 148-<   0   40 -40>,  	Slc --   whole.(775) <-1*sela> 	V746 - M840	=-94  %-13  	q=-29  %-4  	 4.325(80)<-----%13   %4

printNotes: i= 149-<1945 2225 -280>,  	Ek2 -- 1/16th..( 57) <      > 	V 58 - M 32	=+26  %+45  	q= +1  %+2  	 0.331(80)<-----%45   %2

printNotes: i= 150-<2578 2586  -8>,  	 G2 --    1/4th(129) <1*sela> 	V151 - M129	=+22  %+15  	q=+22  %+15  	 0.871(80)


silence
printNotes: i= 151-<   0   40 -40>,  	Slc --  1/16th.( 48) <      > 	V 41 - M 32	= +9  %+22  	q= -7  %-17  	 0.232(80)<-----%22   %17

printNotes: i= 152-<2533 2586 -53>,  	 G2 --    1/8th( 65) <      > 	V 69 - M 65	= +4  %+6  	q= +4  %+6  	 0.395(80)


silence
printNotes: i= 153-<   0   40 -40>,  	Slc --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(80)
printNotes: i= 154-<2278 2586 -308>,  	 G2 --   1/8th.( 97) <      > 	V 91 - M 65	=+26  %+29  	q= -6  %-7  	 0.522(80)<-----%29   %7

printNotes: i= 155-<1988 2795 -807>,  	 A2 --  1/16th.( 48) <      > 	V 52 - M 43	= +9  %+17  	q= +4  %+8  	 0.296(80)<-----%17   %8

printNotes: i= 156-<2870 2855  15>,  	Bb2 --   1/16th( 32) <      > 	V 37 - M 43	= -6  %-16  	q= +5  %+14  	 0.209(80)
printNotes: i= 157-<2791 2795  -4>,  	 A2 --   1/16th( 32) <      > 	V 33 - M 43	=-10  %-30  	q= +1  %+3  	 0.186(80)<-----%30   %3

printNotes: i= 158-<2846 2855  -9>,  	Bb2 --    1/8th( 65) <      > 	V 76 - M 97	=-21  %-28  	q=+11  %+14  	 0.435(80)<-----%28   %14

printNotes: i= 159-<2767 2795 -28>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 160-<2963 2855 108>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(80)<-----%23   %8 <<

printNotes: i= 161-<2781 2795 -14>,  	 A2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 162-<2875 2855  20>,  	Bb2 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(80)<-----%100   %0 <<

