	voice Midi Diff								present		 Best		Sec

printNotes: i= 151-<   0   40 -40>,  	Slc -- 1/16th..( 53) <      > 	V 51 - M 61	=-10  %-20  	q= -2  %-4  	 0.290(85)<-----%20   %4

printNotes: i= 152-<2318 2789 -471>,  	 A2 --   1/16th( 30) <      > 	V 36 - M 46	=-10  %-28  	q= +6  %+17  	 0.203(85)<-----%28   %17

printNotes: i= 153-<1567 2860 -1293>,  	Bb2 --    1/8th( 61) <      > 	V 62 - M 30	=+32  %+52  	q= +1  %+2  	 0.354(85)<-----%52   %2

printNotes: i= 154-<2405 2789 -384>,  	 A2 --    1/8th( 61) <      > 	V 67 - M 61	= +6  %+9  	q= +6  %+9  	 0.383(85)
printNotes: i= 155-<2770 2789 -19>,  	 A2 --    1/4th(121) <      > 	V121 - M121	=  +  %+0  	q=  +  %+0  	 0.697(85)<-- same note
printNotes: i= 156-<2928 2860  68>,  	Bb2 --    128th(  4) <      > 	V  2 - M 15	=-13  %-650  	q= -2  %-100  	 0.006(85)<-----%650   %100 <<

printNotes: i= 157-<3127 3053  74>,  	 C3 --  1/64th.( 11) <      > 	V  9 - M 15	= -6  %-67  	q= -2  %-22  	 0.046(85)<-----%67   %22 <<

printNotes: i= 158-<2634 2860 -226>,  	Bb2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(85)<-----%76   %12

printNotes: i= 159-<3146 3053  93>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(85)<-----%173   %0 <<

printNotes: i= 160-<2862 2860   2>,  	Bb2 --    1/4th(121) <      > 	V117 - M121	= -4  %-3  	q= -4  %-3  	 0.673(85)
printNotes: i= 161-<2768 2789 -21>,  	 A2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(85)
printNotes: i= 162-<2992 2860 132>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(85)
printNotes: i= 163-<2689 2789 -100>,  	 A2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(85)
