	voice Midi Diff								present		 Best		Sec

printNotes: i= 119-<2382 2393 -11>,  	 A2 -- 1/32nd..( 27) <      > 	V 26 - M 30	= -4  %-15  	q= -1  %-4  	 0.145(85)<-----%15   %4

printNotes: i= 120-<2468 2499 -31>,  	Bb2 --    128th(  4) <      > 	V  4 - M 30	=-26  %-650  	q=  +  %+0  	 0.017(85)<-----%650   %0 <<

printNotes: i= 121-<2466 2393  73>,  	 A2 --    128th(  4) <      > 	V  2 - M 30	=-28  %-1400  	q= -2  %-100  	 0.006(85)<-----%1400   %100 <<

printNotes: i= 122-<1582 2213 -631>,  	 G2 --    1/4th(121) <      > 	V116 - M 46	=+70  %+60  	q= -5  %-4  	 0.668(85)<-----%60   %4

printNotes: i= 123-<2368 2393 -25>,  	 A2 --   1/4th.(182) <      > 	V169 - M152	=+17  %+10  	q=-13  %-8  	 0.975(85)
printNotes: i= 124-<2226 2213  13>,  	 G2 --    1/8th( 61) <      > 	V 63 - M 46	=+17  %+27  	q= +2  %+3  	 0.360(85)<-----%27   %3

printNotes: i= 125-<2465 2499 -34>,  	Bb2 --   1/64th(  8) <      > 	V  8 - M 30	=-22  %-275  	q=  +  %+0  	 0.041(85)<-----%275   %0 <<

printNotes: i= 126-<2367 2393 -26>,  	 A2 --    1/4th(121) <      > 	V122 - M 91	=+31  %+25  	q= +1  %+1  	 0.702(85)<-----%25   %1

printNotes: i= 127-<2214 2213   1>,  	 G2 --  1/8th..(106) <      > 	V104 - M 91	=+13  %+12  	q= -2  %-2  	 0.598(85)<-----%12   %2

printNotes: i= 128-<2512 2499  13>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(85)
printNotes: i= 129-<2378 2393 -15>,  	 A2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(85)
printNotes: i= 130-<2560 2499  61>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(85)<-----%15   %0 <<

printNotes: i= 131-<2354 2393 -39>,  	 A2 -- 1/32nd..( 27) <      > 	V 26 - M 15	=+11  %+42  	q= -1  %-4  	 0.145(85)<-----%42   %4

printNotes: i= 132-<2228 2213  15>,  	 G2 --  1/16th.( 46) <      > 	V 38 - M 40	= -2  %-5  	q= -8  %-21  	 0.215(85)
printNotes: i= 133-<2382 2393 -11>,  	 A2 --   1/32nd( 15) <      > 	V 18 - M 41	=-23  %-128  	q= +3  %+17  	 0.099(85)<-----%128   %17

printNotes: i= 134-<2238 2213  25>,  	 G2 --  1/16th.( 46) <      > 	V 38 - M 40	= -2  %-5  	q= -8  %-21  	 0.215(85)
printNotes: i= 135-<2443 2499 -56>,  	Bb2 --  128th..(  7) <      > 	V  7 - M 30	=-23  %-329  	q=  +  %+0  	 0.035(85)<-----%329   %0 <<

printNotes: i= 136-<2358 2393 -35>,  	 A2 --     half(243) <3*sela> 	V299 - M213	=+86  %+29  	q=+56  %+19  	 1.730(85)<-----%29   %19

printNotes: i= 137-<2342 2213 129>,  	 G2 -- 1/32nd..( 27) <      > 	V 28 - M 30	= -2  %-7  	q= +1  %+4  	 0.157(85)


silence
printNotes: i= 138-<   0   40 -40>,  	Slc --     half(243) <3*sela> 	V298 - M304	= -6  %-2  	q=+55  %+18  	 1.724(85)
printNotes: i= 139-<2005 2213 -208>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 30	= -3  %-11  	q=  +  %+0  	 0.151(85)<-----%11   %0

printNotes: i= 140-<2589 2670 -81>,  	 C3 --  1/16th.( 46) <      > 	V 43 - M 30	=+13  %+30  	q= -3  %-7  	 0.244(85)<-----%30   %7

