	voice Midi Diff								present		 Best		Sec

printNotes: i= 134-<1964 1985 -21>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 135-<2119 2203 -84>,  	 G2 --   1/64th(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(87)<-----%114   %0 <<

printNotes: i= 136-<1967 1985 -18>,  	 F2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(87)<-----%15   %0

printNotes: i= 137-<1849 1827  22>,  	Ek2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(87)<-----%88   %6 <<

printNotes: i= 138-<2001 1985  16>,  	 F2 --   1/8th.( 89) <      > 	V 90 - M118	=-28  %-31  	q= +1  %+1  	 0.517(87)<-----%31   %1

printNotes: i= 139-<2213 2203  10>,  	 G2 -- 1/16th..( 52) <      > 	V 51 - M 59	= -8  %-16  	q= -1  %-2  	 0.290(87)<-----%16   %2

printNotes: i= 140-<2018 1985  33>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(87)
printNotes: i= 141-<2196 2203  -7>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(87)<-----%25   %8 <<

printNotes: i= 142-<2014 1985  29>,  	 F2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(87)
printNotes: i= 143-<1858 1827  31>,  	Ek2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 144-<1944 1985 -41>,  	 F2 --    128th(  4) <      > 	V  5 - M 15	=-10  %-200  	q= +1  %+20  	 0.023(87)<-----%200   %20 <<

printNotes: i= 145-<1841 1827  14>,  	Ek2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(87)<-----%20   %4

printNotes: i= 146-<1703 1701   2>,  	 D2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(87)<-----%100   %0 <<

printNotes: i= 147-<1827 1827    >,  	Ek2 --    1/8th( 59) <      > 	V 60 - M 59	= +1  %+2  	q= +1  %+2  	 0.342(87)
printNotes: i= 148-<1756 1701  55>,  	 D2 --   1/8th.( 89) <      > 	V 75 - M 59	=+16  %+21  	q=-14  %-19  	 0.430(87)


silence
printNotes: i= 149-<   0   40 -40>,  	Slc --   1/8th.( 89) <      > 	V 86 - M118	=-32  %-37  	q= -3  %-3  	 0.493(87)<-----%37   %3

printNotes: i= 150-<1897 1985 -88>,  	 F2 --   1/8th.( 89) <      > 	V 80 - M 59	=+21  %+26  	q= -9  %-11  	 0.459(87)<-----%26   %11

printNotes: i= 151-<2216 2203  13>,  	 G2 --    1/8th( 59) <      > 	V 56 - M 89	=-33  %-59  	q= -3  %-5  	 0.319(87)<-----%59   %5

printNotes: i= 152-<2444 2400  44>,  	 A2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(87)<-----%76   %12

printNotes: i= 153-<2245 2203  42>,  	 G2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(87)<-----%11   %4



silence
