	voice Midi Diff								present		 Best		Sec

printNotes: i= 91-<2407 2402   5>,  	 A2 --   1/16th( 32) <      > 	V 31 - M 43	=-12  %-39  	q= -1  %-3  	 0.174(81)<-----%39   %3

printNotes: i= 92-<2512 2480  32>,  	Bb2 -- 1/32nd..( 28) <      > 	V 28 - M 43	=-15  %-54  	q=  +  %+0  	 0.157(81)<-----%54   %0

printNotes: i= 93-<2678 2680  -2>,  	 C3 --   1/16th( 32) <      > 	V 32 - M 43	=-11  %-34  	q=  +  %+0  	 0.180(81)<-----%34   %0

printNotes: i= 94-<2708 2902 -194>,  	 D3 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(81)<-----%146   %8 <<

printNotes: i= 95-<2536 2480  56>,  	Bb2 --   1/16th( 32) <      > 	V 30 - M 43	=-13  %-43  	q= -2  %-7  	 0.168(81)<-----%43   %7

printNotes: i= 96-<2690 2680  10>,  	 C3 --   1/16th( 32) <      > 	V 38 - M 43	= -5  %-13  	q= +6  %+16  	 0.215(81)
printNotes: i= 97-<2878 2902 -24>,  	 D3 --   1/16th( 32) <      > 	V 39 - M 43	= -4  %-10  	q= +7  %+18  	 0.221(81)
printNotes: i= 98-<3082 3002  80>,  	Eb3 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 99-<2923 2902  21>,  	 D3 --  1/32nd.( 24) <      > 	V 24 - M 64	=-40  %-167  	q=  +  %+0  	 0.134(81)<-----%167   %0

printNotes: i= 100-<2704 2680  24>,  	 C3 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 101-<2856 2902 -46>,  	 D3 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(81)<-----%220   %20 <<

printNotes: i= 102-<2605 2680 -75>,  	 C3 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(81)<-----%19   %4

printNotes: i= 103-<2490 2480  10>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 104-<2665 2680 -15>,  	 C3 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(81)<-----%129   %0 <<

printNotes: i= 105-<2484 2480   4>,  	Bb2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(81)<-----%78   %11

printNotes: i= 106-<2721 2680  41>,  	 C3 -- 1/32nd..( 28) <      > 	V 28 - M 16	=+12  %+43  	q=  +  %+0  	 0.157(81)<-----%43   %0

printNotes: i= 107-<2878 2902 -24>,  	 D3 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(81)<-----%78   %33 <<

printNotes: i= 108-<2726 2680  46>,  	 C3 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(81)<-----%14   %0

printNotes: i= 109-<2517 2480  37>,  	Bb2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 110-<2667 2680 -13>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 111-<2523 2480  43>,  	Bb2 --  1/16th.( 48) <      > 	V 50 - M 48	= +2  %+4  	q= +2  %+4  	 0.284(81)
printNotes: i= 112-<2394 2402  -8>,  	 A2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
