	voice Midi Diff								present		 Best		Sec

printNotes: i= 110-<   0   40 -40>,  	Slc --  1/4th..(225) <      > 	V225 - M265	=-40  %-18  	q=  +  %+0  	 1.300(80)<-----%18   %0

printNotes: i= 111-<1746 1515 231>,  	 C2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(80)
printNotes: i= 112-<2384 2424 -40>,  	 A2 --    1/4th(129) <      > 	V133 - M129	= +4  %+3  	q= +4  %+3  	 0.766(80)
printNotes: i= 113-<2508 2715 -207>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(80)
printNotes: i= 114-<2437 2424  13>,  	 A2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(80)


silence
printNotes: i= 115-<   0   40 -40>,  	Slc --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(80)
printNotes: i= 116-<1821 1724  97>,  	 D2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(80)
printNotes: i= 117-<2174 2237 -63>,  	 G2 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(80)
printNotes: i= 118-< 160 2026 -1866>,  	 F2 -- 1/32nd..( 28) <      > 	V 26 - M 28	= -2  %-8  	q= -2  %-8  	 0.145(80)
printNotes: i= 119-<1448 1914 -466>,  	 E2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)
printNotes: i= 120-<2018 2026  -8>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 121-<1917 1914   3>,  	 E2 --    1/4th(129) <1*sela> 	V145 - M129	=+16  %+11  	q=+16  %+11  	 0.836(80)
printNotes: i= 122-<1720 1724  -4>,  	 D2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(80)
printNotes: i= 123-<1513 1515  -2>,  	 C2 --  1/8th..(113) <      > 	V107 - M113	= -6  %-6  	q= -6  %-6  	 0.615(80)
printNotes: i= 124-<1059 1724 -665>,  	 D2 --    1/8th( 64) <      > 	V 71 - M 64	= +7  %+10  	q= +7  %+10  	 0.406(80)
printNotes: i= 125-<1969 2026 -57>,  	 F2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(80)
printNotes: i= 126-<1931 1914  17>,  	 E2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 127-<2099 2137 -38>,  	F#2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)
printNotes: i= 128-<1948 1914  34>,  	 E2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(80)
printNotes: i= 129-<1749 1724  25>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 130-<1935 1914  21>,  	 E2 --    1/4th(129) <1*sela> 	V149 - M129	=+20  %+13  	q=+20  %+13  	 0.859(80)


silence
printNotes: i= 131-<   0   40 -40>,  	Slc --  1/4th..(225) <      > 	V219 - M270	=-51  %-23  	q= -6  %-3  	 1.265(80)<-----%23   %3

printNotes: i= 132-<1021 1015   6>,  	 G1 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 133-<1137 1515 -378>,  	 C2 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(80)
printNotes: i= 134-<1196 1724 -528>,  	 D2 --  1/16th.( 48) <      > 	V 47 - M 48	= -1  %-2  	q= -1  %-2  	 0.267(80)
printNotes: i= 135-<1565 1914 -349>,  	 E2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(80)
printNotes: i= 136-<1697 1724 -27>,  	 D2 --    1/4th(129) <      > 	V127 - M129	= -2  %-2  	q= -2  %-2  	 0.731(80)
printNotes: i= 137-<1911 1914  -3>,  	 E2 --  1/16th.( 48) <      > 	V 43 - M 48	= -5  %-12  	q= -5  %-12  	 0.244(80)
printNotes: i= 138-<1753 1724  29>,  	 D2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(80)
printNotes: i= 139-<1905 1914  -9>,  	 E2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(80)
printNotes: i= 140-<1983 2026 -43>,  	 F2 --  1/32nd.( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(80)
printNotes: i= 141-<1924 1914  10>,  	 E2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
printNotes: i= 142-<1987 2026 -39>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 143-<1922 1914   8>,  	 E2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 144-<2025 2026  -1>,  	 F2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(80)
printNotes: i= 145-<1916 1914   2>,  	 E2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 146-<2062 2137 -75>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 147-<1123 1724 -601>,  	 D2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(80)
printNotes: i= 148-<1460 1515 -55>,  	 C2 --     half(257) <2*sela> 	V294 - M257	=+37  %+13  	q=+37  %+13  	 1.701(80)


silence
printNotes: i= 149-<   0   40 -40>,  	Slc --   whole.(772) <-5*sela> 	V680 - M515	=+165  %+24  	q=-92  %-14  	 3.942(80)<-----%24   %14

printNotes: i= 150-<1454 1315 139>,  	Bb1 --  1/16th.( 48) <      > 	V 40 - M 48	= -8  %-20  	q= -8  %-20  	 0.226(80)
printNotes: i= 151-<2194 2237 -43>,  	 G2 --   1/8th.( 97) <      > 	V 99 - M 97	= +2  %+2  	q= +2  %+2  	 0.569(80)
printNotes: i= 152-<2349 2367 -18>,  	Ak2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(80)
printNotes: i= 153-<1890 2237 -347>,  	 G2 --   1/4th.(193) <      > 	V200 - M193	= +7  %+4  	q= +7  %+4  	 1.155(80)
printNotes: i= 154-<2259 2237  22>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 155-<2257 2237  20>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note


silence
printNotes: i= 156-<   0   40 -40>,  	Slc --  1/8th..(113) <      > 	V106 - M129	=-23  %-22  	q= -7  %-7  	 0.610(80)<-----%22   %7

printNotes: i= 157-<1630 1515 115>,  	 C2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 158-<2011 2026 -15>,  	 F2 --   1/4th.(193) <-1*sela> 	V174 - M193	=-19  %-11  	q=-19  %-11  	 1.004(80)
printNotes: i= 159-<1862 1914 -52>,  	 E2 --  1/16th.( 48) <      > 	V 41 - M 48	= -7  %-17  	q= -7  %-17  	 0.232(80)
printNotes: i= 160-<1976 2237 -261>,  	 G2 --    1/8th( 64) <      > 	V 62 - M 64	= -2  %-3  	q= -2  %-3  	 0.354(80)
printNotes: i= 161-<2211 2237 -26>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 162-<2055 2026  29>,  	 F2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(80)
printNotes: i= 163-<2210 2237 -27>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 164-<2003 2026 -23>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 165-<2195 2237 -42>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(80)
