	voice Midi Diff								present		 Best		Sec

printNotes: i= 161-<2632 2566  66>,  	 B2 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(84)
printNotes: i= 162-<2990 3022 -32>,  	Eb3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i= 163-<2918 2922  -4>,  	 D3 --   1/8th.( 92) <      > 	V 97 - M 92	= +5  %+5  	q= +5  %+5  	 0.557(84)
printNotes: i= 164-<2702 2709  -7>,  	 C3 --   1/4th.(184) <-2*sela> 	V154 - M123	=+31  %+20  	q=-30  %-19  	 0.888(84)
printNotes: i= 165-<2590 2566  24>,  	 B2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(84)
printNotes: i= 166-<2714 2709   5>,  	 C3 -- 1/16th..( 54) <      > 	V 53 - M 54	= -1  %-2  	q= -1  %-2  	 0.302(84)
printNotes: i= 167-<1353 2922 -1569>,  	 D3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i= 168-<2094 2709 -615>,  	 C3 --   1/8th.( 92) <      > 	V 83 - M 92	= -9  %-11  	q= -9  %-11  	 0.476(84)


silence
printNotes: i= 169-<   0   40 -40>,  	Slc --   1/16th( 31) <      > 	V 35 - M129	=-94  %-269  	q= +4  %+11  	 0.197(84)<-----%269   %11

printNotes: i= 170-<1557 1326 231>,  	Bb1 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(84)
printNotes: i= 171-<2652 2709 -57>,  	 C3 --    1/4th(123) <      > 	V121 - M123	= -2  %-2  	q= -2  %-2  	 0.697(84)
printNotes: i= 172-<2585 2566  19>,  	 B2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(84)
printNotes: i= 173-<2700 2709  -9>,  	 C3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i= 174-<2467 2429  38>,  	 A2 --  1/16th.( 46) <      > 	V 42 - M 46	= -4  %-10  	q= -4  %-10  	 0.238(84)
printNotes: i= 175-<2570 2566   4>,  	 B2 -- 1/16th..( 54) <      > 	V 55 - M 54	= +1  %+2  	q= +1  %+2  	 0.313(84)
printNotes: i= 176-<2800 2809  -9>,  	Db3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
