	voice Midi Diff								present		 Best		Sec

printNotes: i= 127-<1767 1740  27>,  	 D2 --  1/16th.( 47) <      > 	V 50 - M 47	= +3  %+6  	q= +3  %+6  	 0.284(82)
printNotes: i= 128-<2007 2032 -25>,  	 F2 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(82)
printNotes: i= 129-<2109 2142 -33>,  	F#2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(82)
printNotes: i= 130-<1961 1933  28>,  	 E2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(82)
printNotes: i= 131-<2003 2032 -29>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)
printNotes: i= 132-<1945 1933  12>,  	 E2 --   1/4th.(188) <      > 	V195 - M188	= +7  %+4  	q= +7  %+4  	 1.126(82)
printNotes: i= 133-<1776 1740  36>,  	 D2 --    1/8th( 63) <      > 	V 74 - M 63	=+11  %+15  	q=+11  %+15  	 0.424(82)
printNotes: i= 134-<2056 2142 -86>,  	F#2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(82)
printNotes: i= 135-<1958 1933  25>,  	 E2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(82)
printNotes: i= 136-<1698 1740 -42>,  	 D2 --   1/16th( 31) <      > 	V 29 - M 27	= +2  %+7  	q= -2  %-7  	 0.163(82)
printNotes: i= 137-<1546 1538   8>,  	 C2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(82)
printNotes: i= 138-<1424 1438 -14>,  	 B1 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(82)
printNotes: i= 139-<1563 1538  25>,  	 C2 -- 1/16th..( 55) <      > 	V 57 - M 55	= +2  %+4  	q= +2  %+4  	 0.325(82)
printNotes: i= 140-<1901 1933 -32>,  	 E2 --   1/64th(  8) <      > 	V  8 - M  7	= +1  %+12  	q=  +  %+0  	 0.041(82)


silence
printNotes: i= 141-<   0   40 -40>,  	Slc --    half.(377) <      > 	V390 - M389	= +1  %+0  	q=+13  %+3  	 2.258(82)
printNotes: i= 142-<1520 1538 -18>,  	 C2 --  1/16th.( 47) <      > 	V 46 - M 47	= -1  %-2  	q= -1  %-2  	 0.261(82)
