	voice Midi Diff								present		 Best		Sec

printNotes: i= 117-<1981 1975   6>,  	 F2 --   1/16th( 39) <      > 	V 38 - M 39	= -1  %-3  	q= -1  %-3  	 0.215(66)


silence
printNotes: i= 118-<1877   40 1837>,  	Slc --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(66)
printNotes: i= 119-<1881 1888  -7>,  	 E2 --   1/16th( 39) <      > 	V 46 - M 39	= +7  %+15  	q= +7  %+15  	 0.261(66)
printNotes: i= 120-<1720 1700  20>,  	 D2 --    1/8th( 78) <      > 	V 93 - M 78	=+15  %+16  	q=+15  %+16  	 0.534(66)


silence
printNotes: i= 121-<   0   40 -40>,  	Slc --    1/8th( 78) <      > 	V 78 - M 87	= -9  %-12  	q=  +  %+0  	 0.447(66)<-----%12   %0

printNotes: i= 122-<1464 1491 -27>,  	 C2 --  1/32nd.( 29) <      > 	V 26 - M 29	= -3  %-12  	q= -3  %-12  	 0.145(66)
printNotes: i= 123-<1690 1700 -10>,  	 D2 --  1/32nd.( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(66)
printNotes: i= 124-<1881 1888  -7>,  	 E2 -- 1/32nd..( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(66)
printNotes: i= 125-<1706 1700   6>,  	 D2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(66)
printNotes: i= 126-<1857 1888 -31>,  	 E2 --  1/32nd.( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(66)
printNotes: i= 127-<2060 2075 -15>,  	F#2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(66)
printNotes: i= 128-<1894 1888   6>,  	 E2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(66)
printNotes: i= 129-<1916 1888  28>,  	 E2 --    1/8th( 78) <      > 	V 78 - M 78	=  +  %+0  	q=  +  %+0  	 0.447(66)<-- same note
printNotes: i= 130-<1972 1975  -3>,  	 F2 -- 1/32nd..( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(66)


silence
printNotes: i= 131-<   0   40 -40>,  	Slc --   1/16th( 39) <      > 	V 44 - M 39	= +5  %+11  	q= +5  %+11  	 0.250(66)
printNotes: i= 132-<1988 2075 -87>,  	F#2 --  1/64th.( 15) <      > 	V 12 - M 15	= -3  %-25  	q= -3  %-25  	 0.064(66)
printNotes: i= 133-<1882 1888  -6>,  	 E2 --   1/8th.(117) <      > 	V109 - M117	= -8  %-7  	q= -8  %-7  	 0.627(66)
printNotes: i= 134-<1862 1888 -26>,  	 E2 -- 1/32nd..( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(66)<-- same note
printNotes: i= 135-<1763 1700  63>,  	 D2 --  1/64th.( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(66)
printNotes: i= 136-<1848 1888 -40>,  	 E2 --  1/64th.( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(66)
printNotes: i= 137-<1702 1700   2>,  	 D2 -- 1/16th..( 68) <      > 	V 72 - M 68	= +4  %+6  	q= +4  %+6  	 0.412(66)
printNotes: i= 138-<1602 1600   2>,  	Db2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(66)
printNotes: i= 139-<1705 1700   5>,  	 D2 --    1/8th( 78) <      > 	V 75 - M 78	= -3  %-4  	q= -3  %-4  	 0.430(66)


silence
printNotes: i= 140-<   0   40 -40>,  	Slc --  1/64th.( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(66)
printNotes: i= 141-<1607 1600   7>,  	Db2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(66)
printNotes: i= 142-<1716 1700  16>,  	 D2 --  1/64th.( 15) <      > 	V 11 - M 10	= +1  %+9  	q= -4  %-36  	 0.058(66)
printNotes: i= 143-<1917 1975 -58>,  	 F2 --  1/64th.( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(66)
printNotes: i= 144-<1896 1888   8>,  	 E2 --  1/64th.( 15) <      > 	V 13 - M 10	= +3  %+23  	q= -2  %-15  	 0.070(66)
printNotes: i= 145-<1984 1975   9>,  	 F2 --  1/32nd.( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(66)
printNotes: i= 146-<1880 1888  -8>,  	 E2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(66)
printNotes: i= 147-<1977 1975   2>,  	 F2 --  1/32nd.( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(66)
printNotes: i= 148-<2170 2186 -16>,  	 G2 --  1/64th.( 15) <      > 	V 12 - M 15	= -3  %-25  	q= -3  %-25  	 0.064(66)
printNotes: i= 149-<1979 1975   4>,  	 F2 --     half(313) <      > 	V311 - M313	= -2  %-1  	q= -2  %-1  	 1.800(66)


silence
printNotes: i= 150-<   0   40 -40>,  	Slc --    1/4th(157) <1*sela> 	V183 - M157	=+26  %+14  	q=+26  %+14  	 1.057(66)
printNotes: i= 151-<1564 1491  73>,  	 C2 --    128th(  5) <      > 	V  6 - M  7	= -1  %-17  	q= +1  %+17  	 0.029(66)
printNotes: i= 152-<1740 1700  40>,  	 D2 --   1/32nd( 20) <      > 	V 21 - M 20	= +1  %+5  	q= +1  %+5  	 0.116(66)
printNotes: i= 153-<2113 2186 -73>,  	 G2 --  1/32nd.( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(66)
printNotes: i= 154-<1933 1888  45>,  	 E2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(66)
printNotes: i= 155-<1983 1975   8>,  	 F2 --  1/64th.( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(66)
printNotes: i= 156-<2198 2186  12>,  	 G2 --   1/16th( 39) <      > 	V 41 - M 39	= +2  %+5  	q= +2  %+5  	 0.232(66)
printNotes: i= 157-<1982 1975   7>,  	 F2 --    1/4th(157) <1*sela> 	V194 - M157	=+37  %+19  	q=+37  %+19  	 1.120(66)
printNotes: i= 158-<1901 1888  13>,  	 E2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(66)
printNotes: i= 159-<1969 1975  -6>,  	 F2 --   1/32nd( 20) <      > 	V 24 - M 20	= +4  %+17  	q= +4  %+17  	 0.134(66)


silence
printNotes: i= 160-<1911   40 1871>,  	Slc --    128th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(66)
printNotes: i= 161-<1900 1888  12>,  	 E2 --  1/64th.( 15) <      > 	V 11 - M 15	= -4  %-36  	q= -4  %-36  	 0.058(66)
printNotes: i= 162-<2061 2075 -14>,  	F#2 --    128th(  5) <      > 	V  3 - M  5	= -2  %-67  	q= -2  %-67  	 0.012(66)
printNotes: i= 163-<1939 1888  51>,  	 E2 --    128th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(66)
printNotes: i= 164-<1862 1888 -26>,  	 E2 --  1/8th..(137) <      > 	V137 - M137	=  +  %+0  	q=  +  %+0  	 0.789(66)<-- same note
printNotes: i= 165-<1669 1700 -31>,  	 D2 --   1/32nd( 20) <      > 	V 22 - M 20	= +2  %+9  	q= +2  %+9  	 0.122(66)
printNotes: i= 166-<1877 1888 -11>,  	 E2 --   128th.(  7) <      > 	V  8 - M  7	= +1  %+12  	q= +1  %+12  	 0.041(66)
printNotes: i= 167-<1718 1700  18>,  	 D2 --  1/64th.( 15) <      > 	V 12 - M 10	= +2  %+17  	q= -3  %-25  	 0.064(66)
printNotes: i= 168-<1584 1491  93>,  	 C2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(66)
printNotes: i= 169-<1692 1700  -8>,  	 D2 --    1/8th( 78) <      > 	V 76 - M 78	= -2  %-3  	q= -2  %-3  	 0.435(66)
printNotes: i= 170-<1695 1700  -5>,  	 D2 --   1/16th( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(66)<-- same note


silence
printNotes: i= 171-<   0   40 -40>,  	Slc -- 1/16th..( 68) <      > 	V 68 - M 85	=-17  %-25  	q=  +  %+0  	 0.389(66)<-----%25   %0

printNotes: i= 172-<1320 1291  29>,  	Bb1 --  1/64th.( 15) <      > 	V 11 - M 15	= -4  %-36  	q= -4  %-36  	 0.058(66)
printNotes: i= 173-<1473 1491 -18>,  	 C2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(66)
printNotes: i= 174-<1671 1700 -29>,  	 D2 -- 1/32nd..( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(66)
printNotes: i= 175-<1902 1888  14>,  	 E2 --  1/32nd.( 29) <      > 	V 25 - M 29	= -4  %-16  	q= -4  %-16  	 0.139(66)
