	voice Midi Diff								present		 Best		Sec

printNotes: i= 132-<2224 2220   4>,  	 G2 --  1/16th.( 49) <      > 	V 45 - M 49	= -4  %-9  	q= -4  %-9  	 0.255(79)
printNotes: i= 133-<2405 2418 -13>,  	 A2 --  1/8th..(115) <      > 	V108 - M 98	=+10  %+9  	q= -7  %-6  	 0.621(79)
printNotes: i= 134-<2904 2916 -12>,  	 D3 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(79)
printNotes: i= 135-<2722 2709  13>,  	 C3 --    1/8th( 65) <      > 	V 67 - M 65	= +2  %+3  	q= +2  %+3  	 0.383(79)
printNotes: i= 136-< 851 2509 -1658>,  	Bb2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(79)
printNotes: i= 137-<2688 2709 -21>,  	 C3 --  1/4th..(229) <      > 	V233 - M229	= +4  %+2  	q= +4  %+2  	 1.347(79)
printNotes: i= 138-<2730 2709  21>,  	 C3 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)<-- same note


silence
printNotes: i= 139-<   0   40 -40>,  	Slc --   1/32nd( 16) <      > 	V 18 - M 65	=-47  %-261  	q= +2  %+11  	 0.099(79)<-----%261   %11

printNotes: i= 140-<1575 1209 366>,  	 A1 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(79)
printNotes: i= 141-<2594 2709 -115>,  	 C3 -- 1/16th..( 57) <      > 	V 54 - M 57	= -3  %-6  	q= -3  %-6  	 0.308(79)
printNotes: i= 142-<2553 2509  44>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(79)
printNotes: i= 143-<2721 2709  12>,  	 C3 --  1/16th.( 49) <      > 	V 52 - M 49	= +3  %+6  	q= +3  %+6  	 0.296(79)
printNotes: i= 144-<2957 3016 -59>,  	Eb3 --  128th..(  7) <      > 	V  7 - M  6	= +1  %+14  	q=  +  %+0  	 0.035(79)
printNotes: i= 145-<2652 2709 -57>,  	 C3 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(79)
printNotes: i= 146-<3001 3016 -15>,  	Eb3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
printNotes: i= 147-<2642 2609  33>,  	 B2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(79)
printNotes: i= 148-<2727 2709  18>,  	 C3 --  1/16th.( 49) <      > 	V 41 - M 33	= +8  %+20  	q= -8  %-20  	 0.232(79)
printNotes: i= 149-<2913 2916  -3>,  	 D3 --  1/16th.( 49) <      > 	V 41 - M 33	= +8  %+20  	q= -8  %-20  	 0.232(79)
printNotes: i= 150-<3192 3216 -24>,  	 F3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)
printNotes: i= 151-<2856 2916 -60>,  	 D3 --  1/16th.( 49) <      > 	V 41 - M 33	= +8  %+20  	q= -8  %-20  	 0.232(79)
printNotes: i= 152-<3202 3216 -14>,  	 F3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)
