	voice Midi Diff								present		 Best		Sec

printNotes: i= 163-<   0   40 -40>,  	Slc --    1/8th( 61) <      > 	V 60 - M123	=-63  %-105  	q= -1  %-2  	 0.342(84)<-----%105   %2

printNotes: i= 164-<2108 1836 272>,  	Ek2 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(84)
printNotes: i= 165-<2865 3013 -148>,  	Eb3 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(84)
printNotes: i= 166-<2876 2886 -10>,  	 D3 --  1/16th.( 46) <      > 	V 43 - M 46	= -3  %-7  	q= -3  %-7  	 0.244(84)
printNotes: i= 167-<2997 3013 -16>,  	Eb3 --  1/16th.( 46) <      > 	V 41 - M 46	= -5  %-12  	q= -5  %-12  	 0.232(84)
printNotes: i= 168-<2898 2886  12>,  	 D3 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(84)
printNotes: i= 169-<2702 2673  29>,  	 C3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 170-<2768 2786 -18>,  	Db3 --   128th.(  6) <      > 	V  6 - M  4	= +2  %+33  	q=  +  %+0  	 0.029(84)<-----%33   %0 <<

printNotes: i= 171-<2570 2536  34>,  	Bk2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i= 172-<2687 2673  14>,  	 C3 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(84)
printNotes: i= 173-<2776 2786 -10>,  	Db3 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(84)
printNotes: i= 174-<2707 2673  34>,  	 C3 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 175-<2231 3013 -782>,  	Eb3 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(84)
printNotes: i= 176-<2920 2886  34>,  	 D3 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(84)
