	voice Midi Diff								present		 Best		Sec

printNotes: i= 123-< 986 1878 -892>,  	 F2 --  1/16th.( 49) <      > 	V 52 - M 32	=+20  %+38  	q= +3  %+6  	 0.296(80)<-----%38   %6

printNotes: i= 124-<1913 2104 -191>,  	 G2 --    1/8th( 65) <      > 	V 78 - M 65	=+13  %+17  	q=+13  %+17  	 0.447(80)
printNotes: i= 125-<1880 1878   2>,  	 F2 --    1/4th(130) <      > 	V141 - M130	=+11  %+8  	q=+11  %+8  	 0.813(80)
printNotes: i= 126-<1811 2104 -293>,  	 G2 --  1/8th..(113) <      > 	V114 - M 65	=+49  %+43  	q= +1  %+1  	 0.656(80)<-----%43   %1

printNotes: i= 127-<1896 1878  18>,  	 F2 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(80)<-----%45   %3

printNotes: i= 128-<2246 2241   5>,  	Ak2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(80)<-----%23   %8 <<

printNotes: i= 129-<2098 2104  -6>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 130-<2292 2241  51>,  	Ak2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 131-<2088 2104 -16>,  	 G2 --   1/16th( 32) <      > 	V 36 - M 16	=+20  %+56  	q= +4  %+11  	 0.203(80)<-----%56   %11

printNotes: i= 132-<1880 1878   2>,  	 F2 --  1/16th.( 49) <      > 	V 44 - M 43	= +1  %+2  	q= -5  %-11  	 0.250(80)
printNotes: i= 133-<2111 2104   7>,  	 G2 --    1/8th( 65) <      > 	V 78 - M 86	= -8  %-10  	q=+13  %+17  	 0.447(80)
printNotes: i= 134-<1880 1878   2>,  	 F2 --    half.(389) <-2*sela> 	V343 - M389	=-46  %-13  	q=-46  %-13  	 1.985(80)
printNotes: i= 135-<1743 1744  -1>,  	Ek2 --  1/8th..(113) <      > 	V119 - M 65	=+54  %+45  	q= +6  %+5  	 0.685(80)<-----%45   %5

printNotes: i= 136-<1615 1610   5>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 137-<1815 1744  71>,  	Ek2 --    1/8th( 65) <      > 	V 68 - M 65	= +3  %+4  	q= +3  %+4  	 0.389(80)


silence
printNotes: i= 138-<   0   40 -40>,  	Slc --    half.(389) <      > 	V393 - M454	=-61  %-16  	q= +4  %+1  	 2.276(80)<-----%16   %1

printNotes: i= 139-<1573 2241 -668>,  	Ak2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 140-<2130 2104  26>,  	 G2 --  1/16th.( 49) <      > 	V 51 - M 16	=+35  %+69  	q= +2  %+4  	 0.290(80)<-----%69   %4

printNotes: i= 141-<2176 2241 -65>,  	Ak2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 142-<1869 1878  -9>,  	 F2 --   1/4th.(194) <      > 	V180 - M259	=-79  %-44  	q=-14  %-8  	 1.039(80)<-----%44   %8

printNotes: i= 143-<1754 1744  10>,  	Ek2 --    1/4th(130) <      > 	V140 - M130	=+10  %+7  	q=+10  %+7  	 0.807(80)
printNotes: i= 144-<1890 1878  12>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 22	= +6  %+21  	q=  +  %+0  	 0.157(80)<-----%21   %0

printNotes: i= 145-<2123 2104  19>,  	 G2 -- 1/32nd..( 28) <      > 	V 29 - M 11	=+18  %+62  	q= +1  %+3  	 0.163(80)<-----%62   %3

printNotes: i= 146-<2182 2241 -59>,  	Ak2 --  1/64th.( 12) <      > 	V 12 - M 11	= +1  %+8  	q=  +  %+0  	 0.064(80)
printNotes: i= 147-<1919 1878  41>,  	 F2 --  1/32nd.( 24) <      > 	V 25 - M 11	=+14  %+56  	q= +1  %+4  	 0.139(80)<-----%56   %4

printNotes: i= 148-<2069 2104 -35>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 11	= +6  %+35  	q= +1  %+6  	 0.093(80)<-----%35   %6

printNotes: i= 149-<1753 1744   9>,  	Ek2 --    1/4th(130) <      > 	V133 - M 49	=+84  %+63  	q= +3  %+2  	 0.766(80)<-----%63   %2

printNotes: i= 150-<1661 1610  51>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(80)<-----%33   %0 <<

printNotes: i= 151-<1595 1744 -149>,  	Ek2 --   1/8th.( 97) <      > 	V 90 - M 65	=+25  %+28  	q= -7  %-8  	 0.517(80)<-----%28   %8



silence
printNotes: i= 152-<   0   40 -40>,  	Slc --    1/4th(130) <      > 	V145 - M130	=+15  %+10  	q=+15  %+10  	 0.836(80)
printNotes: i= 153-<1377 1388 -11>,  	 C2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(80)<-----%23   %8 <<

printNotes: i= 154-<1724 1744 -20>,  	Ek2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(80)<-----%33   %0

printNotes: i= 155-<1623 1610  13>,  	 D2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(80)<-----%146   %8 <<

printNotes: i= 156-<1729 1744 -15>,  	Ek2 --  1/16th.( 49) <      > 	V 41 - M 49	= -8  %-20  	q= -8  %-20  	 0.232(80)
printNotes: i= 157-<1884 1878   6>,  	 F2 --  1/16th.( 49) <      > 	V 48 - M 49	= -1  %-2  	q= -1  %-2  	 0.273(80)
printNotes: i= 158-<2095 2104  -9>,  	 G2 --  1/16th.( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(80)
printNotes: i= 159-<2233 2241  -8>,  	Ak2 --  1/16th.( 49) <      > 	V 42 - M 49	= -7  %-17  	q= -7  %-17  	 0.238(80)
printNotes: i= 160-<2134 2104  30>,  	 G2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(80)<-----%19   %4

printNotes: i= 161-<1874 1878  -4>,  	 F2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 162-<2085 2104 -19>,  	 G2 --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(80)<-----%433   %33 <<

printNotes: i= 163-<2145 2241 -96>,  	Ak2 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(80)<-----%220   %20 <<

printNotes: i= 164-<2109 2104   5>,  	 G2 --   1/16th( 32) <      > 	V 40 - M 32	= +8  %+20  	q= +8  %+20  	 0.226(80)
