	voice Midi Diff								present		 Best		Sec

printNotes: i= 131-<2375 2398 -23>,  	Bk2 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(87)<-----%25   %10

printNotes: i= 132-<2470 2560 -90>,  	 C3 --    128th(  4) <      > 	V  5 - M 15	=-10  %-200  	q= +1  %+20  	 0.023(87)<-----%200   %20 <<

printNotes: i= 133-<2400 2398   2>,  	Bk2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(87)<-----%15   %0

printNotes: i= 134-<2189 2192  -3>,  	Ak2 --  1/32nd.( 22) <      > 	V 22 - M 15	= +7  %+32  	q=  +  %+0  	 0.122(87)<-----%32   %0

printNotes: i= 135-<2382 2398 -16>,  	Bk2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(87)<-----%88   %38 <<

printNotes: i= 136-<2102 2192 -90>,  	Ak2 -- 1/32nd..( 26) <      > 	V 25 - M 15	=+10  %+40  	q= -1  %-4  	 0.139(87)<-----%40   %4

printNotes: i= 137-<2447 2398  49>,  	Bk2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 138-<2188 2192  -4>,  	Ak2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(87)
printNotes: i= 139-<2072 2078  -6>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 30	=-17  %-131  	q=  +  %+0  	 0.070(87)<-----%131   %0 <<

printNotes: i= 140-<1920 2192 -272>,  	Ak2 --   1/8th.( 89) <      > 	V 88 - M 59	=+29  %+33  	q= -1  %-1  	 0.505(87)<-----%33   %1



silence
printNotes: i= 141-<   0   40 -40>,  	Slc --   half..(416) <1*sela> 	V441 - M534	=-93  %-21  	q=+25  %+6  	 2.554(87)<-----%21   %6

