	voice Midi Diff								present		 Best		Sec

printNotes: i= 104-<1730 2228 -498>,  	Ak2 -- 1/16th..( 51) <      > 	V 53 - M 29	=+24  %+45  	q= +2  %+4  	 0.302(89)<-----%45   %4

printNotes: i= 105-<2211 2228 -17>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)<-- same note
printNotes: i= 106-<2220 2228  -8>,  	Ak2 --    1/8th( 58) <      > 	V 58 - M 58	=  +  %+0  	q=  +  %+0  	 0.331(89)<-- same note
printNotes: i= 107-<2114 2103  11>,  	 G2 --  1/32nd.( 22) <      > 	V 20 - M 29	= -9  %-45  	q= -2  %-10  	 0.110(89)<-----%45   %10

printNotes: i= 108-<2123 2228 -105>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)
printNotes: i= 109-<2065 2228 -163>,  	Ak2 --    half.(348) <-2*sela> 	V316 - M348	=-32  %-10  	q=-32  %-10  	 1.829(89)<-- same note
printNotes: i= 110-<2114 2103  11>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(89)<-----%93   %0 <<

printNotes: i= 111-<2219 2228  -9>,  	Ak2 -- 1/32nd..( 25) <      > 	V 26 - M 15	=+11  %+42  	q= +1  %+4  	 0.145(89)<-----%42   %4

printNotes: i= 112-<2419 2385  34>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(89)
printNotes: i= 113-<2235 2228   7>,  	Ak2 --   1/16th( 29) <      > 	V 30 - M 15	=+15  %+50  	q= +1  %+3  	 0.168(89)<-----%50   %3

printNotes: i= 114-<2360 2385 -25>,  	Bb2 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(89)<-----%67   %22 <<

printNotes: i= 115-<2218 2228 -10>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)
printNotes: i= 116-<2114 2103  11>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(89)<-----%93   %0 <<

printNotes: i= 117-<2312 2228  84>,  	Ak2 --    1/8th( 58) <      > 	V 55 - M 58	= -3  %-5  	q= -3  %-5  	 0.313(89)


silence
printNotes: i= 118-<   0   40 -40>,  	Slc --   1/4th.(174) <      > 	V188 - M116	=+72  %+38  	q=+14  %+7  	 1.086(89)<-----%38   %7

printNotes: i= 119-<1749 1733  16>,  	Ek2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(89)
