	voice Midi Diff								present		 Best		Sec

printNotes: i= 123-<2074 2425 -351>,  	Bk2 --    half.(384) <-2*sela> 	V345 - M128	=+217  %+63  	q=-39  %-11  	 1.997(81)<-----%63   %11

printNotes: i= 124-<2430 2425   5>,  	Bk2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 125-<2097 2425 -328>,  	Bk2 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)<-- same note
printNotes: i= 126-<1873 2425 -552>,  	Bk2 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)<-- same note
printNotes: i= 127-<2322 2315   7>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 128-<2360 2315  45>,  	 A2 --  128th..(  7) <      > 	V  7 - M 64	=-57  %-814  	q=  +  %+0  	 0.035(81)<-- same note<-----%814   %0 <<

printNotes: i= 129-<2564 2571  -7>,  	 C3 --   1/8th.( 96) <      > 	V 84 - M 96	=-12  %-14  	q=-12  %-14  	 0.482(81)
printNotes: i= 130-<2460 2425  35>,  	Bk2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)
printNotes: i= 131-<2428 2425   3>,  	Bk2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(81)<-- same note
printNotes: i= 132-<2332 2315  17>,  	 A2 --   1/64th(  8) <      > 	V 10 - M 32	=-22  %-220  	q= +2  %+20  	 0.052(81)<-----%220   %20 <<

printNotes: i= 133-<2490 2425  65>,  	Bk2 --   1/8th.( 96) <      > 	V 91 - M 64	=+27  %+30  	q= -5  %-5  	 0.522(81)<-----%30   %5



silence
printNotes: i= 134-<   0   40 -40>,  	Slc --   1/8th.( 96) <      > 	V 94 - M 64	=+30  %+32  	q= -2  %-2  	 0.540(81)<-----%32   %2

printNotes: i= 135-<2215 2425 -210>,  	Bk2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 136-<2306 2315  -9>,  	 A2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(81)<-----%78   %11

printNotes: i= 137-<2424 2425  -1>,  	Bk2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 138-<2577 2571   6>,  	 C3 --   1/16th( 32) <      > 	V 32 - M 16	=+16  %+50  	q=  +  %+0  	 0.180(81)<-----%50   %0

printNotes: i= 139-<2761 2771 -10>,  	 D3 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 140-<2428 2425   3>,  	Bk2 --   1/8th.( 96) <      > 	V103 - M 64	=+39  %+38  	q= +7  %+7  	 0.592(81)<-----%38   %7

printNotes: i= 141-<2600 2571  29>,  	 C3 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(81)<-----%146   %8 <<

printNotes: i= 142-<2423 2425  -2>,  	Bk2 --   1/8th.( 96) <      > 	V 84 - M 32	=+52  %+62  	q=-12  %-14  	 0.482(81)<-----%62   %14

printNotes: i= 143-<2597 2571  26>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 144-<2435 2425  10>,  	Bk2 --    1/8th( 64) <      > 	V 63 - M 32	=+31  %+49  	q= -1  %-2  	 0.360(81)<-----%49   %2

