	voice Midi Diff								present		 Best		Sec

printNotes: i= 142-<   0   40 -40>,  	Slc --  1/16th.( 40) <      > 	V 38 - M 40	= -2  %-5  	q= -2  %-5  	 0.215(98)
printNotes: i= 143-<2356 2364  -8>,  	 F2 --  1/8th..( 93) <      > 	V 99 - M106	= -7  %-7  	q= +6  %+6  	 0.569(98)
printNotes: i= 144-<2229 2206  23>,  	Ek2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(98)
printNotes: i= 145-<2380 2364  16>,  	 F2 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(98)
printNotes: i= 146-<2206 2206    >,  	Ek2 --  1/32nd.( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(98)
printNotes: i= 147-<2399 2364  35>,  	 F2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(98)
printNotes: i= 148-<2214 2206   8>,  	Ek2 --    1/4th(106) <      > 	V101 - M106	= -5  %-5  	q= -5  %-5  	 0.580(98)
printNotes: i= 149-<2268 2766 -498>,  	 A2 -- 1/32nd..( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(98)
printNotes: i= 150-<1704 2206 -502>,  	Ek2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(98)


silence
printNotes: i= 151-<   0   40 -40>,  	Slc --    half.(318) <      > 	V310 - M322	=-12  %-4  	q= -8  %-3  	 1.794(98)
printNotes: i= 152-<1057 1164 -107>,  	 F1 -- 1/32nd..( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(98)
printNotes: i= 153-<2070 2206 -136>,  	Ek2 --   1/16th( 26) <      > 	V 28 - M 26	= +2  %+7  	q= +2  %+7  	 0.157(98)
printNotes: i= 154-<2088 2081   7>,  	 D2 --  1/8th..( 93) <      > 	V 95 - M 93	= +2  %+2  	q= +2  %+2  	 0.546(98)
printNotes: i= 155-<2753 2766 -13>,  	 A2 --    1/4th(106) <      > 	V102 - M106	= -4  %-4  	q= -4  %-4  	 0.586(98)
printNotes: i= 156-<2431 2364  67>,  	 F2 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(98)
printNotes: i= 157-<2544 2572 -28>,  	 G2 --  1/16th.( 40) <      > 	V 39 - M 40	= -1  %-3  	q= -1  %-3  	 0.221(98)
printNotes: i= 158-<2770 2766   4>,  	 A2 --   1/16th( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(98)
printNotes: i= 159-<2557 2572 -15>,  	 G2 --   1/8th.( 79) <      > 	V 73 - M 79	= -6  %-8  	q= -6  %-8  	 0.418(98)
printNotes: i= 160-<2182 2364 -182>,  	 F2 --    1/8th( 53) <      > 	V 57 - M 53	= +4  %+7  	q= +4  %+7  	 0.325(98)
