	voice Midi Diff								present		 Best		Sec

printNotes: i= 114-<2876 2880  -4>,  	Bb2 --   1/16th( 35) <      > 	V 33 - M 35	= -2  %-6  	q= -2  %-6  	 0.186(74)
printNotes: i= 115-<2856 2800  56>,  	 A2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(74)
printNotes: i= 116-<2478 3080 -602>,  	 C3 --   1/64th(  9) <      > 	V 11 - M 13	= -2  %-18  	q= +2  %+18  	 0.058(74)
printNotes: i= 117-<2600 2586  14>,  	 G2 --  1/32nd.( 26) <      > 	V 23 - M 26	= -3  %-13  	q= -3  %-13  	 0.128(74)


silence
printNotes: i= 118-< 116   40  76>,  	Slc --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(74)
printNotes: i= 119-<1736 2217 -481>,  	Ek2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(74)
printNotes: i= 120-<2577 2586  -9>,  	 G2 --   1/16th( 35) <      > 	V 39 - M 35	= +4  %+10  	q= +4  %+10  	 0.221(74)
printNotes: i= 121-<2890 3080 -190>,  	 C3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(74)
printNotes: i= 122-<2882 2880   2>,  	Bb2 --   1/16th( 35) <      > 	V 34 - M 35	= -1  %-3  	q= -1  %-3  	 0.192(74)
printNotes: i= 123-<2817 2800  17>,  	 A2 --  1/4th..(245) <      > 	V234 - M245	=-11  %-5  	q=-11  %-5  	 1.353(74)
printNotes: i= 124-<2668 2586  82>,  	 G2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(74)
printNotes: i= 125-<2723 2800 -77>,  	 A2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(74)
printNotes: i= 126-<2619 2586  33>,  	 G2 --  1/32nd.( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(74)
printNotes: i= 127-<2332 2478 -146>,  	F#2 --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(74)
printNotes: i= 128-<2346 2586 -240>,  	 G2 --  128th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(74)
printNotes: i= 129-<2407 2478 -71>,  	F#2 --  1/32nd.( 26) <      > 	V 28 - M 26	= +2  %+7  	q= +2  %+7  	 0.157(74)
printNotes: i= 130-<2103 2217 -114>,  	Ek2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(74)
printNotes: i= 131-<2345 2478 -133>,  	F#2 --   128th.(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(74)
printNotes: i= 132-<2204 2217 -13>,  	Ek2 --  1/32nd.( 26) <      > 	V 22 - M 26	= -4  %-18  	q= -4  %-18  	 0.122(74)
printNotes: i= 133-<2078 2091 -13>,  	 D2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(74)
printNotes: i= 134-<2233 2217  16>,  	Ek2 --     half(280) <      > 	V289 - M280	= +9  %+3  	q= +9  %+3  	 1.672(74)
printNotes: i= 135-<2060 2091 -31>,  	 D2 --  1/32nd.( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(74)
printNotes: i= 136-<2224 2217   7>,  	Ek2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(74)


silence
printNotes: i= 137-<   0   40 -40>,  	Slc --   1/4th.(210) <      > 	V208 - M154	=+54  %+26  	q= -2  %-1  	 1.202(74)<-----%26   %1

printNotes: i= 138-<1963 1893  70>,  	 C2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(74)
printNotes: i= 139-<2489 2586 -97>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(74)
printNotes: i= 140-<2601 2586  15>,  	 G2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(74)<-- same note
printNotes: i= 141-<2593 2586   7>,  	 G2 --    1/4th(140) <      > 	V135 - M140	= -5  %-4  	q= -5  %-4  	 0.778(74)<-- same note
printNotes: i= 142-<2436 2478 -42>,  	F#2 --   1/8th.(105) <      > 	V 92 - M105	=-13  %-14  	q=-13  %-14  	 0.528(74)
