	voice Midi Diff								present		 Best		Sec

printNotes: i= 144-<1670 2262 -592>,  	 E2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(66)
printNotes: i= 145-<2743 2799 -56>,  	 A2 --   1/32nd( 20) <      > 	V 21 - M 20	= +1  %+5  	q= +1  %+5  	 0.116(66)
printNotes: i= 146-< 411 2586 -2175>,  	 G2 --   1/16th( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(66)
printNotes: i= 147-<2800 2799   1>,  	 A2 --    128th(  5) <      > 	V  4 - M  5	= -1  %-25  	q= -1  %-25  	 0.017(66)
printNotes: i= 148-<2859 2860  -1>,  	Bb2 --   1/32nd( 20) <      > 	V 21 - M 20	= +1  %+5  	q= +1  %+5  	 0.116(66)
printNotes: i= 149-<2793 2799  -6>,  	 A2 --  1/64th.( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(66)
printNotes: i= 150-<2779 2799 -20>,  	 A2 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(66)<-- same note


silence
printNotes: i= 151-<   0   40 -40>,  	Slc --   1/16th( 39) <      > 	V 40 - M 85	=-45  %-112  	q= +1  %+2  	 0.226(66)<-----%112   %2

printNotes: i= 152-<2758 2799 -41>,  	 A2 --  1/32nd.( 29) <      > 	V 25 - M 29	= -4  %-16  	q= -4  %-16  	 0.139(66)
printNotes: i= 153-<2865 2860   5>,  	Bb2 --   1/16th( 39) <      > 	V 44 - M 39	= +5  %+11  	q= +5  %+11  	 0.250(66)
printNotes: i= 154-<2269 2799 -530>,  	 A2 --  1/8th..(138) <      > 	V128 - M138	=-10  %-8  	q=-10  %-8  	 0.737(66)
printNotes: i= 155-<1306 3055 -1749>,  	 C3 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(66)
printNotes: i= 156-<2645 2799 -154>,  	 A2 --    1/8th( 79) <      > 	V 81 - M 79	= +2  %+2  	q= +2  %+2  	 0.464(66)


silence
printNotes: i= 157-<   0   40 -40>,  	Slc --   1/32nd( 20) <      > 	V 20 - M 39	=-19  %-95  	q=  +  %+0  	 0.110(66)<-----%95   %0

printNotes: i= 158-<1908 1562 346>,  	 A1 --  1/32nd.( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(66)
printNotes: i= 159-<2761 2860 -99>,  	Bb2 -- 1/16th..( 69) <      > 	V 65 - M 69	= -4  %-6  	q= -4  %-6  	 0.372(66)
printNotes: i= 160-<2790 2799  -9>,  	 A2 --  1/8th..(138) <      > 	V144 - M138	= +6  %+4  	q= +6  %+4  	 0.830(66)
printNotes: i= 161-<2883 2860  23>,  	Bb2 --  1/32nd.( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(66)
printNotes: i= 162-<3067 3055  12>,  	 C3 --  1/64th.( 15) <      > 	V 11 - M 15	= -4  %-36  	q= -4  %-36  	 0.058(66)
printNotes: i= 163-<2889 2860  29>,  	Bb2 --  1/32nd.( 29) <      > 	V 25 - M 29	= -4  %-16  	q= -4  %-16  	 0.139(66)
printNotes: i= 164-<2767 2799 -32>,  	 A2 --   1/32nd( 20) <      > 	V 19 - M 20	= -1  %-5  	q= -1  %-5  	 0.104(66)
printNotes: i= 165-<2586 2586    >,  	 G2 --   1/32nd( 20) <      > 	V 18 - M 20	= -2  %-11  	q= -2  %-11  	 0.099(66)
printNotes: i= 166-<2806 2799   7>,  	 A2 -- 1/32nd..( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(66)
printNotes: i= 167-<2916 2860  56>,  	Bb2 --   1/64th( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(66)
printNotes: i= 168-<2790 2799  -9>,  	 A2 --  1/32nd.( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(66)
printNotes: i= 169-<2599 2586  13>,  	 G2 --  1/32nd.( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(66)
printNotes: i= 170-<2456 2462  -6>,  	F#2 --  1/64th.( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(66)
printNotes: i= 171-<2600 2586  14>,  	 G2 --   1/16th( 39) <      > 	V 43 - M 39	= +4  %+9  	q= +4  %+9  	 0.244(66)
printNotes: i= 172-<2733 2799 -66>,  	 A2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(66)
printNotes: i= 173-<2590 2586   4>,  	 G2 -- 1/32nd..( 34) <      > 	V 36 - M 39	= -3  %-8  	q= +2  %+6  	 0.203(66)
printNotes: i= 174-<2459 2462  -3>,  	F#2 --   1/32nd( 20) <      > 	V 19 - M 20	= -1  %-5  	q= -1  %-5  	 0.104(66)
printNotes: i= 175-<2511 2586 -75>,  	 G2 --  1/32nd.( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(66)
