	voice Midi Diff								present		 Best		Sec

printNotes: i= 159-<1754 2083 -329>,  	 D2 --  1/16th.( 46) <      > 	V 43 - M 46	= -3  %-7  	q= -3  %-7  	 0.244(84)
printNotes: i= 160-<1452 2219 -767>,  	Ek2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)


silence
printNotes: i= 161-<   0   40 -40>,  	Slc --    whole(490) <      > 	V479 - M311	=+168  %+35  	q=-11  %-2  	 2.775(84)<-----%35   %2

printNotes: i= 162-<1954 1883  71>,  	 C2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(84)
printNotes: i= 163-<2143 2083  60>,  	 D2 --    1/8th( 61) <      > 	V 59 - M 61	= -2  %-3  	q= -2  %-3  	 0.337(84)
printNotes: i= 164-<1355 2083 -728>,  	 D2 --   1/8th.( 92) <      > 	V 92 - M 92	=  +  %+0  	q=  +  %+0  	 0.528(84)<-- same note
printNotes: i= 165-<2522 2583 -61>,  	 G2 --  1/4th..(214) <      > 	V200 - M184	=+16  %+8  	q=-14  %-7  	 1.155(84)
printNotes: i= 166-<1578 2583 -1005>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 167-<1162 2583 -1421>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 168-<2578 2583  -5>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 169-<2435 2458 -23>,  	F#2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 170-<2332 2583 -251>,  	 G2 --   1/4th.(184) <-1*sela> 	V166 - M184	=-18  %-11  	q=-18  %-11  	 0.958(84)
