	voice Midi Diff								present		 Best		Sec

printNotes: i= 102-<2182 2184  -2>,  	 G2 --  1/8th..(102) <      > 	V 95 - M102	= -7  %-7  	q= -7  %-7  	 0.546(89)
printNotes: i= 103-<2084 2077   7>,  	F#2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(89)
printNotes: i= 104-<2319 2419 -100>,  	 A2 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(89)
printNotes: i= 105-<2174 2184 -10>,  	 G2 --     half(233) <      > 	V228 - M233	= -5  %-2  	q= -5  %-2  	 1.318(89)
printNotes: i= 106-<2269 2419 -150>,  	 A2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(89)
printNotes: i= 107-<2182 2184  -2>,  	 G2 --   1/8th.( 87) <      > 	V 77 - M 87	=-10  %-13  	q=-10  %-13  	 0.441(89)


silence
printNotes: i= 108-<   0   40 -40>,  	Slc --  whole..(816) <-3*sela> 	V764 - M828	=-64  %-8  	q=-52  %-7  	 4.429(89)
printNotes: i= 109-<1274 1294 -20>,  	Bb1 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(89)
printNotes: i= 110-<1627 1694 -67>,  	 D2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)


silence
printNotes: i= 111-<   0   40 -40>,  	Slc -- 1/32nd..( 26) <      > 	V 24 - M 22	= +2  %+8  	q= -2  %-8  	 0.134(89)
printNotes: i= 112-<2163 2184 -21>,  	 G2 --     half(233) <      > 	V232 - M233	= -1  %-0  	q= -1  %-0  	 1.341(89)
printNotes: i= 113-<2110 2077  33>,  	F#2 --  1/16th.( 44) <      > 	V 37 - M 29	= +8  %+22  	q= -7  %-19  	 0.209(89)
printNotes: i= 114-<2153 2184 -31>,  	 G2 --   1/4th.(175) <-1*sela> 	V149 - M175	=-26  %-17  	q=-26  %-17  	 0.859(89)


silence
printNotes: i= 115-<   0   40 -40>,  	Slc --   1/8th.( 87) <      > 	V 80 - M 87	= -7  %-9  	q= -7  %-9  	 0.459(89)
printNotes: i= 116-<2405 2419 -14>,  	 A2 -- 1/16th..( 51) <      > 	V 51 - M 51	=  +  %+0  	q=  +  %+0  	 0.290(89)
printNotes: i= 117-<2480 2484  -4>,  	Bb2 -- 1/16th..( 51) <      > 	V 49 - M 51	= -2  %-4  	q= -2  %-4  	 0.279(89)
printNotes: i= 118-<2429 2419  10>,  	 A2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(89)
printNotes: i= 119-<2481 2484  -3>,  	Bb2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(89)
printNotes: i= 120-<2405 2419 -14>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(89)
printNotes: i= 121-<2507 2484  23>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(89)
printNotes: i= 122-<2423 2419   4>,  	 A2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(89)
