	voice Midi Diff								present		 Best		Sec

printNotes: i= 154-< 507 1921 -1414>,  	Dk2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 155-<1166 1685 -519>,  	 B1 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 156-<1536 1427 109>,  	Ak1 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(88)
printNotes: i= 157-<1778 1785  -7>,  	 C2 --   1/8th.( 88) <      > 	V 74 - M 59	=+15  %+20  	q=-14  %-19  	 0.424(88)
printNotes: i= 158-<1918 1921  -3>,  	Dk2 --   1/8th.( 88) <      > 	V 79 - M 88	= -9  %-11  	q= -9  %-11  	 0.453(88)
printNotes: i= 159-< 262 1785 -1523>,  	 C2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(88)
printNotes: i= 160-< 334 1921 -1587>,  	Dk2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 161-<1764 1685  79>,  	 B1 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(88)
printNotes: i= 162-<1785 1785    >,  	 C2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 163-<1688 1685   3>,  	 B1 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(88)


silence
printNotes: i= 164-<   0   40 -40>,  	Slc --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(88)
printNotes: i= 165-<1905 1921 -16>,  	Dk2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(88)
printNotes: i= 166-<1834 1785  49>,  	 C2 --    128th(  4) <      > 	V  1 - M  4	= -3  %-300  	q= -3  %-300  	 0.000(88)
printNotes: i= 167-<1897 1921 -24>,  	Dk2 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(88)
printNotes: i= 168-<1775 1785 -10>,  	 C2 --    1/8th( 59) <      > 	V 70 - M 59	=+11  %+16  	q=+11  %+16  	 0.401(88)
printNotes: i= 169-<1685 1685    >,  	 B1 --  1/16th.( 44) <      > 	V 46 - M 44	= +2  %+4  	q= +2  %+4  	 0.261(88)
printNotes: i= 170-<1418 1785 -367>,  	 C2 --   1/4th.(176) <      > 	V175 - M176	= -1  %-1  	q= -1  %-1  	 1.010(88)


silence
printNotes: i= 171-<   0   40 -40>,  	Slc --   1/32nd( 15) <      > 	V 17 - M123	=-106  %-624  	q= +2  %+12  	 0.093(88)<-----%624   %12

printNotes: i= 172-<1456 1427  29>,  	Ak1 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(88)
printNotes: i= 173-<1873 1921 -48>,  	Dk2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(88)
printNotes: i= 174-<1766 1785 -19>,  	 C2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 175-<1825 1785  40>,  	 C2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(88)<-- same note
printNotes: i= 176-<1931 1921  10>,  	Dk2 --    1/8th( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(88)
