	voice Midi Diff								present		 Best		Sec

printNotes: i= 131-<1498 2242 -744>,  	 G2 --    1/4th(127) <      > 	V127 - M127	=  +  %+0  	q=  +  %+0  	 0.731(81)<-- same note
printNotes: i= 132-<1944 2242 -298>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 133-<1746 2242 -496>,  	 G2 --    1/4th(127) <      > 	V127 - M127	=  +  %+0  	q=  +  %+0  	 0.731(81)<-- same note
printNotes: i= 134-<2176 2642 -466>,  	 B2 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(81)<-----%39   %4



silence
printNotes: i= 135-<1972   40 1932>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 136-< 838 2242 -1404>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 137-<   0 2242 -2242>,  	 G2 --    128th(  4) <      > 	V  2 - M 32	=-30  %-1500  	q= -2  %-100  	 0.006(81)<-- same note<-----%1500   %100 <<

printNotes: i= 138-<   0 2242 -2242>,  	 G2 --    128th(  4) <      > 	V  1 - M 64	=-63  %-6300  	q= -3  %-300  	 0.000(81)<-- same note<-----%6300   %300 <<

printNotes: i= 139-<1317 2242 -925>,  	 G2 --  1/32nd.( 24) <      > 	V 22 - M 64	=-42  %-191  	q= -2  %-9  	 0.122(81)<-- same note<-----%191   %9



silence
printNotes: i= 140-<   0   40 -40>,  	Slc --  1/16th.( 48) <      > 	V 46 - M127	=-81  %-176  	q= -2  %-4  	 0.261(81)<-----%176   %4

printNotes: i= 141-<1581 2032 -451>,  	 F2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 142-<1904 2032 -128>,  	 F2 --   128th.(  6) <      > 	V  6 - M 32	=-26  %-433  	q=  +  %+0  	 0.029(81)<-- same note<-----%433   %0 <<

printNotes: i= 143-<2027 1933  94>,  	 E2 --   128th.(  6) <      > 	V  6 - M 32	=-26  %-433  	q=  +  %+0  	 0.029(81)<-----%433   %0 <<

printNotes: i= 144-<2242 2242    >,  	 G2 --    1/4th(127) <      > 	V131 - M 64	=+67  %+51  	q= +4  %+3  	 0.755(81)<-----%51   %3

printNotes: i= 145-<2250 2242   8>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 146-<2222 2242 -20>,  	 G2 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)<-- same note


silence
printNotes: i= 147-<2023   40 1983>,  	Slc --  1/16th.( 48) <      > 	V 45 - M 64	=-19  %-42  	q= -3  %-7  	 0.255(81)<-----%42   %7

printNotes: i= 148-<1949 1538 411>,  	 C2 --   1/64th(  8) <      > 	V  8 - M 32	=-24  %-300  	q=  +  %+0  	 0.041(81)<-----%300   %0 <<

printNotes: i= 149-<2213 2242 -29>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M223	=-212  %-1927  	q= -1  %-9  	 0.058(81)<-----%1927   %9 <<

printNotes: i= 150-<1943 2032 -89>,  	 F2 --   1/16th( 32) <      > 	V 34 - M 16	=+18  %+53  	q= +2  %+6  	 0.192(81)<-----%53   %6

printNotes: i= 151-<2238 2242  -4>,  	 G2 --  1/4th..(223) <      > 	V226 - M 16	=+210  %+93  	q= +3  %+1  	 1.306(81)<-----%93   %1

printNotes: i= 152-<2065 2032  33>,  	 F2 --    128th(  4) <      > 	V  4 - M 32	=-28  %-700  	q=  +  %+0  	 0.017(81)<-----%700   %0 <<

printNotes: i= 153-<2008 1933  75>,  	 E2 --    128th(  4) <      > 	V  1 - M 16	=-15  %-1500  	q= -3  %-300  	 0.000(81)<-----%1500   %300 <<

printNotes: i= 154-<2008 2032 -24>,  	 F2 --    128th(  4) <      > 	V  1 - M 16	=-15  %-1500  	q= -3  %-300  	 0.000(81)<-----%1500   %300 <<

printNotes: i= 155-<2006 1933  73>,  	 E2 --  128th..(  7) <      > 	V  7 - M 32	=-25  %-357  	q=  +  %+0  	 0.035(81)<-----%357   %0 <<

printNotes: i= 156-<2203 2242 -39>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M191	=-179  %-1492  	q=  +  %+0  	 0.064(81)<-----%1492   %0 <<

printNotes: i= 157-<2060 2032  28>,  	 F2 --   1/16th( 32) <      > 	V 35 - M 16	=+19  %+54  	q= +3  %+9  	 0.197(81)<-----%54   %9

