	voice Midi Diff								present		 Best		Sec

printNotes: i= 99-<2278 2230  48>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 33	=-15  %-83  	q= +2  %+11  	 0.099(78)<-----%83   %11

printNotes: i= 100-<2544 2609 -65>,  	 B2 --  1/64th.( 12) <      > 	V  9 - M 33	=-24  %-267  	q= -3  %-33  	 0.046(78)<-----%267   %33 <<

printNotes: i= 101-<2448 2429  19>,  	 A2 --     half(264) <      > 	V272 - M231	=+41  %+15  	q= +8  %+3  	 1.573(78)<-----%15   %3

printNotes: i= 102-<2142 2230 -88>,  	 G2 --   1/16th( 33) <      > 	V 38 - M 44	= -6  %-16  	q= +5  %+13  	 0.215(78)
printNotes: i= 103-<2469 2429  40>,  	 A2 --   1/16th( 33) <      > 	V 40 - M 44	= -4  %-10  	q= +7  %+18  	 0.226(78)
printNotes: i= 104-<2605 2566  39>,  	Bk2 --  1/16th.( 49) <      > 	V 42 - M 44	= -2  %-5  	q= -7  %-17  	 0.238(78)
printNotes: i= 105-<2709 2709    >,  	 C3 --   1/4th.(198) <-1*sela> 	V173 - M231	=-58  %-34  	q=-25  %-14  	 0.998(78)<-----%34   %14

printNotes: i= 106-<2453 2429  24>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 33	=-17  %-106  	q=  +  %+0  	 0.087(78)<-----%106   %0 <<

printNotes: i= 107-<2311 2566 -255>,  	Bk2 --   1/4th.(198) <      > 	V212 - M132	=+80  %+38  	q=+14  %+7  	 1.225(78)<-----%38   %7



silence
printNotes: i= 108-<   0   40 -40>,  	Slc -- 1/64th..( 14) <      > 	V 14 - M132	=-118  %-843  	q=  +  %+0  	 0.075(78)<-----%843   %0 <<

printNotes: i= 109-<2272 2429 -157>,  	 A2 -- 1/16th..( 58) <      > 	V 61 - M 66	= -5  %-8  	q= +3  %+5  	 0.348(78)<-----%8   %5

printNotes: i= 110-<2606 2609  -3>,  	 B2 --   1/16th( 33) <      > 	V 37 - M 66	=-29  %-78  	q= +4  %+11  	 0.209(78)<-----%78   %11

printNotes: i= 111-<2676 2709 -33>,  	 C3 -- 1/16th..( 58) <      > 	V 56 - M 66	=-10  %-18  	q= -2  %-4  	 0.319(78)<-----%18   %4

printNotes: i= 112-<2926 2922   4>,  	 D3 --   1/4th.(198) <-2*sela> 	V165 - M132	=+33  %+20  	q=-33  %-20  	 0.952(78)
printNotes: i= 113-<2631 2609  22>,  	 B2 --  1/64th.( 12) <      > 	V 12 - M 33	=-21  %-175  	q=  +  %+0  	 0.064(78)<-----%175   %0 <<

