	voice Midi Diff								present		 Best		Sec

printNotes: i= 140-<1890 2237 -347>,  	 G2 --   1/4th.(194) <      > 	V200 - M 32	=+168  %+84  	q= +6  %+3  	 1.155(80)<-----%84   %3

printNotes: i= 141-<2259 2237  22>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 142-<2257 2237  20>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note


silence
printNotes: i= 143-<   0   40 -40>,  	Slc --  1/8th..(113) <      > 	V106 - M129	=-23  %-22  	q= -7  %-7  	 0.610(80)<-----%22   %7

printNotes: i= 144-<1979 2026 -47>,  	 F2 --   1/4th.(194) <      > 	V190 - M259	=-69  %-36  	q= -4  %-2  	 1.097(80)<-----%36   %2

printNotes: i= 145-<1862 1914 -52>,  	 E2 --  1/16th.( 48) <      > 	V 41 - M 32	= +9  %+22  	q= -7  %-17  	 0.232(80)<-----%22   %17

printNotes: i= 146-<1976 2237 -261>,  	 G2 --    1/8th( 65) <      > 	V 62 - M 32	=+30  %+48  	q= -3  %-5  	 0.354(80)<-----%48   %5

printNotes: i= 147-<2211 2237 -26>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 148-<2055 2026  29>,  	 F2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(80)<-----%10   %3

printNotes: i= 149-<2210 2237 -27>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 150-<2003 2026 -23>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 151-<2195 2237 -42>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(80)<-----%33   %0 <<

printNotes: i= 152-<2020 2026  -6>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 153-<2145 2237 -92>,  	 G2 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(80)<-----%100   %0 <<

printNotes: i= 154-<2024 2026  -2>,  	 F2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(80)<-----%19   %4

printNotes: i= 155-<1880 1864  16>,  	Ek2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 156-<1968 2026 -58>,  	 F2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(80)<-----%60   %20 <<

