	voice Midi Diff								present		 Best		Sec

printNotes: i= 122-<2457 2494 -37>,  	 G2 --  1/32nd.( 22) <      > 	V 23 - M 29	= -6  %-26  	q= +1  %+4  	 0.128(88)<-----%26   %4

printNotes: i= 123-<2475 2494 -19>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)<-- same note
printNotes: i= 124-<2624 2642 -18>,  	Ak2 --    1/4th(117) <      > 	V112 - M146	=-34  %-30  	q= -5  %-4  	 0.644(88)<-----%30   %4

printNotes: i= 125-<2516 2494  22>,  	 G2 --    1/8th( 58) <      > 	V 57 - M 29	=+28  %+49  	q= -1  %-2  	 0.325(88)<-----%49   %2

printNotes: i= 126-<2500 2494   6>,  	 G2 --    1/4th(117) <      > 	V117 - M117	=  +  %+0  	q=  +  %+0  	 0.673(88)<-- same note
printNotes: i= 127-<2266 2294 -28>,  	 F2 -- 1/32nd..( 26) <      > 	V 24 - M 29	= -5  %-21  	q= -2  %-8  	 0.134(88)<-----%21   %8



silence
printNotes: i= 128-<   0   40 -40>,  	Slc --    1/8th( 58) <      > 	V 58 - M  7	=+51  %+88  	q=  +  %+0  	 0.331(88)<-----%88   %0

printNotes: i= 129-<1401 2294 -893>,  	 F2 --  1/16th.( 44) <      > 	V 42 - M 58	=-16  %-38  	q= -2  %-5  	 0.238(88)<-----%38   %5

printNotes: i= 130-<1607 2494 -887>,  	 G2 --  1/16th.( 44) <      > 	V 44 - M 29	=+15  %+34  	q=  +  %+0  	 0.250(88)<-----%34   %0

printNotes: i= 131-<2476 2494 -18>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)<-- same note
printNotes: i= 132-<2467 2642 -175>,  	Ak2 --  1/4th..(205) <      > 	V216 - M117	=+99  %+46  	q=+11  %+5  	 1.248(88)<-----%46   %5



silence
printNotes: i= 133-<   0   40 -40>,  	Slc --   1/16th( 29) <      > 	V 32 - M117	=-85  %-266  	q= +3  %+9  	 0.180(88)<-----%266   %9

printNotes: i= 134-<2482 2494 -12>,  	 G2 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 135-<2640 2642  -2>,  	Ak2 --   1/16th( 29) <      > 	V 34 - M 44	=-10  %-29  	q= +5  %+15  	 0.192(88)<-----%29   %15

printNotes: i= 136-<2497 2494   3>,  	 G2 --    1/4th(117) <      > 	V129 - M132	= -3  %-2  	q=+12  %+9  	 0.743(88)
printNotes: i= 137-<2266 2294 -28>,  	 F2 --    1/8th( 58) <      > 	V 59 - M 15	=+44  %+75  	q= +1  %+2  	 0.337(88)<-----%75   %2

printNotes: i= 138-<2100 2294 -194>,  	 F2 --  1/16th.( 44) <      > 	V 44 - M 44	=  +  %+0  	q=  +  %+0  	 0.250(88)<-- same note
printNotes: i= 139-<2497 2494   3>,  	 G2 --    1/8th( 58) <      > 	V 62 - M 29	=+33  %+53  	q= +4  %+6  	 0.354(88)<-----%53   %6

printNotes: i= 140-<2640 2642  -2>,  	Ak2 --    1/4th(117) <1*sela> 	V140 - M234	=-94  %-67  	q=+23  %+16  	 0.807(88)<-----%67   %16

printNotes: i= 141-<2863 2874 -11>,  	 B2 --  1/16th.( 44) <      > 	V 37 - M 44	= -7  %-19  	q= -7  %-19  	 0.209(88)
printNotes: i= 142-<2649 2642   7>,  	Ak2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 143-<2835 2874 -39>,  	 B2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(88)<-----%25   %8 <<

printNotes: i= 144-<2692 2642  50>,  	Ak2 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(88)<-----%25   %10

printNotes: i= 145-<2811 2874 -63>,  	 B2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(88)<-----%88   %38 <<

printNotes: i= 146-<2632 2642 -10>,  	Ak2 -- 1/32nd..( 26) <      > 	V 25 - M 29	= -4  %-16  	q= -1  %-4  	 0.139(88)<-----%16   %4

printNotes: i= 147-<2489 2494  -5>,  	 G2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(88)<-----%21   %16

printNotes: i= 148-<2598 2642 -44>,  	Ak2 --  1/16th.( 44) <      > 	V 42 - M 15	=+27  %+64  	q= -2  %-5  	 0.238(88)<-----%64   %5

printNotes: i= 149-<2499 2494   5>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 150-<2573 2642 -69>,  	Ak2 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(88)<-----%150   %0 <<

printNotes: i= 151-<2485 2494  -9>,  	 G2 --    128th(  4) <      > 	V  3 - M 29	=-26  %-867  	q= -1  %-33  	 0.012(88)<-----%867   %33 <<

printNotes: i= 152-<2322 2294  28>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
