	voice Midi Diff								present		 Best		Sec

printNotes: i= 151-<1795 1802  -7>,  	 C2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 152-<1928 1929  -1>,  	Dk2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 153-<1726 1709  17>,  	 B1 --    1/4th(118) <      > 	V115 - M118	= -3  %-3  	q= -3  %-3  	 0.662(88)
printNotes: i= 154-<1796 1802  -6>,  	 C2 -- 1/32nd..( 26) <      > 	V 24 - M 29	= -5  %-21  	q= -2  %-8  	 0.134(88)<-----%21   %8

printNotes: i= 155-<1957 1929  28>,  	Dk2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 156-<1803 1802   1>,  	 C2 --    1/4th(118) <1*sela> 	V146 - M177	=-31  %-21  	q=+28  %+19  	 0.842(88)
printNotes: i= 157-<1944 1929  15>,  	Dk2 -- 1/16th..( 52) <      > 	V 49 - M 44	= +5  %+10  	q= -3  %-6  	 0.279(88)<-----%10   %6

printNotes: i= 158-<1808 1802   6>,  	 C2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 159-<1890 1929 -39>,  	Dk2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 160-<1715 1709   6>,  	 B1 --    1/4th(118) <      > 	V122 - M118	= +4  %+3  	q= +4  %+3  	 0.702(88)
printNotes: i= 161-<1830 1802  28>,  	 C2 --    1/8th( 59) <      > 	V 70 - M 29	=+41  %+59  	q=+11  %+16  	 0.401(88)<-----%59   %16

printNotes: i= 162-<1650 1929 -279>,  	Dk2 -- 1/32nd..( 26) <      > 	V 24 - M 29	= -5  %-21  	q= -2  %-8  	 0.134(88)<-----%21   %8

printNotes: i= 163-<1810 1802   8>,  	 C2 --  1/32nd.( 22) <      > 	V 21 - M 59	=-38  %-181  	q= -1  %-5  	 0.116(88)<-----%181   %5



silence
printNotes: i= 164-<   0   40 -40>,  	Slc --   1/8th.( 88) <      > 	V 86 - M 59	=+27  %+31  	q= -2  %-2  	 0.493(88)<-----%31   %2

printNotes: i= 165-<1433 1455 -22>,  	Ak1 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(88)
