	voice Midi Diff								present		 Best		Sec

printNotes: i= 147-<2111 2172 -61>,  	 D3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(80)
printNotes: i= 148-<2110 2253 -143>,  	Eb3 --   1/4th.(193) <      > 	V189 - M193	= -4  %-2  	q= -4  %-2  	 1.091(80)
printNotes: i= 149-< 504 1956 -1452>,  	 C3 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(80)
printNotes: i= 150-<2262 2253   9>,  	Eb3 --    1/8th( 64) <      > 	V 71 - M 64	= +7  %+10  	q= +7  %+10  	 0.406(80)
printNotes: i= 151-<2256 2253   3>,  	Eb3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 152-<2245 2253  -8>,  	Eb3 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)<-- same note
printNotes: i= 153-<2278 2253  25>,  	Eb3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 154-< 671 2172 -1501>,  	 D3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 155-< 850 2253 -1403>,  	Eb3 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 156-<2180 2172   8>,  	 D3 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(80)
printNotes: i= 157-<2259 2253   6>,  	Eb3 --  1/16th.( 48) <      > 	V 50 - M 48	= +2  %+4  	q= +2  %+4  	 0.284(80)
printNotes: i= 158-<2183 2172  11>,  	 D3 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(80)
printNotes: i= 159-<2253 2253    >,  	Eb3 --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(80)
printNotes: i= 160-<1165 2172 -1007>,  	 D3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 161-<1488 2454 -966>,  	 F3 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
printNotes: i= 162-<2247 2253  -6>,  	Eb3 --   1/8th.( 96) <      > 	V 97 - M 96	= +1  %+1  	q= +1  %+1  	 0.557(80)
printNotes: i= 163-<2253 2253    >,  	Eb3 --    1/4th(129) <      > 	V129 - M129	=  +  %+0  	q=  +  %+0  	 0.743(80)<-- same note
printNotes: i= 164-<2252 2253  -1>,  	Eb3 -- 1/16th..( 56) <      > 	V 56 - M 56	=  +  %+0  	q=  +  %+0  	 0.319(80)<-- same note
