	voice Midi Diff								present		 Best		Sec

printNotes: i= 137-<2927 2942 -15>,  	Bb2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(87)
printNotes: i= 138-<2805 2787  18>,  	Ab2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 139-<2956 2942  14>,  	Bb2 --   1/8th.( 89) <      > 	V 92 - M 89	= +3  %+3  	q= +3  %+3  	 0.528(87)
printNotes: i= 140-<2773 2787 -14>,  	Ab2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(87)
printNotes: i= 141-<2673 2668   5>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 142-<2787 2820 -33>,  	Ak2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 143-<2696 2668  28>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 144-<2735 2787 -52>,  	Ab2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
printNotes: i= 145-<2505 2468  37>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 13	= +2  %+13  	q=  +  %+0  	 0.081(87)
printNotes: i= 146-<2633 2668 -35>,  	 G2 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(87)
printNotes: i= 147-<2504 2468  36>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(87)
printNotes: i= 148-<2675 2668   7>,  	 G2 -- 1/16th..( 52) <      > 	V 50 - M 52	= -2  %-4  	q= -2  %-4  	 0.284(87)
printNotes: i= 149-<3054 3168 -114>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 150-<2677 2668   9>,  	 G2 --   half..(416) <      > 	V405 - M416	=-11  %-3  	q=-11  %-3  	 2.345(87)
