	voice Midi Diff								present		 Best		Sec

printNotes: i= 96-< 419 2355 -1936>,  	 E3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 97-< 562 2462 -1900>,  	 F3 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(87)
printNotes: i= 98-<2233 2462 -229>,  	 F3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)<-- same note
printNotes: i= 99-<1618 1972 -354>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
printNotes: i= 100-<1979 2462 -483>,  	 F3 --    1/4th(118) <      > 	V126 - M118	= +8  %+6  	q= +8  %+6  	 0.726(87)
printNotes: i= 101-<2348 2315  33>,  	Ek3 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(87)
printNotes: i= 102-<2371 2462 -91>,  	 F3 --     half(237) <2*sela> 	V273 - M237	=+36  %+13  	q=+36  %+13  	 1.579(87)


silence
printNotes: i= 103-<   0   40 -40>,  	Slc --  128th..(  6) <      > 	V  6 - M  5	= +1  %+17  	q=  +  %+0  	 0.029(87)
printNotes: i= 104-< 752 1972 -1220>,  	 C3 --  1/16th.( 44) <      > 	V 42 - M 44	= -2  %-5  	q= -2  %-5  	 0.238(87)
printNotes: i= 105-<2441 2462 -21>,  	 F3 --  1/16th.( 44) <      > 	V 43 - M 44	= -1  %-2  	q= -1  %-2  	 0.244(87)
printNotes: i= 106-<2453 2462  -9>,  	 F3 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(87)<-- same note
printNotes: i= 107-<2466 2462   4>,  	 F3 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(87)<-- same note
printNotes: i= 108-<2346 2315  31>,  	Ek3 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(87)
printNotes: i= 109-<2454 2462  -8>,  	 F3 --   1/8th.( 89) <      > 	V 96 - M104	= -8  %-8  	q= +7  %+7  	 0.551(87)


silence
printNotes: i= 110-<   0   40 -40>,  	Slc --     half(237) <      > 	V230 - M242	=-12  %-5  	q= -7  %-3  	 1.329(87)
