	voice Midi Diff								present		 Best		Sec

printNotes: i= 118-<1723 1746 -23>,  	Bb2 --   1/16th( 27) <      > 	V 31 - M 27	= +4  %+13  	q= +4  %+13  	 0.174(97)
printNotes: i= 119-<1957 1957    >,  	 C3 --    1/8th( 53) <      > 	V 60 - M 53	= +7  %+12  	q= +7  %+12  	 0.342(97)
printNotes: i= 120-<1741 1746  -5>,  	Bb2 --  1/8th..( 93) <      > 	V 89 - M 93	= -4  %-4  	q= -4  %-4  	 0.511(97)
printNotes: i= 121-<1601 1601    >,  	Ak2 --  1/16th.( 40) <      > 	V 43 - M 40	= +3  %+7  	q= +3  %+7  	 0.244(97)
printNotes: i= 122-<1485 1475  10>,  	 G2 --    1/8th( 53) <      > 	V 60 - M 53	= +7  %+12  	q= +7  %+12  	 0.342(97)
printNotes: i= 123-<1920 1957 -37>,  	 C3 --  1/8th..( 93) <      > 	V 93 - M 93	=  +  %+0  	q=  +  %+0  	 0.534(97)
printNotes: i= 124-<1733 1746 -13>,  	Bb2 --  1/32nd.( 20) <      > 	V 17 - M 20	= -3  %-18  	q= -3  %-18  	 0.093(97)
printNotes: i= 125-<1955 1957  -2>,  	 C3 --    half.(320) <      > 	V324 - M320	= +4  %+1  	q= +4  %+1  	 1.875(97)
printNotes: i= 126-<1100 2256 -1156>,  	Eb3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(97)
printNotes: i= 127-<1809 1957 -148>,  	 C3 --  1/16th.( 40) <      > 	V 38 - M 40	= -2  %-5  	q= -2  %-5  	 0.215(97)


silence
printNotes: i= 128-<   0   40 -40>,  	Slc --   whole.(641) <1*sela> 	V664 - M534	=+130  %+20  	q=+23  %+3  	 3.849(97)<-----%20   %3

printNotes: i= 129-<1594 1601  -7>,  	Ak2 --  1/32nd.( 20) <      > 	V 17 - M 20	= -3  %-18  	q= -3  %-18  	 0.093(97)
printNotes: i= 130-< 958 1746 -788>,  	Bb2 --    1/8th( 53) <      > 	V 56 - M 53	= +3  %+5  	q= +3  %+5  	 0.319(97)
printNotes: i= 131-<1133 1957 -824>,  	 C3 --    1/8th( 53) <      > 	V 57 - M 53	= +4  %+7  	q= +4  %+7  	 0.325(97)
printNotes: i= 132-<1654 1957 -303>,  	 C3 --     half(214) <      > 	V214 - M214	=  +  %+0  	q=  +  %+0  	 1.236(97)<-- same note
printNotes: i= 133-<1747 1746   1>,  	Bb2 -- 1/32nd..( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(97)
printNotes: i= 134-<1969 1957  12>,  	 C3 --   1/16th( 27) <      > 	V 32 - M 27	= +5  %+16  	q= +5  %+16  	 0.180(97)
printNotes: i= 135-<2290 2256  34>,  	Eb3 -- 1/32nd..( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(97)
printNotes: i= 136-<2155 2162  -7>,  	 D3 --    1/8th( 53) <      > 	V 54 - M 53	= +1  %+2  	q= +1  %+2  	 0.308(97)
printNotes: i= 137-<2235 2256 -21>,  	Eb3 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(97)
printNotes: i= 138-<1970 1957  13>,  	 C3 --  1/4th..(187) <      > 	V182 - M187	= -5  %-3  	q= -5  %-3  	 1.051(97)
printNotes: i= 139-<1969 1957  12>,  	 C3 -- 1/16th..( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(97)<-- same note


silence
printNotes: i= 140-<   0   40 -40>,  	Slc --    1/4th(107) <1*sela> 	V126 - M107	=+19  %+15  	q=+19  %+15  	 0.726(97)
printNotes: i= 141-<1556 1475  81>,  	 G2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(97)
printNotes: i= 142-<1919 1957 -38>,  	 C3 --    1/8th( 53) <      > 	V 65 - M 53	=+12  %+18  	q=+12  %+18  	 0.372(97)
printNotes: i= 143-<1953 1957  -4>,  	 C3 --   1/4th.(160) <      > 	V160 - M160	=  +  %+0  	q=  +  %+0  	 0.923(97)<-- same note
printNotes: i= 144-<1959 1957   2>,  	 C3 --   1/16th( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(97)<-- same note
printNotes: i= 145-<1134 1957 -823>,  	 C3 --   1/16th( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(97)<-- same note
printNotes: i= 146-<1540 1957 -417>,  	 C3 --  1/16th.( 40) <      > 	V 40 - M 40	=  +  %+0  	q=  +  %+0  	 0.226(97)<-- same note
printNotes: i= 147-<1755 1746   9>,  	Bb2 --   1/16th( 27) <      > 	V 33 - M 27	= +6  %+18  	q= +6  %+18  	 0.186(97)
printNotes: i= 148-<1939 1957 -18>,  	 C3 --  1/16th.( 40) <      > 	V 42 - M 40	= +2  %+5  	q= +2  %+5  	 0.238(97)
printNotes: i= 149-<2146 2162 -16>,  	 D3 --   1/4th.(160) <      > 	V163 - M160	= +3  %+2  	q= +3  %+2  	 0.940(97)
printNotes: i= 150-<1968 1957  11>,  	 C3 --   1/8th.( 80) <      > 	V 79 - M 80	= -1  %-1  	q= -1  %-1  	 0.453(97)
printNotes: i= 151-<2139 2162 -23>,  	 D3 --  1/32nd.( 20) <      > 	V 17 - M 20	= -3  %-18  	q= -3  %-18  	 0.093(97)
printNotes: i= 152-<1971 1957  14>,  	 C3 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(97)
printNotes: i= 153-<1612 2162 -550>,  	 D3 --   1/32nd( 13) <      > 	V 16 - M 13	= +3  %+19  	q= +3  %+19  	 0.087(97)
printNotes: i= 154-<2001 1957  44>,  	 C3 --   1/32nd( 13) <      > 	V 16 - M 13	= +3  %+19  	q= +3  %+19  	 0.087(97)
printNotes: i= 155-<2055 2162 -107>,  	 D3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(97)
printNotes: i= 156-<1963 1957   6>,  	 C3 --   1/16th( 27) <      > 	V 33 - M 27	= +6  %+18  	q= +6  %+18  	 0.186(97)
printNotes: i= 157-<1729 1746 -17>,  	Bb2 --  1/32nd.( 20) <      > 	V 21 - M 20	= +1  %+5  	q= +1  %+5  	 0.116(97)
printNotes: i= 158-<1893 1957 -64>,  	 C3 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(97)
printNotes: i= 159-<1744 1746  -2>,  	Bb2 -- 1/32nd..( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(97)
printNotes: i= 160-<1875 1957 -82>,  	 C3 --    128th(  3) <      > 	V  3 - M  3	=  +  %+0  	q=  +  %+0  	 0.012(97)
printNotes: i= 161-<1737 1746  -9>,  	Bb2 --   1/16th( 27) <      > 	V 29 - M 27	= +2  %+7  	q= +2  %+7  	 0.163(97)
printNotes: i= 162-<1620 1601  19>,  	Ak2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(97)
printNotes: i= 163-<1752 1746   6>,  	Bb2 --     half(214) <2*sela> 	V247 - M214	=+33  %+13  	q=+33  %+13  	 1.428(97)
printNotes: i= 164-<1634 1601  33>,  	Ak2 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(97)
