	voice Midi Diff								present		 Best		Sec

printNotes: i= 151-<2439 2427  12>,  	 A2 --  1/16th.( 44) <      > 	V 41 - M 59	=-18  %-44  	q= -3  %-7  	 0.232(88)<-----%44   %7

printNotes: i= 152-<2522 2512  10>,  	Bb2 -- 1/32nd..( 26) <      > 	V 24 - M 10	=+14  %+58  	q= -2  %-8  	 0.134(88)<-----%58   %8

printNotes: i= 153-<2610 2675 -65>,  	 C3 --   1/64th(  7) <      > 	V  7 - M 10	= -3  %-43  	q=  +  %+0  	 0.035(88)<-----%43   %0 <<

printNotes: i= 154-<2532 2512  20>,  	Bb2 --   1/32nd( 15) <      > 	V 17 - M 19	= -2  %-12  	q= +2  %+12  	 0.093(88)
printNotes: i= 155-<2688 2675  13>,  	 C3 --   1/16th( 29) <      > 	V 32 - M 10	=+22  %+69  	q= +3  %+9  	 0.180(88)<-----%69   %9

printNotes: i= 156-<2697 2888 -191>,  	 D3 --   1/32nd( 15) <      > 	V 16 - M 10	= +6  %+38  	q= +1  %+6  	 0.087(88)<-----%38   %6 <<

printNotes: i= 157-<2275 2512 -237>,  	Bb2 -- 1/32nd..( 26) <      > 	V 24 - M 39	=-15  %-62  	q= -2  %-8  	 0.134(88)<-----%62   %8

printNotes: i= 158-<2665 2675 -10>,  	 C3 --   1/16th( 29) <      > 	V 31 - M 39	= -8  %-26  	q= +2  %+6  	 0.174(88)<-----%26   %6

printNotes: i= 159-<2510 2512  -2>,  	Bb2 --   1/16th( 29) <      > 	V 36 - M 39	= -3  %-8  	q= +7  %+19  	 0.203(88)
printNotes: i= 160-<2529 2675 -146>,  	 C3 --   1/8th.( 88) <      > 	V 95 - M117	=-22  %-23  	q= +7  %+7  	 0.546(88)<-----%23   %7

printNotes: i= 161-<2525 2512  13>,  	Bb2 --   1/8th.( 88) <      > 	V 90 - M 88	= +2  %+2  	q= +2  %+2  	 0.517(88)
printNotes: i= 162-<2447 2427  20>,  	 A2 --  1/16th.( 44) <      > 	V 41 - M 44	= -3  %-7  	q= -3  %-7  	 0.232(88)
printNotes: i= 163-<2502 2888 -386>,  	 D3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
