	voice Midi Diff								present		 Best		Sec

printNotes: i= 126-<2185 2200 -15>,  	 G2 --  1/32nd.( 22) <      > 	V 20 - M 29	= -9  %-45  	q= -2  %-10  	 0.110(90)<-----%45   %10

printNotes: i= 127-<2420 2420    >,  	 A2 -- 1/16th..( 50) <      > 	V 47 - M 29	=+18  %+38  	q= -3  %-6  	 0.267(90)<-----%38   %6

printNotes: i= 128-<1582 2503 -921>,  	Bb2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(90)
printNotes: i= 129-<2272 2420 -148>,  	 A2 --     half(230) <      > 	V236 - M230	= +6  %+3  	q= +6  %+3  	 1.364(90)


silence
printNotes: i= 130-<   0   40 -40>,  	Slc --   half..(402) <      > 	V399 - M459	=-60  %-15  	q= -3  %-1  	 2.310(90)<-----%15   %1

printNotes: i= 131-<2134 2200 -66>,  	 G2 -- 1/16th..( 50) <      > 	V 47 - M 14	=+33  %+70  	q= -3  %-6  	 0.267(90)<-----%70   %6

printNotes: i= 132-<2816 2906 -90>,  	 D3 --  1/32nd.( 22) <      > 	V 22 - M 29	= -7  %-32  	q=  +  %+0  	 0.122(90)<-----%32   %0

printNotes: i= 133-<2669 2680 -11>,  	 C3 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(90)
printNotes: i= 134-<2871 2906 -35>,  	 D3 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(90)
printNotes: i= 135-<2687 2680   7>,  	 C3 --  1/8th..(101) <      > 	V107 - M 57	=+50  %+47  	q= +6  %+6  	 0.615(90)<-----%47   %6

printNotes: i= 136-<2905 2906  -1>,  	 D3 --    1/4th(115) <1*sela> 	V141 - M144	= -3  %-2  	q=+26  %+18  	 0.813(90)
printNotes: i= 137-<2681 2680   1>,  	 C3 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)
printNotes: i= 138-<2529 2503  26>,  	Bb2 --  1/32nd.( 22) <      > 	V 22 - M 29	= -7  %-32  	q=  +  %+0  	 0.122(90)<-----%32   %0

printNotes: i= 139-<2398 2420 -22>,  	 A2 --   1/32nd( 14) <      > 	V 16 - M 29	=-13  %-81  	q= +2  %+12  	 0.087(90)<-----%81   %12 <<

printNotes: i= 140-<2502 2503  -1>,  	Bb2 --    1/8th( 57) <      > 	V 64 - M 57	= +7  %+11  	q= +7  %+11  	 0.366(90)
printNotes: i= 141-<2676 2680  -4>,  	 C3 --   1/4th.(172) <      > 	V185 - M230	=-45  %-24  	q=+13  %+7  	 1.068(90)<-----%24   %7

printNotes: i= 142-<2534 2503  31>,  	Bb2 --    1/8th( 57) <      > 	V 56 - M 57	= -1  %-2  	q= -1  %-2  	 0.319(90)
printNotes: i= 143-<2695 2680  15>,  	 C3 -- 1/32nd..( 25) <      > 	V 24 - M 29	= -5  %-21  	q= -1  %-4  	 0.134(90)<-----%21   %4



silence
printNotes: i= 144-< 138   40  98>,  	Slc --  1/32nd.( 22) <      > 	V 19 - M 14	= +5  %+26  	q= -3  %-16  	 0.104(90)<-----%26   %16

printNotes: i= 145-<2688 2680   8>,  	 C3 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(90)
printNotes: i= 146-<2903 2906  -3>,  	 D3 --  1/8th..(101) <      > 	V106 - M 86	=+20  %+19  	q= +5  %+5  	 0.610(90)<-----%19   %5

printNotes: i= 147-<2686 2680   6>,  	 C3 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(90)
printNotes: i= 148-<2517 2503  14>,  	Bb2 --  1/32nd.( 22) <      > 	V 23 - M 29	= -6  %-26  	q= +1  %+4  	 0.128(90)<-----%26   %4

printNotes: i= 149-<2417 2420  -3>,  	 A2 --   1/32nd( 14) <      > 	V 15 - M 29	=-14  %-93  	q= +1  %+7  	 0.081(90)<-----%93   %7 <<

printNotes: i= 150-<2676 2503 173>,  	Bb2 -- 1/16th..( 50) <      > 	V 49 - M 29	=+20  %+41  	q= -1  %-2  	 0.279(90)<-----%41   %2



silence
printNotes: i= 151-<   0   40 -40>,  	Slc --  1/4th..(201) <      > 	V207 - M201	= +6  %+3  	q= +6  %+3  	 1.196(90)
printNotes: i= 152-<2363 2503 -140>,  	Bb2 --    1/8th( 57) <      > 	V 57 - M 29	=+28  %+49  	q=  +  %+0  	 0.325(90)<-----%49   %0

printNotes: i= 153-<2693 2680  13>,  	 C3 --   1/8th.( 86) <      > 	V 89 - M 86	= +3  %+3  	q= +3  %+3  	 0.511(90)
printNotes: i= 154-<2517 2503  14>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 14	= -3  %-27  	q=  +  %+0  	 0.058(90)<-----%27   %0 <<

printNotes: i= 155-<2742 2680  62>,  	 C3 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(90)
printNotes: i= 156-<2423 2420   3>,  	 A2 --    1/4th(115) <      > 	V122 - M115	= +7  %+6  	q= +7  %+6  	 0.702(90)
printNotes: i= 157-<2495 2503  -8>,  	Bb2 --    1/4th(115) <      > 	V121 - M115	= +6  %+5  	q= +6  %+5  	 0.697(90)
printNotes: i= 158-<2370 2680 -310>,  	 C3 --    1/4th(115) <1*sela> 	V129 - M 86	=+43  %+33  	q=+14  %+11  	 0.743(90)<-----%33   %11

printNotes: i= 159-<2894 2906 -12>,  	 D3 --  1/64th.( 11) <      > 	V 11 - M 14	= -3  %-27  	q=  +  %+0  	 0.058(90)<-----%27   %0 <<

printNotes: i= 160-<2694 2680  14>,  	 C3 --   1/16th( 29) <      > 	V 28 - M 14	=+14  %+50  	q= -1  %-4  	 0.157(90)<-----%50   %4

printNotes: i= 161-<2523 2503  20>,  	Bb2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(90)
printNotes: i= 162-<2427 2420   7>,  	 A2 --  1/32nd.( 22) <      > 	V 23 - M 29	= -6  %-26  	q= +1  %+4  	 0.128(90)<-----%26   %4

printNotes: i= 163-<2206 2200   6>,  	 G2 --   1/32nd( 14) <      > 	V 17 - M 29	=-12  %-71  	q= +3  %+18  	 0.093(90)<-----%71   %18

printNotes: i= 164-<2420 2420    >,  	 A2 -- 1/16th..( 50) <      > 	V 53 - M 29	=+24  %+45  	q= +3  %+6  	 0.302(90)<-----%45   %6

