	voice Midi Diff								present		 Best		Sec

printNotes: i= 104-<2159 2481 -322>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 26	=-15  %-136  	q= -1  %-9  	 0.058(80)<-----%136   %9 <<

printNotes: i= 105-<2222 2217   5>,  	 G2 --  1/16th.( 48) <      > 	V 46 - M 64	=-18  %-39  	q= -2  %-4  	 0.261(80)<-----%39   %4

printNotes: i= 106-<2152 2082  70>,  	F#2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(80)<-----%10   %3



silence
printNotes: i= 107-<   0   40 -40>,  	Slc --     half(257) <2*sela> 	V302 - M257	=+45  %+15  	q=+45  %+15  	 1.747(80)
printNotes: i= 108-<2204 2428 -224>,  	 A2 --  1/16th.( 48) <      > 	V 48 - M 32	=+16  %+33  	q=  +  %+0  	 0.273(80)<-----%33   %0

printNotes: i= 109-<2223 2217   6>,  	 G2 --  1/16th.( 48) <      > 	V 45 - M 64	=-19  %-42  	q= -3  %-7  	 0.255(80)<-----%42   %7

printNotes: i= 110-<2125 2428 -303>,  	 A2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 111-<1542 2428 -886>,  	 A2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-- same note<-----%28   %4

printNotes: i= 112-<2096 2217 -121>,  	 G2 --    1/8th( 64) <      > 	V 70 - M 64	= +6  %+9  	q= +6  %+9  	 0.401(80)
printNotes: i= 113-<2437 2428   9>,  	 A2 --  1/16th.( 48) <      > 	V 41 - M 32	= +9  %+22  	q= -7  %-17  	 0.232(80)<-----%22   %17

printNotes: i= 114-<2196 2217 -21>,  	 G2 --   1/16th( 32) <      > 	V 34 - M 48	=-14  %-41  	q= +2  %+6  	 0.192(80)<-----%41   %6

printNotes: i= 115-<2225 2217   8>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 116-<2109 2082  27>,  	F#2 --   1/8th.( 97) <      > 	V 83 - M129	=-46  %-55  	q=-14  %-17  	 0.476(80)<-----%55   %17

printNotes: i= 117-<2210 2217  -7>,  	 G2 --  1/8th..(113) <      > 	V107 - M 97	=+10  %+9  	q= -6  %-6  	 0.615(80)<-----%9   %6

printNotes: i= 118-<2527 2481  46>,  	Bb2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 119-<2415 2428 -13>,  	 A2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(80)
printNotes: i= 120-<2217 2217    >,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 121-<2474 2428  46>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 122-<2215 2217  -2>,  	 G2 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(80)
printNotes: i= 123-<2449 2428  21>,  	 A2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 124-<2227 2217  10>,  	 G2 --  1/32nd.( 24) <      > 	V 21 - M 16	= +5  %+24  	q= -3  %-14  	 0.116(80)<-----%24   %14

printNotes: i= 125-<2085 2082   3>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 126-<2271 2217  54>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 127-<2102 2082  20>,  	F#2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(80)<-----%167   %0 <<

printNotes: i= 128-<2260 2217  43>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(80)<-----%78   %11

printNotes: i= 129-<2114 2082  32>,  	F#2 --   1/4th.(193) <-1*sela> 	V165 - M 97	=+68  %+41  	q=-28  %-17  	 0.952(80)<-----%41   %17

printNotes: i= 130-<2220 2217   3>,  	 G2 --   1/8th.( 97) <      > 	V 88 - M 64	=+24  %+27  	q= -9  %-10  	 0.505(80)<-----%27   %10

printNotes: i= 131-<2114 2082  32>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(80)<-----%113   %7 <<

printNotes: i= 132-<2319 2217 102>,  	 G2 --   1/8th.( 97) <      > 	V 82 - M 64	=+18  %+22  	q=-15  %-18  	 0.470(80)<-----%22   %18



silence
printNotes: i= 133-<   0   40 -40>,  	Slc --    half.(386) <-1*sela> 	V359 - M322	=+37  %+10  	q=-27  %-8  	 2.078(80)
printNotes: i= 134-<1837 2217 -380>,  	 G2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(80)
