	voice Midi Diff								present		 Best		Sec

printNotes: i= 169-< 832 2534 -1702>,  	 D3 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)
printNotes: i= 170-<4106 3029 1077>,  	 G3 --    1/4th(132) <      > 	V142 - M132	=+10  %+7  	q=+10  %+7  	 0.819(78)
printNotes: i= 171-<4019 2813 1206>,  	 F3 --  1/16th.( 50) <      > 	V 48 - M 50	= -2  %-4  	q= -2  %-4  	 0.273(78)
printNotes: i= 172-< 233 2700 -2467>,  	 E3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 173-<2510 2813 -303>,  	 F3 --  1/4th..(232) <      > 	V247 - M265	=-18  %-7  	q=+15  %+6  	 1.428(78)


silence
printNotes: i= 174-<   0   40 -40>,  	Slc -- 1/16th..( 58) <      > 	V 56 - M 64	= -8  %-14  	q= -2  %-4  	 0.319(78)<-----%14   %4

printNotes: i= 175-<1901 1611 290>,  	 F2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(78)
printNotes: i= 176-<2700 2813 -113>,  	 F3 -- 1/16th..( 58) <      > 	V 57 - M 58	= -1  %-2  	q= -1  %-2  	 0.325(78)
