	voice Midi Diff								present		 Best		Sec

printNotes: i= 161-<1859 1895 -36>,  	Ab2 --  1/16th.( 42) <      > 	V 37 - M 42	= -5  %-14  	q= -5  %-14  	 0.209(92)
printNotes: i= 162-<1973 2096 -123>,  	Bb2 --  1/16th.( 42) <      > 	V 40 - M 42	= -2  %-5  	q= -2  %-5  	 0.226(92)
printNotes: i= 163-<2367 2440 -73>,  	Dk3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(92)
printNotes: i= 164-<2109 2096  13>,  	Bb2 --    1/4th(113) <1*sela> 	V134 - M113	=+21  %+16  	q=+21  %+16  	 0.772(92)
printNotes: i= 165-<1793 2324 -531>,  	 C3 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 166-<2022 2096 -74>,  	Bb2 -- 1/16th..( 49) <      > 	V 52 - M 49	= +3  %+6  	q= +3  %+6  	 0.296(92)
printNotes: i= 167-<1899 1895   4>,  	Ab2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(92)
printNotes: i= 168-<2048 2096 -48>,  	Bb2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(92)
printNotes: i= 169-<1910 1895  15>,  	Ab2 --   1/16th( 28) <      > 	V 27 - M 25	= +2  %+7  	q= -1  %-4  	 0.151(92)
printNotes: i= 170-<1817 1819  -2>,  	 G2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(92)
printNotes: i= 171-<1902 1895   7>,  	Ab2 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(92)
printNotes: i= 172-<1812 1819  -7>,  	 G2 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(92)
printNotes: i= 173-<1194 1597 -403>,  	 F2 --   1/8th.( 84) <      > 	V 78 - M 84	= -6  %-8  	q= -6  %-8  	 0.447(92)
printNotes: i= 174-<1155 1497 -342>,  	 E2 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(92)
printNotes: i= 175-< 390 1260 -870>,  	Dk2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(92)
