	voice Midi Diff								present		 Best		Sec

printNotes: i= 153-<2454 2507 -53>,  	 D3 --    128th(  4) <      > 	V  3 - M  4	= -1  %-33  	q= -1  %-33  	 0.012(81)


silence
printNotes: i= 154-<   0   40 -40>,  	Slc -- 1/16th..( 56) <      > 	V 55 - M 64	= -9  %-16  	q= -1  %-2  	 0.313(81)<-----%16   %2

printNotes: i= 155-<1634 1609  25>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 156-<2307 2315  -8>,  	 C3 --   1/4th.(192) <      > 	V193 - M192	= +1  %+1  	q= +1  %+1  	 1.115(81)
printNotes: i= 157-<2129 2095  34>,  	Bb2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(81)
printNotes: i= 158-<2035 2011  24>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(81)
printNotes: i= 159-<2081 2095 -14>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(81)


silence
printNotes: i= 160-<   0   40 -40>,  	Slc --   1/4th.(192) <      > 	V184 - M192	= -8  %-4  	q= -8  %-4  	 1.062(81)
printNotes: i= 161-<1596 1495 101>,  	 E2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 162-<2067 2095 -28>,  	Bb2 --    1/8th( 64) <      > 	V 75 - M 64	=+11  %+15  	q=+11  %+15  	 0.430(81)
printNotes: i= 163-<2023 2011  12>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(81)
printNotes: i= 164-<2078 2095 -17>,  	Bb2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(81)
printNotes: i= 165-<1990 2011 -21>,  	 A2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 166-<1893 2095 -202>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 167-<1814 1821  -7>,  	 G2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i= 168-<1921 2011 -90>,  	 A2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 169-<1807 1721  86>,  	F#2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(81)


silence
printNotes: i= 170-<   0   40 -40>,  	Slc --    1/4th(128) <1*sela> 	V146 - M128	=+18  %+12  	q=+18  %+12  	 0.842(81)
printNotes: i= 171-<2025 2095 -70>,  	Bb2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 172-<2008 2011  -3>,  	 A2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 173-<2087 2095  -8>,  	Bb2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 174-<2002 2011  -9>,  	 A2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 175-<2104 2095   9>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(81)
