	voice Midi Diff								present		 Best		Sec

printNotes: i= 122-<2575 2642 -67>,  	Ak2 --  1/16th.( 46) <      > 	V 43 - M 46	= -3  %-7  	q= -3  %-7  	 0.244(84)
printNotes: i= 123-<2878 2974 -96>,  	 C3 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(84)<-----%275   %0 <<

printNotes: i= 124-<2955 2874  81>,  	 B2 --   1/32nd( 15) <      > 	V 17 - M 62	=-45  %-265  	q= +2  %+12  	 0.093(84)<-----%265   %12



silence
printNotes: i= 125-<   0   40 -40>,  	Slc --    half.(369) <-2*sela> 	V329 - M246	=+83  %+25  	q=-40  %-12  	 1.904(84)<-----%25   %12

printNotes: i= 126-<2148 2294 -146>,  	 F2 --    1/8th( 62) <      > 	V 65 - M 62	= +3  %+5  	q= +3  %+5  	 0.372(84)
printNotes: i= 127-<2454 2494 -40>,  	 G2 --  1/32nd.( 23) <      > 	V 21 - M 31	=-10  %-48  	q= -2  %-10  	 0.116(84)<-----%48   %10

printNotes: i= 128-<2476 2494 -18>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 129-<2624 2642 -18>,  	Ak2 --  1/8th..(108) <      > 	V112 - M123	=-11  %-10  	q= +4  %+4  	 0.644(84)<-----%10   %4

printNotes: i= 130-<1976 2494 -518>,  	 G2 --     half(246) <      > 	V247 - M 31	=+216  %+87  	q= +1  %+0  	 1.428(84)<-----%87   %0

printNotes: i= 131-<1671 2494 -823>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 132-< 222 2494 -2272>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 133-<2204 2494 -290>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 134-<2474 2494 -20>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 135-<2617 2642 -25>,  	Ak2 --   1/4th.(185) <      > 	V190 - M 46	=+144  %+76  	q= +5  %+3  	 1.097(84)<-----%76   %3

printNotes: i= 136-<1319 2294 -975>,  	 F2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(84)<-----%24   %8



silence
printNotes: i= 137-<   0   40 -40>,  	Slc --   1/16th( 31) <      > 	V 32 - M123	=-91  %-284  	q= +1  %+3  	 0.180(84)<-----%284   %3

printNotes: i= 138-<2481 2494 -13>,  	 G2 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(84)<-----%11   %4

printNotes: i= 139-<2613 2642 -29>,  	Ak2 --   128th.(  6) <      > 	V  6 - M 62	=-56  %-933  	q=  +  %+0  	 0.029(84)<-----%933   %0 <<

printNotes: i= 140-<2656 2874 -218>,  	 B2 --   1/64th(  8) <      > 	V 10 - M 31	=-21  %-210  	q= +2  %+20  	 0.052(84)<-----%210   %20 <<

printNotes: i= 141-<2649 2642   7>,  	Ak2 -- 1/64th..( 13) <      > 	V 14 - M 92	=-78  %-557  	q= +1  %+7  	 0.075(84)<-----%557   %7 <<

printNotes: i= 142-<2639 2494 145>,  	 G2 --    128th(  4) <      > 	V  1 - M 31	=-30  %-3000  	q= -3  %-300  	 0.000(84)<-----%3000   %300 <<

printNotes: i= 143-<2613 2642 -29>,  	Ak2 --    128th(  4) <      > 	V  5 - M 46	=-41  %-820  	q= +1  %+20  	 0.023(84)<-----%820   %20 <<

printNotes: i= 144-<2497 2494   3>,  	 G2 --    1/4th(123) <      > 	V129 - M123	= +6  %+5  	q= +6  %+5  	 0.743(84)
printNotes: i= 145-<2267 2294 -27>,  	 F2 -- 1/16th..( 54) <      > 	V 56 - M 31	=+25  %+45  	q= +2  %+4  	 0.319(84)<-----%45   %4

printNotes: i= 146-<2107 2294 -187>,  	 F2 --  1/16th.( 46) <      > 	V 46 - M 46	=  +  %+0  	q=  +  %+0  	 0.261(84)<-- same note
printNotes: i= 147-<2496 2494   2>,  	 G2 --    1/8th( 62) <      > 	V 63 - M 62	= +1  %+2  	q= +1  %+2  	 0.360(84)
printNotes: i= 148-<2640 2642  -2>,  	Ak2 --    1/4th(123) <1*sela> 	V140 - M123	=+17  %+12  	q=+17  %+12  	 0.807(84)
printNotes: i= 149-<2863 2874 -11>,  	 B2 --   1/16th( 31) <      > 	V 37 - M 46	= -9  %-24  	q= +6  %+16  	 0.209(84)<-----%24   %16

