	voice Midi Diff								present		 Best		Sec

printNotes: i= 98-<2863 2874 -11>,  	 B2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 99-<2651 2642   9>,  	Ak2 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(86)
printNotes: i= 100-<2576 2874 -298>,  	 B2 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(86)<-----%50   %10 <<

printNotes: i= 101-<2594 2642 -48>,  	Ak2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(86)
printNotes: i= 102-<2487 2494  -7>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(86)
printNotes: i= 103-<2671 2642  29>,  	Ak2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(86)<-----%15   %0 <<

printNotes: i= 104-<2466 2494 -28>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 105-<2443 2642 -199>,  	Ak2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(86)<-----%36   %0 <<

printNotes: i= 106-<2514 2494  20>,  	 G2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(86)
printNotes: i= 107-<2307 2294  13>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(86)
printNotes: i= 108-<2438 2494 -56>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(86)<-----%15   %0 <<

printNotes: i= 109-<2284 2294 -10>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(86)
printNotes: i= 110-<2468 2494 -26>,  	 G2 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(86)<-----%50   %10 <<

printNotes: i= 111-<2288 2294  -6>,  	 F2 --   1/32nd( 15) <      > 	V 18 - M 30	=-12  %-67  	q= +3  %+17  	 0.099(86)<-----%67   %17

printNotes: i= 112-<2491 2494  -3>,  	 G2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(86)<-----%275   %0 <<

printNotes: i= 113-<2628 2642 -14>,  	Ak2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(86)<-----%25   %8 <<

printNotes: i= 114-<2444 2494 -50>,  	 G2 --  1/16th.( 45) <      > 	V 38 - M 30	= +8  %+21  	q= -7  %-18  	 0.215(86)
printNotes: i= 115-<2634 2642  -8>,  	Ak2 --  1/16th.( 45) <      > 	V 47 - M 30	=+17  %+36  	q= +2  %+4  	 0.267(86)<-----%36   %4

printNotes: i= 116-<2511 2494  17>,  	 G2 --  1/32nd.( 23) <      > 	V 23 - M 40	=-17  %-74  	q=  +  %+0  	 0.128(86)<-----%74   %0

printNotes: i= 117-<2634 2642  -8>,  	Ak2 --   1/16th( 30) <      > 	V 29 - M 40	=-11  %-38  	q= -1  %-3  	 0.163(86)<-----%38   %3

printNotes: i= 118-<2495 2494   1>,  	 G2 --  1/4th..(211) <      > 	V205 - M281	=-76  %-37  	q= -6  %-3  	 1.184(86)<-----%37   %3

printNotes: i= 119-<2697 2642  55>,  	Ak2 --    1/8th( 60) <      > 	V 63 - M 60	= +3  %+5  	q= +3  %+5  	 0.360(86)


silence
printNotes: i= 120-<   0   40 -40>,  	Slc --    half.(361) <-2*sela> 	V329 - M301	=+28  %+9  	q=-32  %-10  	 1.904(86)
printNotes: i= 121-<2148 2294 -146>,  	 F2 --    1/8th( 60) <      > 	V 65 - M 60	= +5  %+8  	q= +5  %+8  	 0.372(86)
printNotes: i= 122-<2456 2494 -38>,  	 G2 --  1/32nd.( 23) <      > 	V 22 - M 30	= -8  %-36  	q= -1  %-5  	 0.122(86)<-----%36   %5

printNotes: i= 123-<2475 2494 -19>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i= 124-<2624 2642 -18>,  	Ak2 --  1/8th..(105) <      > 	V112 - M150	=-38  %-34  	q= +7  %+6  	 0.644(86)<-----%34   %6

printNotes: i= 125-<2517 2494  23>,  	 G2 -- 1/16th..( 53) <      > 	V 54 - M 30	=+24  %+44  	q= +1  %+2  	 0.308(86)<-----%44   %2

printNotes: i= 126-<2500 2494   6>,  	 G2 --    1/4th(120) <      > 	V120 - M120	=  +  %+0  	q=  +  %+0  	 0.691(86)<-- same note
printNotes: i= 127-< 816 2294 -1478>,  	 F2 --    1/8th( 60) <      > 	V 64 - M 30	=+34  %+53  	q= +4  %+6  	 0.366(86)<-----%53   %6

printNotes: i= 128-< 978 2294 -1316>,  	 F2 --    1/8th( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(86)<-- same note
printNotes: i= 129-<1645 2494 -849>,  	 G2 --  1/16th.( 45) <      > 	V 43 - M 30	=+13  %+30  	q= -2  %-5  	 0.244(86)<-----%30   %5

printNotes: i= 130-<2475 2494 -19>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i= 131-<2466 2642 -176>,  	Ak2 --  1/4th..(211) <      > 	V215 - M120	=+95  %+44  	q= +4  %+2  	 1.242(86)<-----%44   %2



silence
printNotes: i= 132-<   0   40 -40>,  	Slc --   1/16th( 30) <      > 	V 32 - M120	=-88  %-275  	q= +2  %+6  	 0.180(86)<-----%275   %6

printNotes: i= 133-<2481 2494 -13>,  	 G2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(86)
printNotes: i= 134-<2640 2642  -2>,  	Ak2 --   1/16th( 30) <      > 	V 34 - M 45	=-11  %-32  	q= +4  %+12  	 0.192(86)<-----%32   %12

