	voice Midi Diff								present		 Best		Sec

printNotes: i= 116-<1377 1383  -6>,  	 C2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(89)
printNotes: i= 117-<1406 1554 -148>,  	 D2 --  1/32nd.( 22) <      > 	V 18 - M 22	= -4  %-22  	q= -4  %-22  	 0.099(89)
printNotes: i= 118-< 866 2083 -1217>,  	 G2 --    1/8th( 58) <      > 	V 66 - M 58	= +8  %+12  	q= +8  %+12  	 0.377(89)
printNotes: i= 119-<2552 2558  -6>,  	 C3 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(89)
printNotes: i= 120-<2410 2382  28>,  	Bb2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(89)
printNotes: i= 121-<2525 2558 -33>,  	 C3 --  1/16th.( 43) <      > 	V 37 - M 43	= -6  %-16  	q= -6  %-16  	 0.209(89)
printNotes: i= 122-<2378 2382  -4>,  	Bb2 --    1/4th(116) <1*sela> 	V137 - M116	=+21  %+15  	q=+21  %+15  	 0.789(89)
printNotes: i= 123-<2193 2207 -14>,  	Ak2 --  1/16th.( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(89)
printNotes: i= 124-<2404 2412  -8>,  	Bk2 --    1/4th(116) <      > 	V110 - M116	= -6  %-5  	q= -6  %-5  	 0.633(89)
printNotes: i= 125-<2192 2207 -15>,  	Ak2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(89)


silence
printNotes: i= 126-<   0   40 -40>,  	Slc --  1/8th..(101) <      > 	V 99 - M101	= -2  %-2  	q= -2  %-2  	 0.569(89)
printNotes: i= 127-<2195 2382 -187>,  	Bb2 -- 1/16th..( 51) <      > 	V 51 - M 51	=  +  %+0  	q=  +  %+0  	 0.290(89)


silence
printNotes: i= 128-<   0   40 -40>,  	Slc --  1/16th.( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(89)
printNotes: i= 129-<2341 2382 -41>,  	Bb2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(89)
printNotes: i= 130-<2548 2558 -10>,  	 C3 --  1/4th..(202) <      > 	V206 - M202	= +4  %+2  	q= +4  %+2  	 1.190(89)
printNotes: i= 131-<2794 2758  36>,  	 D3 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(89)
