	voice Midi Diff								present		 Best		Sec

printNotes: i= 136-<1653 1597  56>,  	 D2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(73)
printNotes: i= 137-<1879 1871   8>,  	 F2 --     half(283) <2*sela> 	V321 - M283	=+38  %+12  	q=+38  %+12  	 1.858(73)
printNotes: i= 138-<1748 1747   1>,  	Ek2 --    1/4th(142) <      > 	V134 - M142	= -8  %-6  	q= -8  %-6  	 0.772(73)
printNotes: i= 139-<1648 1597  51>,  	 D2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(73)
printNotes: i= 140-<1811 1871 -60>,  	 F2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(73)
printNotes: i= 141-<1755 1747   8>,  	Ek2 --   1/4th.(212) <      > 	V202 - M212	=-10  %-5  	q=-10  %-5  	 1.167(73)
printNotes: i= 142-<1307 2097 -790>,  	 G2 --   1/64th(  9) <      > 	V 11 - M 13	= -2  %-18  	q= +2  %+18  	 0.058(73)
printNotes: i= 143-<1653 1747 -94>,  	Ek2 --   1/16th( 35) <      > 	V 33 - M 36	= -3  %-9  	q= -2  %-6  	 0.186(73)


 metronome= 72.99  saveiyend(end)/(160*scaleFactor))= 61.34  X(saveiyend(end))=50.42  second per dot=0.00580
siaah == 142  scaleFactor=0.89   fs=44100 


  9whole,    10197
  2whole,    1133
 whole..,    991
  whole.,    850
   whole,    567
  half..,    496
   half.,    425
    half,    283
 1/4th..,    248
  1/4th.,    212
   1/4th,    142
 1/8th..,    124
  1/8th.,    106
   1/8th,    71
1/16th..,    62
 1/16th.,    53
  1/16th,    35
1/32nd..,    31
 1/32nd.,    27
  1/32nd,    18
1/64th..,    15
 1/64th.,    13
  1/64th,    9
 128th..,    8
  128th.,    7
   128th,    4
 256th..,    4
  256th.,    3
   256th,    2
 512nd..,    2
  512nd.,    2
   512nd,    1
1024th..,    1
 1024th.,    1
  1024th,    1
____zero,    0
