	voice Midi Diff								present		 Best		Sec

printNotes: i= 142-<1726 1761 -35>,  	 C2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(75)<-- same note
printNotes: i= 143-<1660 1670 -10>,  	 B1 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(75)
printNotes: i= 144-<1757 1761  -4>,  	 C2 --     half(275) <      > 	V265 - M275	=-10  %-4  	q=-10  %-4  	 1.533(75)
printNotes: i= 145-<1677 1670   7>,  	 B1 -- 1/64th..( 15) <      > 	V 15 - M 13	= +2  %+13  	q=  +  %+0  	 0.081(75)
printNotes: i= 146-<1752 1761  -9>,  	 C2 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(75)
printNotes: i= 147-<1896 1898  -2>,  	Dk2 -- 1/32nd..( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(75)
printNotes: i= 148-<1987 2048 -61>,  	Eb2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(75)
printNotes: i= 149-<1907 1898   9>,  	Dk2 --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(75)
printNotes: i= 150-<1966 2048 -82>,  	Eb2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(75)
printNotes: i= 151-<1766 1761   5>,  	 C2 --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(75)
printNotes: i= 152-<1894 1898  -4>,  	Dk2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(75)
printNotes: i= 153-<1680 1670  10>,  	 B1 --    1/8th( 69) <      > 	V 69 - M 69	=  +  %+0  	q=  +  %+0  	 0.395(75)
printNotes: i= 154-<1670 1670    >,  	 B1 --   1/8th.(103) <-1*sela> 	V 86 - M 92	= -6  %-7  	q=-17  %-20  	 0.493(75)<-- same note
printNotes: i= 155-<1750 1761 -11>,  	 C2 --  1/16th.( 52) <      > 	V 50 - M 46	= +4  %+8  	q= -2  %-4  	 0.284(75)
printNotes: i= 156-<1454 1417  37>,  	Ak1 --    1/4th(138) <      > 	V134 - M138	= -4  %-3  	q= -4  %-3  	 0.772(75)


silence
printNotes: i= 157-<   0   40 -40>,  	Slc --  1/4th..(241) <      > 	V247 - M281	=-34  %-14  	q= +6  %+2  	 1.428(75)<-----%14   %2

printNotes: i= 158-<1345 1367 -22>,  	Ab1 -- 1/32nd..( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(75)
printNotes: i= 159-< 568 1275 -707>,  	 G1 --  1/16th.( 52) <      > 	V 45 - M 52	= -7  %-16  	q= -7  %-16  	 0.255(75)
printNotes: i= 160-<1421 1417   4>,  	Ak1 --    1/8th( 69) <      > 	V 65 - M 69	= -4  %-6  	q= -4  %-6  	 0.372(75)
printNotes: i= 161-< 440 1275 -835>,  	 G1 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(75)
printNotes: i= 162-<1368 1417 -49>,  	Ak1 --   1/4th.(206) <      > 	V207 - M206	= +1  %+0  	q= +1  %+0  	 1.196(75)
