	voice Midi Diff								present		 Best		Sec

printNotes: i= 145-<2485 2663 -178>,  	Ak2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(90)
printNotes: i= 146-<2418 2312 106>,  	 F2 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(90)
printNotes: i= 147-<2482 2515 -33>,  	 G2 --  1/16th.( 43) <      > 	V 43 - M 43	=  +  %+0  	q=  +  %+0  	 0.244(90)
printNotes: i= 148-<1918 2312 -394>,  	 F2 --  1/64th.( 11) <      > 	V 11 - M 13	= -2  %-18  	q=  +  %+0  	 0.058(90)<-----%18   %0 <<

printNotes: i= 149-<2528 2663 -135>,  	Ak2 --  1/16th.( 43) <      > 	V 46 - M 43	= +3  %+7  	q= +3  %+7  	 0.261(90)
printNotes: i= 150-<2806 2815  -9>,  	Bb2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(90)
printNotes: i= 151-<2658 2663  -5>,  	Ak2 --  1/16th.( 43) <      > 	V 36 - M 43	= -7  %-19  	q= -7  %-19  	 0.203(90)
printNotes: i= 152-<2886 3015 -129>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(90)
printNotes: i= 153-<2659 2663  -4>,  	Ak2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(90)
printNotes: i= 154-<2270 2515 -245>,  	 G2 --     half(229) <1*sela> 	V252 - M229	=+23  %+9  	q=+23  %+9  	 1.457(90)


silence
printNotes: i= 155-<   0   40 -40>,  	Slc --  1/16th.( 43) <      > 	V 40 - M 49	= -9  %-22  	q= -3  %-8  	 0.226(90)<-----%22   %8

printNotes: i= 156-<1715 1509 206>,  	 A1 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(90)
printNotes: i= 157-<2591 2663 -72>,  	Ak2 --    1/8th( 57) <      > 	V 54 - M 57	= -3  %-6  	q= -3  %-6  	 0.308(90)
printNotes: i= 158-<2514 2515  -1>,  	 G2 --    1/4th(115) <      > 	V111 - M115	= -4  %-4  	q= -4  %-4  	 0.639(90)
printNotes: i= 159-<2639 2663 -24>,  	Ak2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(90)
