	voice Midi Diff								present		 Best		Sec

printNotes: i= 127-<2675 2661  14>,  	Ak2 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(85)
printNotes: i= 128-<2819 2817   2>,  	Bb2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(85)
printNotes: i= 129-<2914 3018 -104>,  	 C3 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(85)
printNotes: i= 130-<2648 2817 -169>,  	Bb2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(85)
printNotes: i= 131-<3019 3018   1>,  	 C3 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(85)
printNotes: i= 132-<2822 3296 -474>,  	Eb3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(85)
printNotes: i= 133-<3044 3018  26>,  	 C3 --    1/8th( 61) <      > 	V 61 - M 61	=  +  %+0  	q=  +  %+0  	 0.348(85)
printNotes: i= 134-<3251 3296 -45>,  	Eb3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(85)
printNotes: i= 135-<3032 3018  14>,  	 C3 --  1/16th.( 46) <      > 	V 39 - M 46	= -7  %-18  	q= -7  %-18  	 0.221(85)


silence
printNotes: i= 136-<   0   40 -40>,  	Slc --     half(243) <2*sela> 	V276 - M256	=+20  %+7  	q=+33  %+12  	 1.596(85)
printNotes: i= 137-<1959 1555 404>,  	 A1 --  1/32nd.( 23) <      > 	V 24 - M 27	= -3  %-12  	q= +1  %+4  	 0.134(85)<-----%12   %4

printNotes: i= 138-<2955 3018 -63>,  	 C3 --    1/4th(122) <      > 	V134 - M122	=+12  %+9  	q=+12  %+9  	 0.772(85)
printNotes: i= 139-<3331 3296  35>,  	Eb3 --  1/64th.( 11) <      > 	V  9 - M 11	= -2  %-22  	q= -2  %-22  	 0.046(85)
printNotes: i= 140-<3029 3018  11>,  	 C3 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(85)
printNotes: i= 141-<2836 2817  19>,  	Bb2 -- 1/32nd..( 27) <      > 	V 28 - M 30	= -2  %-7  	q= +1  %+4  	 0.157(85)
printNotes: i= 142-<2683 2661  22>,  	Ak2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(85)
printNotes: i= 143-<2937 3018 -81>,  	 C3 --   128th.(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(85)
printNotes: i= 144-<2706 2817 -111>,  	Bb2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(85)
printNotes: i= 145-<3054 3018  36>,  	 C3 --    128th(  4) <      > 	V  5 - M  7	= -2  %-40  	q= +1  %+20  	 0.023(85)<-----%40   %20 <<

printNotes: i= 146-<2821 2817   4>,  	Bb2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(85)
printNotes: i= 147-<2946 3018 -72>,  	 C3 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(85)
printNotes: i= 148-<3092 3296 -204>,  	Eb3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(85)
printNotes: i= 149-<3024 3018   6>,  	 C3 --    1/4th(122) <      > 	V114 - M122	= -8  %-7  	q= -8  %-7  	 0.656(85)
