	voice Midi Diff								present		 Best		Sec

printNotes: i= 117-<1059 2114 -1055>,  	Ek2 --    1/8th( 66) <      > 	V 72 - M 66	= +6  %+8  	q= +6  %+8  	 0.412(78)
printNotes: i= 118-<2221 2259 -38>,  	 F2 -- 1/32nd..( 29) <      > 	V 27 - M 12	=+15  %+56  	q= -2  %-7  	 0.151(78)<-----%56   %7

printNotes: i= 119-<2449 2470 -21>,  	 G2 -- 1/32nd..( 29) <      > 	V 30 - M 24	= +6  %+20  	q= +1  %+3  	 0.168(78)<-----%20   %3

printNotes: i= 120-<2275 2259  16>,  	 F2 -- 1/64th..( 15) <      > 	V 16 - M 12	= +4  %+25  	q= +1  %+6  	 0.087(78)<-----%25   %6 <<

printNotes: i= 121-<2028 2470 -442>,  	 G2 --   128th.(  6) <      > 	V  6 - M 12	= -6  %-100  	q=  +  %+0  	 0.029(78)<-----%100   %0 <<

printNotes: i= 122-<2266 2259   7>,  	 F2 --  1/32nd.( 25) <      > 	V 25 - M 24	= +1  %+4  	q=  +  %+0  	 0.139(78)
printNotes: i= 123-<2117 2114   3>,  	Ek2 --   1/32nd( 17) <      > 	V 17 - M 12	= +5  %+29  	q=  +  %+0  	 0.093(78)<-----%29   %0

printNotes: i= 124-<2174 2259 -85>,  	 F2 --    128th(  4) <      > 	V  5 - M 12	= -7  %-140  	q= +1  %+20  	 0.023(78)<-----%140   %20 <<

printNotes: i= 125-<2095 2114 -19>,  	Ek2 --  1/32nd.( 25) <      > 	V 24 - M 24	=  +  %+0  	q= -1  %-4  	 0.134(78)
printNotes: i= 126-<1989 1976  13>,  	 D2 --   1/64th(  8) <      > 	V 10 - M 33	=-23  %-230  	q= +2  %+20  	 0.052(78)<-----%230   %20 <<

printNotes: i= 127-<2116 2114   2>,  	Ek2 --  1/16th.( 50) <      > 	V 53 - M 50	= +3  %+6  	q= +3  %+6  	 0.302(78)
printNotes: i= 128-<2261 2259   2>,  	 F2 --    1/8th( 66) <      > 	V 74 - M 50	=+24  %+32  	q= +8  %+11  	 0.424(78)<-----%32   %11

printNotes: i= 129-<2122 2114   8>,  	Ek2 --  1/64th.( 12) <      > 	V  9 - M 17	= -8  %-89  	q= -3  %-33  	 0.046(78)<-----%89   %33 <<

printNotes: i= 130-<2291 2259  32>,  	 F2 -- 1/64th..( 15) <      > 	V 14 - M 17	= -3  %-21  	q= -1  %-7  	 0.075(78)<-----%21   %7 <<

printNotes: i= 131-<2133 2114  19>,  	Ek2 -- 1/32nd..( 29) <      > 	V 28 - M 33	= -5  %-18  	q= -1  %-4  	 0.157(78)<-----%18   %4

printNotes: i= 132-<2006 1976  30>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 17	= -5  %-42  	q=  +  %+0  	 0.064(78)<-----%42   %0 <<

printNotes: i= 133-<2118 2114   4>,  	Ek2 --  1/64th.( 12) <      > 	V 12 - M 17	= -5  %-42  	q=  +  %+0  	 0.064(78)<-----%42   %0 <<

printNotes: i= 134-<2004 1976  28>,  	 D2 -- 1/32nd..( 29) <      > 	V 30 - M 33	= -3  %-10  	q= +1  %+3  	 0.168(78)<-----%10   %3

printNotes: i= 135-<2182 2114  68>,  	Ek2 --  1/32nd.( 25) <      > 	V 23 - M 33	=-10  %-43  	q= -2  %-9  	 0.128(78)<-----%43   %9

printNotes: i= 136-<1633 1976 -343>,  	 D2 --   1/8th.(100) <      > 	V 89 - M 66	=+23  %+26  	q=-11  %-12  	 0.511(78)<-----%26   %12



silence
printNotes: i= 137-<   0   40 -40>,  	Slc --    half.(399) <      > 	V407 - M299	=+108  %+27  	q= +8  %+2  	 2.357(78)<-----%27   %2

printNotes: i= 138-<2046 2259 -213>,  	 F2 --   1/8th.(100) <      > 	V 93 - M 66	=+27  %+29  	q= -7  %-8  	 0.534(78)<-----%29   %8

printNotes: i= 139-<2173 2644 -471>,  	 A2 --    1/8th( 66) <      > 	V 75 - M 66	= +9  %+12  	q= +9  %+12  	 0.430(78)
printNotes: i= 140-<2648 2644   4>,  	 A2 --   1/4th.(199) <      > 	V199 - M199	=  +  %+0  	q=  +  %+0  	 1.149(78)<-- same note
printNotes: i= 141-<1278 2470 -1192>,  	 G2 --   1/8th.(100) <      > 	V 92 - M 66	=+26  %+28  	q= -8  %-9  	 0.528(78)<-----%28   %9

